V1,FSC.A,FSC.PMT.A,SSC.A,BB515.CD117,PerCPCy5.5.CD16.32,Comp.FSC.PMT.A,PE.CD115,PECF594.CD135,Comp.GYG.670.A,PECy5.5.CD3e,PECy7.CD80,DL800.SA.Bio.Ly6G,Comp.LG.562.A,Comp.O.610.A,APC.BrdU,AF700.CD45,APCCy7.CD48,BUV395.CD11b,LiveDead.Blue,BUV615.Siglec.F,BUV661.NK1.1,BUV737.B220,BUV805.CD8a,BV421.CD34,V500.MHCII,BV570.CD4,BV605.Ly6C,BV650.CD150,BV711.SCA.1,Comp.V.750.A,BV785.CD11c,FileName,FileNo,Sample,Group,Batch,FlowSOM_cluster,FlowSOM_metacluster,UMAP_42_X,UMAP_42_Y
700922,206,454,97,346,568,0,207,249,186,188,413,490,227,224,317,607,243,702,295,373,182,334,224,238,271,315,736,217,294,251,302,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,23,1,-4.58690417739402,-4.86487091408684
89764,384,562,139,282,635,0,179,222,68,304,332,295,234,220,427,718,436,239,366,551,79,515,173,107,220,390,888,596,206,194,378,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,99,37,-0.148165286028808,5.94168666147546
661625,465,628,118,276,523,203,197,390,117,400,322,129,230,236,229,734,441,245,359,423,286,358,474,217,273,425,840,265,655,237,351,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,99,37,6.54620025127221,4.3307551142374
824740,226,483,61,271,400,367,219,203,259,270,385,238,237,233,260,441,409,252,259,339,258,744,320,200,257,283,304,229,497,209,214,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,50,10,-0.477462136141014,8.60970046758044
821059,331,572,79,281,467,236,223,226,149,488,171,155,228,231,415,725,403,221,372,337,178,336,534,283,281,323,795,444,652,187,255,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,90,37,6.542836826971,4.36066748828798
820288,328,537,387,528,758,0,171,383,320,455,589,235,231,223,362,607,466,263,455,394,238,383,291,298,567,641,673,675,664,285,567,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,91,38,10.3320476969803,1.99828305934802
215290,371,591,127,352,519,537,230,259,262,219,331,492,230,227,260,581,180,642,312,343,215,276,235,271,275,304,352,313,383,244,225,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,35,1,-3.72654305600165,-2.36971126652706
808057,201,523,36,252,437,199,214,272,253,231,241,340,223,247,265,481,415,177,298,338,225,694,159,197,357,306,283,323,454,222,237,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,40,10,-0.746258839591938,8.89011451649444
191163,273,507,155,303,552,0,235,242,198,257,525,516,233,226,293,632,413,774,540,367,229,376,185,378,312,436,503,355,508,225,251,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,5,1,-3.45655399942119,-4.02744683017126
173868,190,486,53,227,404,368,224,246,259,247,202,264,238,235,253,528,397,186,303,338,249,695,253,220,293,268,217,289,478,225,322,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,50,10,-0.681581570056352,8.3948397360483
635653,283,553,33,247,480,284,254,198,218,498,398,304,234,226,317,684,312,279,278,331,206,361,189,310,256,580,329,533,640,224,214,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,70,24,5.51900593468166,3.0151392762187
718387,273,528,112,266,563,52,231,327,203,206,321,312,236,233,285,602,242,677,309,349,257,270,245,268,248,338,575,180,363,232,260,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,54,1,-2.33187041102937,-2.8234945041139
