"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,297,551,113,299,549,187,239.5,241,212,220,303,536,231,231,292,605,245,678,350,348,224,304,232,288,266,312,607,286,430,225,228
"2",2,570,623.5,210,348,513.5,0,237,243,216,248.5,395.5,323,224,226,362,697.5,522,605.5,457,363.5,220,824,263.5,275,574,399,652.5,520.5,511.5,227,283.5
"3",3,315,549,112,294,375,456,192,330,234,292,275,310,231,232,319,672,472,266,394,327,257,775,237,335,373,601,734,351,697,232,344
"4",4,313,554,109,273,392,430,221,284.5,223,275.5,270.5,286,233.5,233,303.5,656,425.5,220.5,378,341,254.5,794.5,248.5,279.5,356,334,652.5,303.5,609,219,251.5
"5",5,287,542,68,239,388,498,221,252,246,276,274,309,232,232,268,649,383,217,327,339,251,818,210,244,529,305,234,468,545,223,207
"6",6,458,594,176,326,556,9,249,264,206,219,355,522,235,228,315,632,406,676,411,352,230,703,199,296,315,325,588,334,432,221,251
"7",7,356,576,121,293,471,0,218,348,194,243,291,313,230,232,358,658,464,264,381,349,219,752,223,310,319,411,679,296,527,221,349
"8",8,335,568,65.5,260.5,475.5,141,219,265,224,244.5,215,315,235,229,315.5,731,361.5,521.5,299,336,339.5,302,219,269.5,266,318.5,407,291.5,437,225,224.5
"9",9,284,550,110,301,444,386,229,255,213,308,305,314,228,232,318,763,416,289,387,339,480,650,205,268,291,321,280,290,499,221,246
"10",10,256,527,64,243,452,247,227,251,225,231,255,303,231,231,296,512,393,230,293,337,229,699,221,257,303,297,240,283,442,227,235
"11",11,317,562,89,284,507,382,226,274,210,252,260,292,233,232,301,731,312,456,338,339,405,514,231,274,264,307,244,266,419,222,234
"12",12,284,539,90,290,475,8,234,262,191,291,312,297,232,232,358,751,457,266,360,336,499,351,255,293,284,342,269,293,452,221,245
"13",13,308,547,129,588,463,51,233,252,226,237,255,312,229,232,318,512,438,287,359,343,241,688,217,319,316,348,261,305,448,227,247
"14",14,285.5,537,103,256,533.5,0,590,307.5,197,230,467.5,290.5,232,233,312,695.5,414.5,679,364,344,226,319,226.5,267,288.5,382,241,288.5,417,228.5,325.5
"15",15,229,496,198,380,712,0,228,283,215,234,425,273,229,233,363,495,322,232,358,364,180,439,249,293,391,520,469,463,242,249,373
"16",16,263,530,96,276,540,0,234,253,218,217,281,290,230,232,306,524,346,291,322,344,223,294,225,288,281,319,274,288,411,227,248
"17",17,253.5,529,130,324,489,1.5,239,486.5,211,220,247,313.5,234,230,339,574,436.5,292,346.5,339.5,219.5,506.5,221,316.5,284.5,321,289,280,416.5,226,265.5
"18",18,267.5,538.5,83,263.5,477,195.5,234.5,304,210.5,286,311,287,233,231.5,345,619.5,412,248,334,336.5,217.5,498,254,279.5,272.5,300.5,253,283,397,222,266.5
"19",19,345,570,174,594,568,53,230,218,199,208,304,314,232,232,468,517,277,701,412,374,215,323,227,321,301,340,698,313,390,227,248
"20",20,330.5,567,116,266.5,514,0,544.5,356,196.5,242.5,367.5,302.5,231.5,231.5,311,692.5,479.5,705,385.5,350,238,326.5,222,296,350,343.5,551,293,428,223,312.5
"21",21,297,541,129,290,561,0,336,377,206,249,438,320,233,231,359,706,557,731,454,353,233,368,244,271,630,347,271,311,494,226,436
"22",22,296,550,138,400,586,0,260,237,203,232,420,327,232,233,366,590,480,329,436,352,206,357,232,377,432,444,417,339,421,238,297
"23",23,295.5,549,171.5,726,505.5,0,320.5,481,207,214,292,312.5,232,231,336,555.5,430.5,315,406,345.5,219.5,314,221,379,313.5,352.5,266.5,293.5,409.5,227,243
"24",24,289.5,544,65,254,469.5,52.5,237,258.5,226,522,294,300,231,231,319.5,690,373.5,241.5,305.5,336,227,283.5,227,290.5,256,606,275,485,501.5,225.5,250
"25",25,371,572,248,703.5,561,8,259.5,177.5,191,198.5,268.5,286.5,230,231,382,503.5,323,473,436,432.5,195,306,238,367.5,338,365,702,327,367,225,266.5
"26",26,316,562,117,264,591,0,507,323,177,200,342,300,232,232,346,618,456,604,365,367,209,312,223,305,274,369,813,341,387,223,280
"27",27,332.5,558,129,684.5,497.5,0,241.5,459.5,210,241,403,317,230,229.5,408,632.5,557,423,420.5,345.5,225,333,221,330,522,282,335,301,422.5,221.5,453.5
"28",28,287,539,175,797,514,0,251,265,213,220,290,300,230,232,346,542,419,296,389,372,221,302,223,352,302,337,298,323,410,229,243
"29",29,270,535,78,264,412,159,231,260,239,452,252,320,229,232,308,718,434,264,318,337,248,266,247,285,273,317,258,319,496,227,196
"30",30,294,548,75,257,508,85,239,242,207,482,265,193,232,230,328,710,365,238,313,338,211,296,514,285,258,301,259,311,408,226,229
"31",31,694,650.5,428.5,491,690.5,0,257,336,184.5,199,322,296,232,230,506,534,314,591,473,522,185,360,226,434,479,527,608.5,406,297,230,317.5
"32",32,320.5,559,110.5,265.5,578,0,441.5,120.5,183.5,210,331,303.5,230,231,375.5,621,479,613.5,362,331,186,301.5,225.5,336,285,390,839,431.5,418.5,225,294
"33",33,302,556,116,265,587,0,501,108,183,207,325,299,231,233,382,619,466,617,359,356,211,293,227,314,275,358,836,241,434,222,257
"34",34,317.5,561,153,284.5,596,0,524,248,187,197,311.5,309.5,231,231,448,550.5,467.5,405,381,349.5,205,291.5,224,343,286,384.5,783.5,312,388.5,224.5,273.5
"35",35,333.5,565.5,257.5,666.5,624.5,0,583.5,293,182.5,193,285,302,230,231,434.5,517.5,456,322.5,419,354,217.5,291,219,389.5,321,397,715,302,409,222.5,253
"36",36,273.5,534.5,82,267,458.5,1.5,216.5,235.5,203,387.5,275,299.5,231,231,314.5,733.5,439.5,261,345,326,320,297,230,290.5,280.5,365,762,381.5,500,227.5,245.5
"37",37,283,540,85,269,476,88.5,225.5,242.5,190,440.5,261.5,236,230,230,337.5,726,395,251.5,336,343.5,210,300.5,442,292.5,273,330,711.5,332,423,224.5,250
"38",38,560,605.5,537.5,534.5,799,0,247,375,214,347.5,506,306,233,233,477,607,495.5,384.5,502,442.5,119.5,578.5,290.5,419,531.5,641,596,594,175.5,271.5,509
"39",39,329,560,152,263,551,0,542,248,181,273,522,283,228,229,452,748,564,752,466,343,209,396,274,264,678,286,735,366,513,210,385
"40",40,287,546,102,271,488,0,253,395,184,231,283,316,230,230,405,583,511,329,348,330,204,393,212,327,281,318,715,298,423,227,384
