"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",225,216.5,220,225,221.5,227,224,220.5,218.5,226,218.5,224,224,221,242,229,229,221,229,227,225,227,227,225,232,227,229,228.5,223,226,233,232,226,226,226,222,230,232,216.5,227.5
"02_Mock_02",225,219.5,224,223,223,214,223,222.5,226.5,227,225.5,218,227,224,243,227,226,222,226,223,229,227,232,229,225,227,216,229,223.5,225.5,233,224,221,227,225.5,224,223.5,252,206,230
"03_Mock_03",224,214.5,221.5,215,225,223,225,230,220,226,220.5,220,227.5,223,246,227,230,216,225,229.5,220.5,223,228,226,228,223.5,231,227,221.5,222,227,224,219.5,226,222,225,223,247,209,226
"04_Mock_04",225,227,232,219,223,221,221,225,221,227,222,221,227,228.5,249,227,226,222,227,223,226,238,227,225.5,225,223,221.5,229,227,226,230,225,222,224.5,222.5,227.5,224.5,271.5,210,227
"05_Mock_05",224,220.5,222,219.5,223,225,221,218.5,226.5,227,220,225,226.5,222,232,229,226,217,225,224,215,229,227.5,229,226,226,214,225,222,225,231,225,221,225,229,221.5,224,258.5,231.5,229
"06_Mock_06",225,197,224,221,222,228,224,232.5,219,226,222.5,222,227.5,222,250,226,227,229,227,224,225,229.5,227,226,226.5,225,217,225.5,226.5,219,233.5,226.5,227,227,223,220,226,232,211,224
"07_WNV_01",225,232,229,223,222,216,223,226,223,225,223,219,222.5,223,248,227,226.5,229,225,217.5,224,223,228,225,226,225,226,228,221,228,232,225,224,222,223,220,224,234,219,230
"08_WNV_02",225,215,224.5,220,221,225,222,226,220,226,229,227,226,226,236,228,225,233,225.5,226,228,225,232,228,223,224,235,227,225,226,230,227,223,225,227,225,226,233.5,219,221
"09_WNV_03",225,218,227.5,222,221,229,222,225.5,221,221.5,225,218,226,220,245,227,230,222,226,221,221,228,227,225,228,224,220.5,227,219,219,232,226,223.5,226,224,223,224,237,212,226
"10_WNV_04",223,205,225,221,219,216,219,224.5,224,224,224,221.5,227,229.5,238,226,226.5,221,225,231.5,216,227,223,222,226,223,228.5,227,223,222,227,224,221,224,225,219,223,239,228,223
"11_WNV_05",223,210,216,218,218,233,223,220.5,215,224,223,218.5,221,223,242,224,221,232.5,226,213.5,226.5,228,231,226,223,222,223.5,226,226.5,222.5,228,222.5,220,225,225,220,221,245,223,219.5
"12_WNV_06",222,199,219,219,219,213,218,218,215.5,223,222,220,223,221,233.5,223,224.5,225,224,215.5,220,227.5,224,223,227,218,222.5,226,221,220,227,221,217.5,221,224.5,216.5,219,254,209,223
