"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,292,548,118,293,541,174,234,245,213,220,341,480,231,231,297,598,262,667,345,350,224,307,231,291,273,318,571,288,433,224,234
"2",2,461,601.5,176.5,341.5,470,0,254.5,252.5,228,307.5,500,356,232,231,363,708.5,519.5,609,430,353,264,823,217,325,577.5,406,695.5,484,703,213,297
"3",3,294,545,115,299,360,454,187,314,232,307,284,302,231,231,345,677,466,270,401,330,252,793,253,334,411,599,776,392,745,223,338
"4",4,267,532,72,259,391,449,218,253,236,277,299,302,231,231,295,635,401,226,328,338,246,816,227,263,401,316,613,381,635,221,222
"5",5,276,537,65,246,370,532,220,258,252,283,285.5,307,231,231,270,655,378,215,315,340,258,829,220,248,443,306,274,448,632,220,206
"6",6,382,580,159,334,539,58,235,230,211,236,393,496,231,231,329,642,367,667,400,354,222,643,218,321,319,338,597,303,468,222,265
"7",7,306,554,122,303,490,0,215,368,191,251,292,303,231,231,368,644,439,265,385,354,215,740,226,320,310,407,717,304,670,222,362
"8",8,298,549.5,89,280,477.5,271.5,237.5,254.5,213,254,334,300.5,231,233,300.5,716,358.5,535.5,341.5,337,419.5,323,228,296.5,291.5,324,523,289.5,508,224,235.5
"9",9,322.5,558,114,313,451.5,159,229,273,209,303,311,308,231,232,341,753,439,311,382,342,531,689.5,221,302.5,300,340,320.5,311.5,531,219,260
"10",10,262,530,61,248,452,288,225,253,226,235,268,303,231,231,300,524,383,235,288,338,230,719,223,259,303,303,258,290,472,225,231
"11",11,316,559,96,283,488,143,225,265,209,262,249,296,231,231,316,736,394,501,344,341,458,528,220,299,282,320,284,289,448,223,264
"12",12,287.5,544.5,102,296,474,0,230,275,202,379.5,296.5,302,231,232,352,765,456,272,364.5,340,516.5,376,237.5,305,295.5,333.5,327.5,307,495.5,219,239
"13",13,249,521.5,87,594,452.5,177,228,270.5,231,239.5,296.5,306.5,232,230.5,305,518,391.5,255.5,320,339.5,232,692,220.5,285,297,311.5,275.5,310,545.5,225.5,237.5
"14",14,265,539,95,283,556,0,459,287,195,253,657,296,230,233,328,706,424,624,331,341,222,321,218,276,294,338,312,287,651,223,352
"15",15,228,492,203,393,689,0,231,299,207,239,408,271,231,231,367,468,297,245,369,369,185,461,241,312,395,520,462,486,284,241,408
"16",16,285,539,96,278,527.5,24,232,253,217.5,224,305.5,295,230,232,319,527,341,298,320,343,221,295,228,285,280,322,289,285,430,226,243
"17",17,285,547,142,319,505,27,235,556,205,224,263,308,231,231,348,570,393,285,354,342,213,494,220,318,292,325,307,286,566,226,257
"18",18,297,544,109,295,533,0,234,256,187,386,305,300,233,231,357,731,420,266,350,343,233,495,240,286,286,307,293,297,452,226,248
"19",19,364,573,216,549,579,0,237,224,197,209,409,312,231,231,520,561,334,684,420,389,212,334,229,349,325,366,669,320,417,225,260
"20",20,277,535,109,303,562,0,456,290,192,259,657,293,232,231,336,716,450,675,356,344,225,341,224,284,315,345,583,296,646,223,365
"21",21,301,553,127,317,535,0,260,331,194,266,565,308,231,232,385,727,532,669,416,349,230,346,221,293,590,384,482,316,686,223,534
"22",22,270.5,531.5,135.5,409.5,597,0,254,269.5,203.5,232,537,305,231,230,362,621,448,370.5,412.5,351,216,351.5,226,356.5,407,446,498,348,504,226,318
"23",23,318,553,194,722,531,0,267,557,203,216,347,307,231,232,374,584,443,355,409,349,211,332,226,402,331,368,347,302,606,227,250
"24",24,282,541,69,257,477,0,240,268,228,535,304,296,231,232,324,699,385,250,310,337,220,277,224,292,262,617,354,518,685,224,251
"25",25,357,570.5,305.5,723,575.5,0,238,197,192,203,320.5,299,232,232,475.5,521,381,487.5,460.5,445,197,317,227,404.5,352,383,707,324.5,375,225,263
"26",26,318,559,148,294,583,0,382,321,176,219,427,307,231,231,374,663.5,469,647,395,367,214.5,332,227,314,309,372,794,336,467,223,281
"27",27,323.5,565,169,636.5,520,0,248.5,536.5,197.5,235,439.5,329,231,230.5,427.5,655,544,444,425,351,225,368,224.5,356,454.5,373,563.5,308.5,632,225,391.5
"28",28,287,543,191,789,528,0,251,265,208,219,372,306,231,232,379,567,426,326,386,372,217,304,226,372,320,359,373,331,460,227,257
"29",29,290,544.5,95,285.5,435,67.5,230,270.5,222.5,441,281,303,231,231,348.5,763,450.5,276,346.5,339,256.5,280,296.5,298.5,291.5,329,338,365.5,568,222,218
"30",30,284,542,73,262,485,112,238,254,216,481,261,196,231,231,322,715,375,244,325,339,220,286,534,277,263,311,292,345,533,223,236
"31",31,695,651,435,485,684,0,256,340,180,206,378,298,231,231,519,572,339,571,462,548,182,374.5,224,426,476,534,714,416,300,229,329
"32",32,303,552,138,290,573,0,365,128,183,222,434,316,231,231,397,672,492,651,385,336,196,316,224,342,317,395,833.5,419,476,224,305
"33",33,326,562,159,298,597,0,446,98,168,220,435,309,231,232,414,669,479,663,403,399,208,334,229,316,309,363,828,230,486,221,275
"34",34,335,565,219,326,596,0,509,255,179,204,362,315,231,231,498,602,489,393,422,360,199,313,224,372,332,409,779,339,429,224,279
"35",35,366,575,297,660,603,0,537,289,188,199,298,312,231,231,492,539,471,347,443,370,206,307,224,422,350,420,716,333,414,225,269
"36",36,284,540,96,284,442,0,217,246,209,440,311.5,310,231,231,350,746,464,276,358,333,364.5,304,243,307,294,378,771,418,616.5,220,254
"37",37,303,551,97,281,510,0,228,238,191,462,296,233,231,232,363,733,421,265,355,352,211,322,479,293,279,340,747,384,574,222,262
