V1,FSC.A,FSC.PMT.A,SSC.A,BB515.CD117,PerCPCy5.5.CD16.32,Comp.FSC.PMT.A,PE.CD115,PECF594.CD135,Comp.GYG.670.A,PECy5.5.CD3e,PECy7.CD80,DL800.SA.Bio.Ly6G,Comp.LG.562.A,Comp.O.610.A,APC.BrdU,AF700.CD45,APCCy7.CD48,BUV395.CD11b,LiveDead.Blue,BUV615.Siglec.F,BUV661.NK1.1,BUV737.B220,BUV805.CD8a,BV421.CD34,V500.MHCII,BV570.CD4,BV605.Ly6C,BV650.CD150,BV711.SCA.1,Comp.V.750.A,BV785.CD11c,FileName,FileNo,Sample,Group,Batch,FlowSOM_cluster,FlowSOM_metacluster,UMAP_42_X,UMAP_42_Y
629278,250,520,51,224,360,473,230,242,244,261,192,231,237,234,287,435,443,207,242,333,247,676,315,259,302,300,223,288,537,204,276,Bone marrow_Mock 6_042_CD45+n=1e4,6,06_Mock_06,Mock,2,50,10,-0.537733393320029,8.50095587646323
80587,295,571,130,464,567,16,271,201,194,230,336,444,231,230,363,548,304,650,357,352,170,293,258,221,272,303,594,325,351,221,273,Bone marrow_Mock 6_042_CD45+n=1e4,6,06_Mock_06,Mock,2,52,1,-1.70151423320721,-4.43432347458591
594502,273,547,119,464,581,0,237,226,163,183,249,313,225,212,305,473,292,662,306,352,207,288,193,330,255,424,628,271,429,239,278,Bone marrow_Mock 6_042_CD45+n=1e4,6,06_Mock_06,Mock,2,63,1,-0.50971988526327,-3.6620716834122
740526,276,546,52,226,364,583,226,250,243,237,351,281,235,232,341,663,322,274,282,327,227,782,185,202,453,330,224,481,525,217,190,Bone marrow_Mock 6_042_CD45+n=1e4,6,06_Mock_06,Mock,2,28,5,-3.03039144055793,8.46904958739382
737409,322,580,58,240,539,346,209,266,191,187,362,336,229,223,296,491,262,199,275,337,212,711,174,294,299,411,150,299,317,257,218,Bone marrow_Mock 6_042_CD45+n=1e4,6,06_Mock_06,Mock,2,49,10,-0.970787250905081,9.26894019848308
736838,370,555,90,416,566,240,241,198,229,211,220,527,225,236,277,626,182,582,335,342,209,280,227,340,283,227,560,272,357,228,273,Bone marrow_Mock 6_042_CD45+n=1e4,6,06_Mock_06,Mock,2,31,1,-2.71023165664537,-4.80538458774537
193331,251,538,103,275,548,0,252,280,236,237,279,503,230,237,199,572,344,600,348,331,263,278,228,335,295,314,517,354,454,245,263,Bone marrow_Mock 6_042_CD45+n=1e4,6,06_Mock_06,Mock,2,14,1,-3.7193718793242,-2.9975993573378
726225,924,708,471,500,705,8,312,400,133,200,391,311,232,214,567,536,269,554,464,522,142,369,207,412,533,563,593,358,233,228,371,Bone marrow_Mock 6_042_CD45+n=1e4,6,06_Mock_06,Mock,2,92,31,10.4779436739089,2.02524446576305
171684,295,545,69,224,311,595,223,300,275,308,263,215,243,229,226,668,418,114,344,329,288,786,370,267,558,284,250,452,647,232,273,Bone marrow_Mock 6_042_CD45+n=1e4,6,06_Mock_06,Mock,2,10,5,-2.80161839545343,7.43461394260841
156141,157,446,69,193,454,0,250,222,216,229,329,146,234,237,321,693,353,162,350,342,214,825,424,229,728,186,255,583,528,230,174,Bone marrow_Mock 6_042_CD45+n=1e4,6,06_Mock_06,Mock,2,30,5,-2.75454572007612,7.47074771721348
