V1,FSC.A,FSC.PMT.A,SSC.A,BB515.CD117,PerCPCy5.5.CD16.32,Comp.FSC.PMT.A,PE.CD115,PECF594.CD135,Comp.GYG.670.A,PECy5.5.CD3e,PECy7.CD80,DL800.SA.Bio.Ly6G,Comp.LG.562.A,Comp.O.610.A,APC.BrdU,AF700.CD45,APCCy7.CD48,BUV395.CD11b,LiveDead.Blue,BUV615.Siglec.F,BUV661.NK1.1,BUV737.B220,BUV805.CD8a,BV421.CD34,V500.MHCII,BV570.CD4,BV605.Ly6C,BV650.CD150,BV711.SCA.1,Comp.V.750.A,BV785.CD11c,FileName,FileNo,Sample,Group,Batch,FlowSOM_cluster,FlowSOM_metacluster,UMAP_42_X,UMAP_42_Y
665945,188,492,106,265,549,0,292,268,190,241,454,568,235,221,233,667,308,788,337,363,292,440,272,365,439,282,621,264,426,244,241,Bone marrow_Mock 5_041_CD45+n=1e4,5,05_Mock_05,Mock,1,2,1,-4.34254677515013,-4.68862525120203
85284,248,529,63,254,455,94,231,340,235,516,426,307,230,235,253,706,358,214,323,333,251,278,238,245,230,637,215,594,562,195,127,Bone marrow_Mock 5_041_CD45+n=1e4,5,05_Mock_05,Mock,1,70,24,5.56222839574898,3.04336911762757
628856,257,536,71,451,473,366,219,246,195,231,255,258,232,228,329,432,335,172,299,339,228,639,294,347,277,310,241,221,415,217,283,Bone marrow_Mock 5_041_CD45+n=1e4,5,05_Mock_05,Mock,1,49,10,-0.272895237769147,8.79470801441994
783627,277,555,114,284,481,0,510,264,207,252,253,292,230,226,249,668,454,736,234,331,265,260,282,369,297,501,759,506,538,220,198,Bone marrow_Mock 5_041_CD45+n=1e4,5,05_Mock_05,Mock,1,75,26,7.29753400280921,-1.79537740939435
780221,416,566,286,337,588,0,264,353,170,265,339,525,222,232,356,709,542,742,435,379,215,678,193,391,297,421,627,355,340,221,520,Bone marrow_Mock 5_041_CD45+n=1e4,5,05_Mock_05,Mock,1,16,6,-2.63938362782586,-4.43126641172781
779548,266,547,104,243,519,453,240,237,228,238,278,562,240,235,261,628,177,655,384,341,261,244,227,351,250,354,574,337,458,224,236,Bone marrow_Mock 5_041_CD45+n=1e4,5,05_Mock_05,Mock,1,25,1,-5.13795910036438,-4.01263791735683
204569,553,635,421,452,659,0,259,378,158,232,299,275,226,230,533,549,326,649,470,535,193,349,269,459,509,535,637,331,407,241,270,Bone marrow_Mock 5_041_CD45+n=1e4,5,05_Mock_05,Mock,1,92,31,10.5827260979164,1.91892831347503
768107,357,570,86,446,567,264,221,263,194,195,315,473,231,240,295,606,188,689,243,343,205,243,253,227,274,302,577,345,396,204,193,Bone marrow_Mock 5_041_CD45+n=1e4,5,05_Mock_05,Mock,1,42,1,-1.82167451382199,-4.53410505515459
181653,305,546,117,285,545,139,240,272,217,242,239,526,246,251,357,618,258,667,388,345,202,339,212,338,240,346,567,272,450,246,270,Bone marrow_Mock 5_041_CD45+n=1e4,5,05_Mock_05,Mock,1,14,1,-3.88807657630786,-3.56887162643134
165213,356,554,98,396,527,434,211,218,255,214,368,385,225,238,219,567,182,704,337,343,236,292,241,309,296,384,630,337,424,229,216,Bone marrow_Mock 5_041_CD45+n=1e4,5,05_Mock_05,Mock,1,53,1,-1.8375613011086,-3.59460707707913
