V1,FSC.A,FSC.PMT.A,SSC.A,BB515.CD117,PerCPCy5.5.CD16.32,Comp.FSC.PMT.A,PE.CD115,PECF594.CD135,Comp.GYG.670.A,PECy5.5.CD3e,PECy7.CD80,DL800.SA.Bio.Ly6G,Comp.LG.562.A,Comp.O.610.A,APC.BrdU,AF700.CD45,APCCy7.CD48,BUV395.CD11b,LiveDead.Blue,BUV615.Siglec.F,BUV661.NK1.1,BUV737.B220,BUV805.CD8a,BV421.CD34,V500.MHCII,BV570.CD4,BV605.Ly6C,BV650.CD150,BV711.SCA.1,Comp.V.750.A,BV785.CD11c,FileName,FileNo,Sample,Group,Batch,FlowSOM_cluster,FlowSOM_metacluster,UMAP_42_X,UMAP_42_Y
780675,410,601,150,279,469,541,230,226,264,281,369,548,240,227,218,618,316,694,382,344,271,325,226,281,250,292,544,317,478,236,226,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,25,1,-4.12353554787982,-4.21931337074095
99981,232,491,53,231,342,495,224,180,258,285,228,302,228,217,217,624,437,232,304,345,271,758,205,217,413,291,428,307,599,202,154,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,28,5,-1.59163719997714,8.52752873838929
736346,302,560,109,327,476,519,219,302,229,220,319,310,232,236,241,582,225,608,378,358,241,335,243,167,264,299,602,373,459,213,178,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,54,1,-2.33588560306778,-2.93876965170743
918487,263,518,101,362,500,210,239,237,210,250,380,358,233,235,492,579,301,639,378,357,223,314,206,307,288,330,492,268,483,237,238,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,45,1,-2.3578183846377,-2.58004170825857
914177,188,425,181,322,662,0,419,397,147,170,515,355,231,228,546,638,531,530,369,496,171,365,273,405,295,439,845,499,235,255,334,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,76,26,6.68783953884823,-1.40093533320254
913184,206,511,62,247,258,589,219,132,274,323,222,367,209,223,229,666,479,75,334,338,316,858,169,327,472,322,548,548,702,230,98,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,8,4,-3.37291340061646,7.56432571304985
239734,341,588,167,299,343,0,194,378,201,514,45,157,247,235,400,794,564,291,460,233,220,390,524,367,324,495,885,578,714,277,380,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,90,37,6.45820207514433,4.51358058853396
899152,374,566,319,384,625,0,556,253,141,156,340,290,226,213,470,567,461,407,408,352,174,252,276,372,367,367,725,166,395,228,278,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,96,34,5.98769685835705,-1.34368798392322
212847,381,589,231,583,575,0,160,79,186,174,409,233,212,225,431,516,331,575,438,372,166,296,242,366,343,468,774,350,336,239,276,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,72,19,0.937883331399315,-3.85131260356368
193601,360,551,191,290,597,0,218,294,171,183,404,330,235,247,650,685,432,552,509,333,183,314,190,330,290,277,715,385,476,205,116,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,74,26,7.12800359808811,-1.38897246921451
707586,321,558,331,596,634,0,272,54,217,163,400,269,231,238,594,607,395,573,491,440,155,385,273,369,366,441,728,372,273,246,338,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,72,19,1.03964535113173,-3.82621045881734
799936,312,568,100,257,559,0,258,265,251,194,408,582,228,233,229,626,357,635,381,321,271,213,182,275,283,361,619,274,529,198,216,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,14,1,-4.14433423507898,-5.01082667838624
384981,296,556,137,285,487,81,375,174,169,240,399,303,223,231,434,644,416,667,352,340,224,373,235,291,291,418,819,238,599,248,127,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,95,33,6.91359849251745,-2.2641006452815
555274,270,527,161,268,458,0,203,359,134,300,324,334,233,231,524,656,586,342,328,360,219,628,175,358,295,314,884,200,731,209,467,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,27,7,-0.183068225405009,5.9029360578485
304606,353,562,96,254,332,605,242,265,242,484,218,292,227,228,350,763,393,361,284,333,280,210,301,205,317,353,339,332,577,208,162,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,79,29,5.41126296238518,3.53662612191266
570674,395,570,184,292,553,0,464,212,251,253,265,337,224,236,347,668,520,610,441,260,255,240,315,365,360,507,830,377,581,164,285,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,75,26,7.29970082744642,-1.925136861809
22975,293,553,183,355,539,197,215,285,206,194,302,302,228,224,518,530,264,669,358,363,207,312,215,331,281,368,649,278,486,218,197,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,64,1,-1.35138966967588,-3.23248106373543
610535,248,540,60,289,250,633,214,258,313,327,234,272,234,213,196,708,453,306,266,338,324,843,255,256,473,343,248,561,715,226,256,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,10,5,-3.14869488066405,7.59499760437931
428235,495,620,256,323,612,0,493,263,125,194,523,381,227,237,676,708,548,708,461,242,101,294,208,378,300,447,926,481,596,211,354,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,94,32,7.51625566243972,-1.75848378836525
239970,204,497,143,250,530,84,263,247,236,226,408,473,233,227,262,597,257,674,368,342,282,345,242,245,282,250,399,257,433,227,251,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,35,1,-3.62502816644932,-2.53438152561737
426143,206,486,96,223,521,57,215,316,184,208,337,605,231,233,226,651,269,797,449,372,273,327,221,184,263,297,511,335,464,215,159,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,24,1,-4.89989761602924,-3.97157086250902
831321,229,518,44,221,318,589,192,332,270,281,394,354,242,228,253,648,395,126,349,341,282,789,211,172,386,380,182,391,733,202,141,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,28,5,-2.43210686213769,8.11042310491688
814596,166,480,108,298,574,0,231,140,220,203,459,597,234,227,329,629,254,638,359,355,165,325,193,324,327,358,641,393,464,234,275,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,21,1,-4.96305948304033,-5.02847799603849
217383,473,605,72,240,613,0,232,315,166,183,292,325,232,229,341,672,348,329,279,332,154,836,158,182,217,323,461,315,367,248,188,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,18,4,-1.53342746600682,8.83378716504354
570296,141,437,101,271,588,0,201,302,202,165,462,527,227,220,305,639,198,630,241,338,232,297,228,308,289,358,518,290,386,238,283,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,33,1,-4.40807907094921,-3.10922682307191
941574,212,509,70,255,518,30,235,275,217,232,307,355,225,233,353,518,326,238,244,335,182,697,160,259,304,221,266,271,352,231,259,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,49,10,-0.905330432473515,9.06600041263858
320295,223,510,71,247,498,203,224,264,194,272,316,273,228,220,285,667,283,267,308,338,205,829,281,274,469,207,305,364,473,223,225,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,29,5,-2.10204291106998,8.38115259637893
717356,332,566,73,250,299,642,184,315,281,320,276,366,246,229,291,690,354,148,383,341,265,843,156,83,344,461,113,492,646,166,121,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,28,5,-2.61922769997075,8.24508845021691
382942,345,583,148,260,588,0,196,395,79,207,409,329,242,236,349,660,508,226,306,512,217,584,173,348,254,366,861,333,723,262,450,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,98,40,-0.156109704425612,5.90286542678337
713403,345,546,118,338,556,18,213,346,229,195,449,493,221,226,240,635,257,692,244,345,238,393,219,328,293,367,562,471,385,228,250,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,15,1,-3.3815066641376,-4.32278794893014
807533,298,537,74,239,269,677,183,287,278,339,268,371,220,231,256,623,281,165,312,337,307,806,154,325,331,349,244,353,657,239,151,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,28,5,-2.24381742115476,8.44049792339028
870908,194,483,123,257,626,0,228,330,166,156,332,551,223,236,314,615,174,639,318,345,215,341,196,358,277,281,573,230,299,230,271,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,12,1,-4.50590548755581,-3.20493675814789
692979,379,598,110,286,530,502,235,213,243,235,277,355,226,235,287,596,220,639,319,355,218,294,235,320,284,345,531,295,447,232,244,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,45,1,-2.51468420976169,-2.59779802143099
527599,389,597,146,270,592,287,239,312,231,190,359,447,222,226,274,623,176,625,356,338,215,277,237,221,252,261,494,312,362,215,284,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,33,1,-3.6782410533123,-2.82104662508558
218309,201,498,119,271,349,555,141,416,171,329,319,320,231,233,309,658,374,323,388,302,295,774,233,304,329,556,862,336,777,239,319,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,7,3,-0.481616520190685,6.20955454524663
176631,317,562,128,268,606,0,263,170,189,153,290,567,212,232,304,570,217,625,323,353,224,302,207,322,267,314,439,225,343,207,174,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,35,1,-4.72326214715015,-3.17949727036018
589,510,603,77,242,515,359,213,250,171,228,230,326,242,235,361,584,346,266,279,344,170,797,173,203,277,300,245,417,442,215,168,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,40,10,-1.57192773880516,9.02254184946292
776141,643,629,231,320,619,36,217,444,126,182,373,517,226,225,375,630,257,674,469,429,201,304,223,492,321,505,688,467,342,219,249,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,15,1,-3.44946129633871,-4.58576111572459
934669,390,576,199,292,541,0,503,105,136,219,437,303,227,225,605,579,557,450,403,319,233,277,204,401,355,473,819,458,502,237,183,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,86,34,6.51350841390931,-1.51321593960765
504020,505,626,144,238,578,268,238,270,180,203,286,457,231,229,276,580,304,629,260,363,204,364,251,314,240,331,539,384,348,206,227,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,44,1,-3.21526556643065,-2.96918753269819
92653,238,502,46,250,485,136,246,247,208,188,233,278,209,232,261,535,347,133,295,323,239,617,324,206,278,265,301,227,430,237,199,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,50,10,-0.3317758197795,8.72658688883612
166080,736,672,501,493,718,0,283,164,109,161,395,306,231,224,523,637,319,462,440,667,100,395,194,359,409,486,772,318,179,189,460,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,82,31,10.2994126341295,1.49909430742703
816379,264,476,195,424,574,0,243,243,185,186,403,267,238,236,243,578,280,732,211,363,256,250,238,350,315,300,639,217,457,230,212,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,63,1,-0.441058811865056,-3.51114685547931
172148,319,555,53,222,434,325,245,233,238,193,211,247,235,227,250,667,417,146,295,330,228,804,317,225,337,254,302,365,596,206,227,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,50,10,-1.4900869820479,8.05744400419763
437030,587,636,247,465,611,169,239,149,221,196,339,343,233,248,551,563,289,612,397,384,141,285,196,313,269,276,670,271,380,216,223,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,63,1,-1.16135857609823,-3.55024154722067
272873,367,580,144,518,450,374,249,254,224,314,475,340,222,228,224,732,422,274,403,347,559,601,150,251,293,320,331,278,499,199,243,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,37,9,4.5355179514962,4.6476396228127
648482,394,601,115,266,626,3,274,217,225,147,405,555,227,241,334,639,205,684,365,348,185,290,253,350,264,306,490,266,392,219,178,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,25,1,-4.94819405932369,-3.12560255981315
395836,420,581,78,252,549,422,230,246,173,191,335,525,230,229,294,638,200,743,316,353,238,352,209,243,264,281,535,280,367,214,284,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,23,1,-5.0777312509691,-3.60304958381395
811419,396,595,181,297,583,0,455,304,214,221,412,331,218,229,267,677,393,685,453,424,191,319,228,240,246,377,752,367,341,209,309,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,76,26,6.66158783153982,-1.67739002049083
580634,187,488,70,253,273,622,210,296,295,305,197,403,215,230,261,706,383,285,279,344,278,820,130,188,510,341,183,544,699,240,222,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,20,5,-3.24469475382928,8.40066703356983
62931,461,618,203,339,581,0,238,269,230,244,306,304,223,222,572,573,387,238,389,381,189,305,208,273,301,265,327,324,412,210,247,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,69,16,4.72963683003043,1.93316800656176
223358,267,539,43,225,412,554,236,232,233,236,140,253,238,230,276,645,290,191,273,332,254,804,235,193,277,299,226,327,600,172,279,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,50,10,-1.83339265412807,8.54585997464717
256852,235,510,51,227,237,664,235,206,339,310,293,299,219,220,175,678,412,194,293,329,334,829,259,208,509,389,536,477,691,212,240,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,8,4,-3.41944617955461,7.57201658913448
147792,370,579,81,355,547,256,223,246,158,182,212,381,210,235,309,478,269,619,253,333,203,282,186,180,225,313,601,324,419,200,244,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,54,1,-1.95741531275484,-3.2348388292197
265895,205,494,106,291,547,76,239,299,210,220,437,527,217,222,230,625,202,704,147,328,240,292,232,269,295,299,631,325,410,250,204,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,15,1,-4.72092969294555,-4.48446611965059
56091,513,617,126,303,557,509,175,379,169,175,397,390,230,234,336,544,204,691,439,330,220,344,196,151,258,341,562,263,463,196,199,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,34,1,-2.10509653412342,-3.12649453754904
641375,276,554,126,293,546,185,256,127,223,243,286,330,229,233,303,536,254,585,313,367,218,358,256,282,305,280,639,276,442,224,277,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,43,1,-1.8337229399191,-2.82089663760981
433917,204,478,79,300,247,666,209,246,300,333,353,286,236,221,303,659,328,96,321,347,279,826,256,333,402,259,316,514,710,238,66,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,28,5,-2.97481148540778,8.19346760439029
791543,438,615,262,699,626,0,650,315,129,155,342,343,231,226,475,550,494,391,412,370,163,356,169,415,358,515,737,279,376,216,242,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,87,35,4.94583019943648,-0.420356632641683
84644,301,556,62,244,319,609,188,319,270,244,338,271,195,242,266,696,358,135,384,329,227,816,193,124,532,372,387,559,668,217,260,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,19,5,-3.35542318904374,7.7085936114071
760109,573,633,437,515,676,0,290,24,176,215,416,292,235,235,524,609,258,605,449,678,175,434,226,446,471,437,778,449,222,254,379,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,82,31,10.2701730025931,1.44711130081627
583650,316,551,102,255,565,200,218,299,184,202,330,339,228,234,316,597,179,633,357,358,177,306,218,331,293,274,506,348,371,233,171,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,45,1,-2.78340746804738,-2.63515341469681
599270,317,548,129,655,599,0,235,242,209,214,452,421,233,226,332,621,270,665,387,355,190,295,269,254,282,340,439,286,414,224,280,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,52,1,-0.928201569017737,-4.34813780103514
371502,274,497,143,293,617,0,241,183,190,172,407,372,229,232,327,606,332,664,314,368,159,374,188,318,305,320,482,317,328,219,239,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,55,1,-2.81941079197358,-2.54782133498947
