"","Group","Sample","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1","Mock","01_Mock_01",0.4709,0.0016,0.0054,0.0053,0.1036,0.002,0.0117,0.001,0.0032,0.0734,0.004,0.0031,0.004,0.0128,0.0045,0.0236,0.0049,0.0017,0.0376,0.0049,0.0049,0.003,0.005,0.0094,0.0045,0.0408,0.0016,0.014,0.0037,0.0103,0.0331,0.0095,0.0149,0.0302,0.0052,0.0128,0.0121,0.0016,0.0012,0.003
"2","Mock","02_Mock_02",0.4651,0.0012,0.0067,0.0045,0.0986,0.0015,0.0103,0.0014,0.003,0.0852,0.0028,0.0024,0.0046,0.0127,0.003,0.0211,0.0039,9e-04,0.0392,0.0047,0.0049,0.002,0.0058,0.0067,0.0057,0.039,0.001,0.0161,0.003,0.0128,0.0279,0.0144,0.0204,0.0265,0.0102,0.0132,0.012,0.0018,8e-04,0.003
"3","Mock","03_Mock_03",0.4326,0.002,0.008,0.0021,0.1261,0.0033,0.0093,0.0012,0.0033,0.1202,0.0042,0.0035,0.0068,0.0093,0.0026,0.0185,0.0032,7e-04,0.0323,0.0038,0.004,0.0033,0.0054,0.0099,0.0041,0.0206,8e-04,0.0114,0.0048,0.0189,0.0276,0.0181,0.0178,0.0223,0.0068,0.0155,0.0105,0.0021,4e-04,0.0027
"4","Mock","04_Mock_04",0.4284,0.001,0.0059,0.0044,0.1044,0.0015,0.0131,6e-04,0.0037,0.1279,0.0021,0.0023,0.0043,0.008,0.0031,0.0209,0.0054,0.001,0.0361,0.004,0.0041,0.0019,0.0052,0.0084,0.0044,0.0333,0.001,0.0147,0.0027,0.0129,0.04,0.0132,0.0197,0.0264,0.0064,0.0112,0.0118,0.0014,7e-04,0.0025
"5","Mock","05_Mock_05",0.4147,0.003,0.008,0.0028,0.1332,0.0011,0.0117,0.0014,0.0026,0.1037,0.0035,0.0033,0.0046,0.0085,0.0031,0.0184,0.0043,7e-04,0.0317,0.0047,0.0035,0.0027,0.0054,0.0098,0.0045,0.0315,0.0013,0.0153,0.0035,0.0187,0.0372,0.0161,0.0213,0.0267,0.0084,0.0118,0.0121,0.001,0.001,0.0032
"6","Mock","06_Mock_06",0.4644,0.0016,0.0079,0.0037,0.0968,0.0012,0.013,0.0012,0.0033,0.0936,0.0052,0.0029,0.004,0.0114,0.0027,0.0191,0.0044,0.0018,0.0456,0.005,0.0061,0.0032,0.0058,0.0132,0.0056,0.0386,9e-04,0.0152,0.0028,0.0042,0.0216,0.0104,0.0173,0.0301,0.0098,0.0104,0.0099,0.0011,0.0013,0.0037
"7","WNV","07_WNV_01",0.3679,0.0028,0.0092,0.0332,0.0645,0.0027,0.0198,0.0019,0.0125,0.0418,0.0041,0.0083,6e-04,0.0023,0.0037,0.0178,0.0034,0.0027,0.0382,0.0032,0.0014,0.0059,0.0044,0.0117,0.0107,0.0853,0.0047,0.0155,0.006,0.0087,0.0401,0.0323,0.0156,0.0314,0.0087,0.019,0.0325,0.0039,0.0109,0.0107
"8","WNV","08_WNV_02",0.4072,0.0031,0.0114,0.0245,0.0819,0.0021,0.0191,8e-04,0.0069,0.0745,0.0028,0.0043,0.0027,0.0043,0.0025,0.0223,0.0032,7e-04,0.0278,0.0061,0.0022,0.0069,0.0039,0.0089,0.0055,0.034,0.0029,0.0147,0.0025,0.0068,0.0467,0.0249,0.0208,0.0465,0.0102,0.0159,0.0205,0.0022,0.0085,0.0073
"9","WNV","09_WNV_03",0.5291,0.0019,0.0058,0.0187,0.0365,0.0013,0.0177,0.0012,0.0115,0.0124,0.0043,0.0087,3e-04,0.0013,0.0024,0.015,0.0027,0.0015,0.0333,0.003,0.0028,0.0034,0.0041,0.0063,0.0076,0.0731,0.003,0.0131,0.0055,0.0039,0.0277,0.0312,0.0218,0.0349,0.0093,0.013,0.0155,0.0016,0.0063,0.0073
"10","WNV","10_WNV_04",0.3789,0.0039,0.0098,0.0382,0.0797,0.0021,0.0202,0.0012,0.0109,0.0496,0.0035,0.0068,0.0013,0.0018,0.0027,0.0199,0.0028,0.0017,0.0241,0.005,0.0019,0.0053,0.0047,0.0121,0.0078,0.0495,0.002,0.0134,0.0047,0.0076,0.0589,0.027,0.0215,0.0374,0.0093,0.0235,0.03,0.0023,0.0073,0.0097
"11","WNV","11_WNV_05",0.4046,0.0029,0.0146,0.0272,0.0619,0.0017,0.0188,0.001,0.0112,0.0392,0.0041,0.0082,0.0016,0.0035,0.0038,0.0209,0.0018,0.0016,0.0292,0.0042,0.002,0.0071,0.0039,0.0138,0.0065,0.0433,0.0032,0.0123,0.0062,0.009,0.0495,0.037,0.0234,0.0379,0.0072,0.0224,0.0317,0.0035,0.0101,0.008
"12","WNV","12_WNV_06",0.3908,0.003,0.0137,0.0313,0.0773,0.0022,0.0185,0.0019,0.0104,0.0472,0.0057,0.0061,9e-04,0.0021,0.0044,0.0209,0.0032,0.0017,0.0249,0.0036,0.0024,0.0062,0.0033,0.0119,0.0059,0.0582,0.0034,0.0139,0.0059,0.0083,0.0443,0.036,0.0244,0.03,0.008,0.0216,0.0275,0.0024,0.0101,0.0065
