"","Group","Sample","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1","Mock","01_Mock_01",4709,16,54,53,1036,20,117,10,32,734,40,31,40,128,45,236,49,17,376,49,49,30,50,94,45,408,16,140,37,103,331,95,149,302,52,128,121,16,12,30
"2","Mock","02_Mock_02",4651,12,67,45,986,15,103,14,30,852,28,24,46,127,30,211,39,9,392,47,49,20,58,67,57,390,10,161,30,128,279,144,204,265,102,132,120,18,8,30
"3","Mock","03_Mock_03",4326,20,80,21,1261,33,93,12,33,1202,42,35,68,93,26,185,32,7,323,38,40,33,54,99,41,206,8,114,48,189,276,181,178,223,68,155,105,21,4,27
"4","Mock","04_Mock_04",4284,10,59,44,1044,15,131,6,37,1279,21,23,43,80,31,209,54,10,361,40,41,19,52,84,44,333,10,147,27,129,400,132,197,264,64,112,118,14,7,25
"5","Mock","05_Mock_05",4147,30,80,28,1332,11,117,14,26,1037,35,33,46,85,31,184,43,7,317,47,35,27,54,98,45,315,13,153,35,187,372,161,213,267,84,118,121,10,10,32
"6","Mock","06_Mock_06",4644,16,79,37,968,12,130,12,33,936,52,29,40,114,27,191,44,18,456,50,61,32,58,132,56,386,9,152,28,42,216,104,173,301,98,104,99,11,13,37
"7","WNV","07_WNV_01",3679,28,92,332,645,27,198,19,125,418,41,83,6,23,37,178,34,27,382,32,14,59,44,117,107,853,47,155,60,87,401,323,156,314,87,190,325,39,109,107
"8","WNV","08_WNV_02",4072,31,114,245,819,21,191,8,69,745,28,43,27,43,25,223,32,7,278,61,22,69,39,89,55,340,29,147,25,68,467,249,208,465,102,159,205,22,85,73
"9","WNV","09_WNV_03",5291,19,58,187,365,13,177,12,115,124,43,87,3,13,24,150,27,15,333,30,28,34,41,63,76,731,30,131,55,39,277,312,218,349,93,130,155,16,63,73
"10","WNV","10_WNV_04",3789,39,98,382,797,21,202,12,109,496,35,68,13,18,27,199,28,17,241,50,19,53,47,121,78,495,20,134,47,76,589,270,215,374,93,235,300,23,73,97
"11","WNV","11_WNV_05",4046,29,146,272,619,17,188,10,112,392,41,82,16,35,38,209,18,16,292,42,20,71,39,138,65,433,32,123,62,90,495,370,234,379,72,224,317,35,101,80
"12","WNV","12_WNV_06",3908,30,137,313,773,22,185,19,104,472,57,61,9,21,44,209,32,17,249,36,24,62,33,119,59,582,34,139,59,83,443,360,244,300,80,216,275,24,101,65
