"","Group","Sample","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1","Mock","01_Mock_01",9418000,32000,108000,106000,2072000,40000,234000,20000,64000,1468000,80000,62000,80000,256000,90000,472000,98000,34000,752000,98000,98000,60000,1e+05,188000,90000,816000,32000,280000,74000,206000,662000,190000,298000,604000,104000,256000,242000,32000,24000,60000
"2","Mock","02_Mock_02",9302000,24000,134000,90000,1972000,30000,206000,28000,60000,1704000,56000,48000,92000,254000,60000,422000,78000,18000,784000,94000,98000,40000,116000,134000,114000,780000,20000,322000,60000,256000,558000,288000,408000,530000,204000,264000,240000,36000,16000,60000
"3","Mock","03_Mock_03",8652000,40000,160000,42000,2522000,66000,186000,24000,66000,2404000,84000,70000,136000,186000,52000,370000,64000,14000,646000,76000,80000,66000,108000,198000,82000,412000,16000,228000,96000,378000,552000,362000,356000,446000,136000,310000,210000,42000,8000,54000
"4","Mock","04_Mock_04",8568000,20000,118000,88000,2088000,30000,262000,12000,74000,2558000,42000,46000,86000,160000,62000,418000,108000,20000,722000,80000,82000,38000,104000,168000,88000,666000,20000,294000,54000,258000,8e+05,264000,394000,528000,128000,224000,236000,28000,14000,50000
"5","Mock","05_Mock_05",8294000,60000,160000,56000,2664000,22000,234000,28000,52000,2074000,70000,66000,92000,170000,62000,368000,86000,14000,634000,94000,70000,54000,108000,196000,90000,630000,26000,306000,70000,374000,744000,322000,426000,534000,168000,236000,242000,20000,20000,64000
"6","Mock","06_Mock_06",9288000,32000,158000,74000,1936000,24000,260000,24000,66000,1872000,104000,58000,80000,228000,54000,382000,88000,36000,912000,1e+05,122000,64000,116000,264000,112000,772000,18000,304000,56000,84000,432000,208000,346000,602000,196000,208000,198000,22000,26000,74000
"7","WNV","07_WNV_01",6622200,50400,165600,597600,1161000,48600,356400,34200,225000,752400,73800,149400,10800,41400,66600,320400,61200,48600,687600,57600,25200,106200,79200,210600,192600,1535400,84600,279000,108000,156600,721800,581400,280800,565200,156600,342000,585000,70200,196200,192600
"8","WNV","08_WNV_02",7329600,55800,205200,441000,1474200,37800,343800,14400,124200,1341000,50400,77400,48600,77400,45000,401400,57600,12600,500400,109800,39600,124200,70200,160200,99000,612000,52200,264600,45000,122400,840600,448200,374400,837000,183600,286200,369000,39600,153000,131400
"9","WNV","09_WNV_03",9523800,34200,104400,336600,657000,23400,318600,21600,207000,223200,77400,156600,5400,23400,43200,270000,48600,27000,599400,54000,50400,61200,73800,113400,136800,1315800,54000,235800,99000,70200,498600,561600,392400,628200,167400,234000,279000,28800,113400,131400
"10","WNV","10_WNV_04",6820200,70200,176400,687600,1434600,37800,363600,21600,196200,892800,63000,122400,23400,32400,48600,358200,50400,30600,433800,90000,34200,95400,84600,217800,140400,891000,36000,241200,84600,136800,1060200,486000,387000,673200,167400,423000,540000,41400,131400,174600
"11","WNV","11_WNV_05",7282800,52200,262800,489600,1114200,30600,338400,18000,201600,705600,73800,147600,28800,63000,68400,376200,32400,28800,525600,75600,36000,127800,70200,248400,117000,779400,57600,221400,111600,162000,891000,666000,421200,682200,129600,403200,570600,63000,181800,144000
"12","WNV","12_WNV_06",7034400,54000,246600,563400,1391400,39600,333000,34200,187200,849600,102600,109800,16200,37800,79200,376200,57600,30600,448200,64800,43200,111600,59400,214200,106200,1047600,61200,250200,106200,149400,797400,648000,439200,540000,144000,388800,495000,43200,181800,117000
