"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",608,701.5,666.5,646,642,658.5,651,735.5,757.5,522,727,751,475.5,696,459,516.5,578,707,506,683,719,596.5,534,700.5,490,622,666.5,540,724,709,533,626,624,554,509.5,739,729,619.5,704.5,584.5
"02_Mock_02",610,718,677,675,654,633,666,710.5,751,527,737,751,480,698,480.5,522,555,704,513,692,722,605.5,563,708,509,628,637,550,720,714,524,634.5,628,565,509,738.5,732,605.5,730.5,602
"03_Mock_03",615,707.5,681.5,660,670,654,671,713.5,763,526,741.5,755,463.5,707,448,522,588.5,671,519,699.5,710,597,569,710,503,629,688.5,546.5,723.5,719,520,629,622.5,564,504,738,730,587,725,618
"04_Mock_04",605,697.5,672,656,649,632,658,731,763,512,731,751,512,695.5,495,524,574,619.5,517,692.5,706,590,555.5,690,503.5,618,632.5,542,718,710,534,621,619,550.5,517.5,733.5,726,607,748,583
"05_Mock_05",610,722,672,666,657,633,662,725.5,766.5,526,742,753,467,698,476,523,584,706,522,699,726,588,566.5,703.5,513,631,674,547,724,713,530,637,627,563,511,744,730,593.5,726,606
"06_Mock_06",601,689,675,645,647,618,659,718.5,756,515,736.5,741,475,690,478,531,578,714,516,675.5,711,607,555,704.5,507,624,627,547.5,715.5,717.5,510.5,626,617,561,513.5,737,730,584,732,584
"07_WNV_01",596,696,682,630.5,652,625,640,715,750,546,738,761,593.5,716,463,531.5,569.5,735,557,723.5,707,622,586.5,699,518,662,656,563,762,709,541,665,672,589,525,743.5,738,654,766,609
"08_WNV_02",601,706,672.5,634,652,636,644,711.5,760,514,729,777,512,703,467,521,561,682,548,716,735,621,575,702,513,658.5,658,557,760,710,551,674,666,598,530,749,734,623.5,748,609
"09_WNV_03",594,716,678.5,621,647,643,641,702.5,757,573,732,766,553,689,464.5,526,564,740,556,708.5,728,627.5,585,693,511.5,661,644.5,570,761,711,564,663.5,668,597,546,744.5,716,664,757,609
"10_WNV_04",597,715,682,638,656,626,648.5,711,752,513,737,756,549,706,481,535,577.5,722,565,714,737,632,584,701,531.5,669,657,563,760,720,586,681,672,615,543,745,731,650,752,630
"11_WNV_05",596,730,675,638.5,653,658,642,677.5,750.5,519.5,736,767,467.5,697,468,524,573,707,561,731,714.5,620,570,697,527,662,652.5,572,765,718,585,667,665,605,527.5,746,735,660,751,623
"12_WNV_06",604,703.5,675,641,663,650.5,650,742,753,528,740,767,499,708,473.5,527,583,713,583,727.5,717,616.5,595,704,543,667,653.5,567,766,720,587,676,672,608,564,748.5,737,641,759,637
