"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",243,476,480.5,401,369,416.5,472,376.5,387.5,386.5,297.5,423,394,417.5,286,343.5,428,419,277,504,565,459,426.5,418,342,462,557.5,392,442,360,310,489,468,455,442,447.5,409,476,563.5,511.5
"02_Mock_02",241,511.5,478,463,381,399,464,309,399,405.5,340,419,411,414,309.5,373,431,414,283,487,562,448.5,446,416,336,474,570,423,449,376,315,483,479.5,479,459.5,459,434,494.5,590.5,514
"03_Mock_03",245.5,470.5,490,424,400,346,471,318,413,412,338.5,461,413,429,304.5,358,449,389,281,488.5,582,469,451,406,315,472.5,576,391.5,451,378,311.5,483,485,478,454.5,467,423,476,567,525
"04_Mock_04",245,522,472,425.5,383,406,464,361.5,416,393,312,457,438,414.5,322,346,436.5,412,277,479.5,557,480,430.5,373.5,323,456,557,419,434,365,314,479,466,467.5,456,439.5,395,495.5,564,511
"05_Mock_05",246,508.5,488,462.5,385,437,471,387,400,404,369,461,414,414,307,362.5,447,470,290,464,564,468,449.5,411.5,344,466,548,424,426,380,321,475,474,485,459,459.5,418,433.5,608.5,524.5
"06_Mock_06",245,490.5,474,471,384.5,357.5,465.5,364.5,418,396,353.5,452,414.5,395.5,311,364,448.5,440.5,283,459.5,557,461.5,444.5,415,321.5,452,513,414.5,470.5,384.5,312,478,462,467,438,464.5,432,478,568,514
"07_WNV_01",265,507.5,468,389,364,367,425,343,417,371.5,366,449,350.5,427,284,330,380,398,338.5,454,521,444,418,389,364,462,544,421,439,372,333,472,467,467,452,448,404,488,562,468
"08_WNV_02",264,532,470,412,379,368,444,317,448,390,368,460,383,408,309,342,408.5,417,326,450,522.5,438,458,408,370,469.5,554,414,467,371.5,329,495,472.5,486,468.5,475,425,480,557,497
"09_WNV_03",254,510,475,393,363,301,427,405,431,358,386,440,404,395,291,333.5,357,445,325,434.5,529,414,447,382,367,468,545.5,419,438,370,328,489.5,476,480,463,463.5,412,494,557,495
"10_WNV_04",261,510,466,401,379,396,430.5,355,447,379,401,451.5,406,421.5,325,339,380.5,428,338,440,528,442,444,392,390.5,470,545.5,427.5,452,359,342,498,481,492,471,454,420,483,561,483
"11_WNV_05",264,522,470,404.5,388,409,462,399.5,453.5,390.5,395,474,372,438,288.5,357,402.5,398.5,344.5,460.5,526.5,462,451,366,383,483,560,456,477,400,344,499,494,499,472,466.5,430,517,578,516
"12_WNV_06",267,504.5,454,405,386,363,445,358,455.5,384,417,465,380,426,301,342,402,431,346,446,547,448.5,441,381,409,469,531,427,450,381,352,500,482,505,493.5,483,436,456,573,491
