"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",290,274.5,279.5,275,240,324.5,286,252,306,246,281.5,297,609.5,261,390,271,342,275,600,263,287,410,680.5,258.5,709,261.5,612.5,798,265,266,494,259,264,285,680,279.5,281,522,250.5,272.5
"02_Mock_02",296,310,290,286,236,335,294,264.5,298.5,244,271,271,590.5,253,404,274,333,260,606,266,269,395,716.5,247,723,263.5,677,799,256,255,493,263,264.5,284,663.5,273,267.5,512.5,283.5,270.5
"03_Mock_03",287,292.5,296.5,279,232,311,284,260,296,243,267,290,573,260,380,272,321,275,590,264,239,375,702,251,701,265,666.5,805,259,257,487.5,262,264.5,288,671.5,271,270,537,288.5,290
"04_Mock_04",299,348,294,273,239,326,293,260.5,301,243,284,290,588,256,380,276,324,263.5,594,266.5,290,400,726,254,703.5,264,684.5,797,264,257,491,265.5,265,284.5,666.5,267,269,534.5,263,271
"05_Mock_05",297,309,285,279,235,354,285,257.5,304.5,245,266,293,573.5,253,369,274,362,271,590,264,262,415,708,251,713,264,649,783,251,260,487,264,264,283,684,270,266,538,267.5,280.5
"06_Mock_06",305,321,285,288,241,346,291,272.5,336,245,276,286,568,260.5,383,273,328.5,287.5,599,265.5,297,386.5,745.5,260,694,266,651,797,259.5,251.5,501,270,268,291,691,276,278,514,274,272
"07_WNV_01",290,332,307,264.5,251,324,314,305,312,254,293,302,661.5,300,382,281.5,321.5,304,550.5,299.5,289.5,427,728.5,267,727,300,663,786,293,269,487,294,306.5,352,643,293.5,292,498,346,302
"08_WNV_02",308,341,302,256,247,356,302,266,330,248,288.5,293,579,293,377,273,301.5,278,554,310,385,423,685,260,716,287,606,791,279,262.5,489,283,288.5,311,660,288,281,537,330,283
"09_WNV_03",283,336,293,260,247,353,304,294,318,250,284,292,710,299,422.5,285,379,304,567,309.5,326.5,389,771,254,731.5,297,665.5,809,295,257,490,288,307,332,651,280.5,278,542.5,367,296
"10_WNV_04",291,330,302,258,245,292,301.5,273,319,249,279,295,621,271,416,278,305.5,284,539,294.5,338,396,717,258,723,295,617.5,780.5,278,255.5,487,299,298,329,676,280,281,524,327,287
"11_WNV_05",295,337,294,256,243,364,299.5,290.5,304,247.5,274,291,570.5,283,377.5,279,319,287,543,287,301,414,736,248.5,716,287,641.5,794,283.5,263.5,479,283,297,320,682,281,277,524,333,283
"12_WNV_06",291,350.5,291,258,242,326,296,265,311,246,281,302,651,269,396,275,317.5,283,534,310,293,400.5,716,252,716,290,613,770,274,260,485,293,296.5,326,660,288.5,278,519,339,291
