"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",690,695.5,250,232,214,699.5,269,523,306.5,235,418,264,265.5,698,244,282.5,300,280,705,679,722,334,331,245.5,506,612,496,303.5,258,243,607,612,627,419.5,347,273,267,358,743.5,352
"02_Mock_02",682,703.5,264,237,208,685,260,482,286,235,484.5,291,252,672,248,283,298,234,690,678,712,325.5,315.5,252,498,614,492,292,242.5,236.5,575,630.5,621,413,337,255,241.5,323,747.5,333
"03_Mock_03",679,679,274,269,217,688,288,462,304,233,419.5,269,250.5,686,269.5,293,274,249,700,736,719.5,353,331,245,463,627,489,294.5,271,237,593,631,612.5,430,345,267,266,411,740.5,332
"04_Mock_04",678,605.5,266,220.5,217,676,264,521.5,289,230,456,266,287,679,232,291,292,248,701,705,731,329,315,241.5,473,604,423,296,264,238,591,613.5,617,405,322.5,261,251.5,384.5,752,329
"05_Mock_05",680,685.5,262.5,252.5,211.5,697,255,446,285.5,233,452,303,250,697,279,282,269,233,706,685,729,366,323,245,492,631,481,293,246,236,608,640,631,405,340.5,263,247,388,734,316.5
"06_Mock_06",663,678.5,250,243,209.5,673.5,275.5,513.5,307,232,437,273,260,689.5,278,297,270,235.5,700,691.5,711,371,348.5,247,453,619,400,294,244,238,557,623,620,415,343,264.5,250,378,758,322
"07_WNV_01",685,595,268,234,216,669,274.5,541,308,236,471,277,206,648,230,291,303,274,692.5,679,702,386,370.5,262,501,653,442,334,281.5,249,589,658,699,399,373,277,267,401,763,351
"08_WNV_02",680,597,263.5,213,215,668,264,494.5,339,238,539.5,257,252,627,258,305,278,272,683,688,647.5,367,325,244,455,621.5,443,308,264,246,564,629,630.5,387,329,271,262,459.5,752,321
"09_WNV_03",658,565,267.5,244,224,662,261,498,317,231,496,270,361,584,275,297.5,291,209,692,655,689.5,376,355,245,484,658,463,346,289,250,570,656.5,689,378,358,270,280,407,764,337
"10_WNV_04",668,615,278,217.5,216,664,254,516.5,319,232,508,260,249,629.5,260,298,267.5,272,687,662.5,669,356,365,250,492.5,649,433.5,322,267,243,575,652.5,661,394.5,336,274,261.5,417,745,344
"11_WNV_05",655,645,274.5,238,211,665,265,544,292.5,234.5,518,280.5,265,598,235.5,299,276.5,254,658,670,626.5,370,335,250,461,625,448.5,318,278,259.5,561,627,637,402,352.5,281,260,426,747,338
"12_WNV_06",660,586.5,266,222,214,669,267,553,316,232,504,287,266,623,248.5,291,285.5,234,667,680.5,677,369.5,371,245,524,656,449.5,326,269,226,561,665,663,394,345.5,281,268,400,767,315
