"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",351,360.5,341.5,348,339,368,351,339.5,337.5,337,339,338,340.5,345,365,342,343,344,379,352,352,353.5,350.5,338,436,367.5,345.5,375.5,336,341,532,341,392,365.5,381,341.5,358,395.5,358.5,349
"02_Mock_02",349,353,341,346,339,367,352,343.5,343.5,337,338,336,337,342,364,341,346,337,376,345,352,349,349,333,437,354,354,368,339.5,338.5,520,336.5,359.5,352,358,338,351,429,367.5,335
"03_Mock_03",343,352,318,336,337,346,334,337.5,338,337,338.5,337,337,342,368,341,341,333,361,349,346,353,346.5,333,421,337,344.5,357.5,336,338,505,302,309,331,353,317,332,457,387,340
"04_Mock_04",348,363.5,327,341,339,352,349,336,339,337,339,336,343,344,364,344,339.5,336.5,374,350,353,352,345.5,336,432.5,367,345.5,372,337,338,522,331,356,349.5,354,326,343.5,442.5,343,330
"05_Mock_05",346,358,333.5,344,338,369,345,341.5,338,337,342,336,339.5,342,354,343,338,328,369,344,351,356,343,334,440,357,344,382,334,339,523.5,328,342,346,365.5,321.5,345,432,334,337
"06_Mock_06",350,351.5,331,345,339,355,348.5,344.5,338,337,339,338,338.5,345,371,343,340,341.5,380,354,354,348.5,348,337.5,430.5,373,351,371.5,336,336,511.5,352.5,383,365,367,336.5,370,409,351,343
"07_WNV_01",352,355,335,339.5,340,357,355,339,342,339,342,341,340.5,344,365,343.5,344.5,345,389.5,349,347,354,350.5,337,445,368,356,378,341,338,558,341,427.5,360.5,374,342,358,388,380,347
"08_WNV_02",351,353,334.5,337,340,362,357,340.5,344,338,344,336,338,341,369,344,342,341,385,345,346,356,348,337,446,369,354,365,340,341,534,329,387,366,372.5,339,359,399.5,357,359
"09_WNV_03",352,353,324.5,340,339,346,360,345.5,343,340,340,340,353,344,378.5,343,343,345,394,349,356.5,346.5,349,338,443.5,376,349,370,340,341,548,350,440.5,372,375,338.5,363,403.5,369,352
"10_WNV_04",349,364,324,337,339,350,355.5,337,344,337,340,339,335,341.5,366,343,340,342,392,342,349,351,351,337,461.5,366,340.5,374.5,338,338,552,339.5,387,353,368,329,351,410,365,353
"11_WNV_05",348,335,329,336.5,340,350,355,330.5,341.5,337,339,342,337.5,342,364.5,343,342.5,341,386,339,348.5,351,348,337,450,364,349.5,377,340.5,340,546,335,389,357,368,331.5,347,390,344,347
"12_WNV_06",348,351,324,337,339,352,347,336,342.5,337,341,339,342,340,377.5,343,341,341,386,336.5,348,348,346,336,427,357,348.5,367,337,336,553,320,367,351,356.5,326,347,403.5,350,342
