"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",308,822.5,770.5,776,811,709,743,328,690,713,429,380,656,336,444,304,527,501,328,320,369,367.5,306.5,305,310,307,309.5,302.5,277,305,372,323,315,298,303.5,316,326,521,354.5,365
"02_Mock_02",302,814.5,781,796,815.5,713,762,374.5,674,714,454.5,385,674,299,475.5,295,462,572,321,313,333,369.5,311.5,248,308,307.5,339,295,268,280,357,316.5,300,296,293,291,323.5,550,383,353.5
"03_Mock_03",294,795.5,771.5,813,809,663,726,334.5,691,700,473,325,667.5,328,416,282,490,528,310,307.5,293,352,301.5,256,302,302.5,313,298.5,264,258,356,292,273,295,285,278,268,528,363,347
"04_Mock_04",304,824,775,794.5,818,703,752,302,650,699,514,351,688,319,439,294,506.5,498,323,326.5,368,357,314,283.5,306,312,333,302,266,296,360,301.5,293,291.5,291,297,300.5,578.5,396,393
"05_Mock_05",301,812.5,773.5,772.5,811,671,739,338,709.5,705,409,382,675,333,392,295,473,584,323,310,347,335,313.5,285,312,310,294,297,256,288,364.5,314,290,290,295.5,288.5,297,547,351.5,365
"06_Mock_06",302,840.5,777,787,819,623.5,734,365,658,707,489,392,667.5,334.5,477,296,566.5,496,325,323.5,350,363.5,313.5,299.5,303,317,343,296,260.5,281,367,301.5,309,302,295.5,311.5,358,479,337,374
"07_WNV_01",309,831,794,822,830,605,743,379,710,739,556,390,828,337,439,303.5,480,508,338,329.5,373,358,338,285,322,332,403,306,277.5,288,386,316,348,307,309,303.5,322,464,400,374
"08_WNV_02",309,841,794,815,825,698,744,283,690,716,493,376,684,324,462,291,542.5,498,328,372,354.5,365,320,275,320,330,379,299,277,299.5,379,323,327.5,314,301,309,329,499.5,398,351
"09_WNV_03",305,840,796.5,817,830,642,744,346,675,777.5,516,364,701,374,432.5,291.5,476,467,327,345,347,336.5,346,299,312,336,349.5,310,284,292,374,314.5,344,317,312,320,349,485.5,408,378
"10_WNV_04",309,830,788.5,812.5,828,622,734.5,317.5,694,707,548,378,688,312.5,496,294,498.5,467,344,327,320,351,354,281,330.5,333,324,303.5,287,279,378,325.5,332,315,309,310,328,486,418,380
"11_WNV_05",307,813,797.5,816,833,702,723,341.5,682,721,531,367.5,666,361,437,299,445,507.5,337,342.5,357,353,303,284,307,331,405,301,272.5,294,364,316.5,335.5,313,302,293.5,305,500,403,377
"12_WNV_06",304,811,787,813,830,667,748,296,679.5,717.5,508,404,806,266,487.5,295,479,483,330,305.5,323,345,326,260,316,329.5,364,307,268,282,369,307,317,306.5,301.5,294,316,527,358,406
