"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",233,244.5,262.5,228,215,231,226,225.5,213,226,222.5,226,229,232,239,226,220,248,231,229,226,227,229.5,226,220,228,214,222,249,503,227,211,227,228,231.5,240.5,431,216,260,214.5
"02_Mock_02",234,238,243,260,225,247,222,221,219.5,223.5,229.5,236,229.5,233,233.5,224,228,261,230,222,240,228.5,231.5,222,226,224,223.5,225,257,515.5,228,221.5,222,225,231,232,469,311.5,265,211
"03_Mock_03",231,207,250.5,217,222,249,237,235,203,222,209.5,224,215,224,240.5,227,224,215,230,235,219,231,226,234,219,228,249.5,224,247,522,226,222,229,225,228.5,243,484,256,247,227
"04_Mock_04",232,263.5,237,248.5,210,199,223,219,205,221,231,255,217,226.5,249,225,221,254,227,222,244,232,221,227,238,223,221,223,247,514,226,225.5,227,224,219,230,442,290.5,274,212
"05_Mock_05",232,210.5,242,243,221,226,225,223,223,221,215,227,210,229,244,229,217,227,227,224,221,237,218,225.5,220,222,218,226,291,522,224,222,231,224,225,238,469,284.5,185,227.5
"06_Mock_06",232,198,260,241,224,260,228.5,235.5,213,222,216.5,235,230,230.5,227,226,210.5,226,230,229,228,226,218,221.5,224,229,222,229,249,506.5,227.5,217.5,228,223,217.5,234.5,437,255,205,231
"07_WNV_01",232,207.5,232.5,221,215,218,219,227,225,225.5,228,231,157.5,218,241,228,224,252,228.5,221,195.5,225,219,228,225,228,223,230,295,509,225,229,232.5,222.5,228,242,465,250,234,224
"08_WNV_02",234,188,260.5,234,221,214,234,230.5,220,223,221,252,243,218,241,228,217,230,229.5,239,233,226,226,219,230,229,230,227,299,533.5,228,218,225,227,231.5,242,481,253.5,223,224
"09_WNV_03",233,152,251.5,218,219,213,236,231.5,213,223.5,225,238,229,261,227,229.5,218,230,233,230.5,218,236.5,230,223,226.5,228,238.5,222,280,528,226,221,229.5,226,230,240,446,252,234,224
"10_WNV_04",230,210,249.5,228.5,220,229,228.5,223,230,223,215,236,206,218.5,235,229,214.5,244,227,226,211,226,221,220,226.5,226,222,225,311,538.5,224,224,235,223,221,239,480.5,239,220,220
"11_WNV_05",229,238,264,229.5,220,202,230,239,216.5,223,232,237.5,205.5,206,247.5,228,212,236.5,227.5,220,230.5,229,218,220.5,229,226,226,222,293.5,555,223,225,225,220,213.5,241,498,264,218,220.5
"12_WNV_06",228,232.5,248,225,221,227,209,232,222,219,212,242,224,217,242.5,224,234,239,227,221.5,222.5,211,233,234,223,228,222,225,312,537,222,223.5,230.5,225,219.5,250.5,490,250.5,228,213
