"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",594,557.5,713,601,230,602,690,464,256,240,258.5,278,236.5,253,441,264.5,293,256,675.5,558,279,417,279,296,689,797,324,286,270,259,605,827,812,761.5,694.5,741,735,558,704.5,680.5
"02_Mock_02",599,627.5,711,615,230,642,691,510.5,278.5,239,261,268,240,229,478.5,262,270,234,693,593,287,431,282.5,294,702,795.5,421,279,267.5,258,608,827,818.5,782,692.5,750,757,574,689,680
"03_Mock_03",607,662,756,637,231,623,688,456,265,235,263.5,277,253.5,244,454.5,264,310.5,235,698,587.5,314.5,412,289.5,291,675,810,335.5,271.5,289.5,255,619,846,828.5,794,710.5,770,722,573,781.5,652
"04_Mock_04",607,652.5,734,652.5,234,588,679,407,280,240,244,269,261,241,469,274,289,253,698,551,271,417,266.5,275,702,813,335,298,258,259,608.5,839,836,783.5,715,762,711.5,596,735,715
"05_Mock_05",601,631,712.5,596.5,233,627,674,532,275.5,243,251,293,268.5,261,447,260.5,306,243,695,569,355,430,276,306,728,814,314,285,283,252,611,841,827,785,698.5,760.5,726,613,785,654.5
"06_Mock_06",598,534.5,706,645,232.5,623.5,693,450,295,242,251.5,282,259,267,425,260,298.5,259,691,556.5,310,421,281.5,266.5,662,803.5,295,289.5,283,274.5,617,829.5,814,786,689,755.5,764,563,820,666
"07_WNV_01",576,718,776.5,618.5,267,597,717.5,482,299,264,290,351,272,284,447,294.5,318,285,673,580,575,492,355.5,354,705,794,568,391,356.5,293,714,810,822,763,709,755,733,616,858,739
"08_WNV_02",571,714,779.5,585,262,582,721,530.5,322,251,282,328,274,306,445,273,293.5,367,662.5,608,432,477,301,344,711,813.5,543,338,367,277.5,693,861,845,799,712.5,777,754,619,838,714
"09_WNV_03",582,604,804.5,608,282,596,727,514,327,267.5,280,312,276,327,466.5,292.5,313,302,671,554,476,507,372,338,707,786,533,394,321,273,730,820,818,764,725,780,750,594.5,879,729
"10_WNV_04",558,683,776,617,278,593,705,503,329,255,274,334,249,315,481,288,315.5,308,675,569,431,480,356,353,700,786,583,356.5,337,310.5,704,832,814,773.5,700,766,757,583,845,732
"11_WNV_05",564,724,766.5,628.5,285,610,722,578.5,325.5,261.5,281,326,272,294,459.5,292,333,284.5,665.5,561,419,505,315,367.5,701,807,600.5,376,324,289,722,846,842.5,786,726,775,743,612,863,752.5
"12_WNV_06",574,689.5,770,600,281,603.5,711,536,322,261,299,328,328,371,479,310,300,288,677,621,548.5,504.5,363,367,717,794,579,385,372,302,728,836,824,784,738.5,782.5,750,579,872,717
