"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",283,493.5,358,330,454,319,304,282.5,304.5,288,275.5,280,298.5,283,464,282,278,295,312.5,289,330,338.5,274.5,549,313,324,289.5,314.5,341,313,392,447,221,314,318,392,326,495.5,357.5,304.5
"02_Mock_02",290,429,398,310,464,335,287,300.5,300.5,288,288,295,302.5,292,496.5,285,279,259,311,286,314,340.5,292.5,519,336,352.5,293.5,336,403,330,405,434.5,242.5,324,316.5,382,359.5,581,416,295.5
"03_Mock_03",296,474.5,409,392,474,332,316,270,318,290,280.5,316,303,294,535,293,295,290,320,298,336,375,300.5,520,327,372,308.5,347.5,339.5,357,452,442,264.5,371,331.5,398,366,559,579,301
"04_Mock_04",286,520.5,351,303.5,468,334,296,291.5,290,283,266,293,305,288.5,463,288,280,283,313,293,311,339,293.5,485,327,341,301,323,319,311,406,431.5,241,312,302,381.5,332,594,366,298
"05_Mock_05",289,525.5,368,318.5,468,340,293,270.5,310.5,288,288,293,310,285,482,282,284,322,316,284,323,346,280.5,538.5,313,359,315,332,343,330,424,448,236,344,335.5,367,366,605.5,383.5,325.5
"06_Mock_06",284,462,366,337,473,405,292,282.5,307,284.5,281,290,286,285,477,285,281,295.5,303.5,295,323,365,297,566.5,309.5,361.5,274,315,367.5,306.5,416.5,431,243,327,338,407,358,568,314,311
"07_WNV_01",287,475.5,396.5,373.5,426,302,304,264,299,296,281,319,296,282,481,286.5,288.5,302,317.5,298.5,295.5,333,309.5,540,327,320,315,338,373,332,421,385,216,333.5,333,397.5,371,516,403,292
"08_WNV_02",290,476,379.5,367,456,287,309,352,323,288,291.5,313,313,289,470,281,285.5,296,324,283,311.5,346,306,526,313,353,316,338,372,331,417,434,221,353,335,403,384,524.5,402,320
"09_WNV_03",283,471,390.5,385,433,254,288,295.5,313,308,278,299,259,302,493,281.5,289,280,313,294.5,324.5,319,286,537,337,321,287.5,328,350,366,404,400.5,227.5,332,325,405,376,482.5,376,299
"10_WNV_04",287,505,388,387.5,451,289,309.5,306.5,307,288.5,290,300,328,285,507,283,286.5,261,324,300,307,348,304,525,327.5,343,305,327.5,360,335.5,410,419,258,343,324,424,375,523,390,306
"11_WNV_05",288,484,386.5,379.5,457,317,296,283.5,299.5,284,299,308.5,300,281,450.5,289,272,344.5,317.5,301,337,368,301,489.5,332,342,340,334,357.5,356,416,432,220,336,334,435,387,540,433,330.5
"12_WNV_06",291,508,402,392,458,351,309,294,328,291,292,309,314,289,497,290,281,298,325,304,340.5,350.5,303,518,304,363.5,278,327,373,349,429,437,241.5,326,342,461.5,414,561.5,437,315
