"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",230,284,324,222,204,211,353,271,220.5,234.5,225,221,232,336.5,400,246,279,244,246.5,283,497,283,258.5,241,246,275,496,250,226,241,317,286,261,261,257.5,243.5,261,447,327.5,364
"02_Mock_02",229,302,310,230,209,224,349,256,229,234,239,249,226.5,323,419.5,251,263,262,242.5,284,499,318,256.5,254,254,278,426.5,247,228,230,319,297,253,269,257.5,235,246,508.5,446.5,387.5
"03_Mock_03",228,281,335,278,220,260,365,230.5,229,239,246.5,228,247.5,336,398,244,299,236,239,306,551.5,306,258.5,211,254,273.5,529,260.5,221.5,220,311,297,263.5,282,252,242,240,409,368.5,413
"04_Mock_04",228,283.5,344,251.5,207,251,349,224.5,246,235,234,245,247,325.5,373,248,265.5,266.5,248,312.5,436,297,243,250,266.5,280,453.5,243,196,229,317.5,294,257,273.5,253,245.5,250,509,385,384
"05_Mock_05",230,320,315,226,208,287,359,235.5,243.5,235,235,219,236.5,355,385,241,281,252,239,269,510,308,246,233,271,280,438,253,224,227,316.5,302,254,272,256.5,260,247,498,475,386
"06_Mock_06",230,260,333,243,205,233.5,350.5,241,224,230,244.5,228,247,348,405,250,270,263,247.5,267.5,479,321.5,260.5,252.5,281.5,278,428,250.5,215,229,316,294.5,253,274,264.5,272.5,256,486,429,339
"07_WNV_01",236,332.5,342.5,222.5,205,288,358.5,248,259,231,261,239,158.5,362,382,247.5,268.5,234,264,380.5,512.5,315,222,250,275,281,388,266,232.5,241,334,291,294,283,279,254,266,423,432,323
"08_WNV_02",236,326,348,216,208,236,365,268,277,235,280.5,256,240,323,417,243,241.5,235,256.5,379,545,323,259,257,246,290,433,252,228,244,329,322,270,274,260.5,255,269,457,413,350
"09_WNV_03",233,275,334,220,203,261,345,229,259,214,250,238,227,303,408,241,267,253,261,347.5,559,309.5,245,244,266,278,395,261,225,237,330,292,267.5,272,283,247,268,471,429,317
"10_WNV_04",233,293,330,226,209,231,352,233.5,272,231,255,236,227,348,436,244,246,263,258,342,560,331,267,259,264,279,355.5,248,215,236.5,325,321,265,277,261,250,261,475,455,381
"11_WNV_05",233,328,332.5,222,199,239,370.5,221,251.5,231,296,237.5,247,353,372.5,246,255,262.5,256,343,494,326,255,245,270,291,397,261,217,232.5,328,307,290,292,281,249.5,264,443,443,384
"12_WNV_06",232,276.5,353,220,209,271.5,376,226,252.5,229,251,213,226,405,426,239,260.5,253,262,364.5,500,308.5,237,238,262,277.5,370.5,249,215,231,331,308,269,278,261.5,265,252,466,446,343
