"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",231,233,232,229,231,232,231,235,229,231,230,233,231.5,229,233,231,230,235,231,231,231,231.5,231,230.5,231,232,234,230,231,231,231,231,232,231,232,231,232,235,235.5,231
"02_Mock_02",231,225.5,231,231,231,230,232,230.5,230.5,231,234,233,232,230,230.5,232,232,230,231,230,233,234.5,231,231,232,231,231.5,230,232,230,233,230,231,232,233,231,231,231,227,230.5
"03_Mock_03",231,231.5,230.5,235,231,230,231,230,232,231,233,231,232,231,231,231,232.5,231,232,231.5,232,231,234,232,231,232,229,231,230.5,231,232,233,231,231,230,231,231,228,229.5,231
"04_Mock_04",231,224,231,233.5,232,235,230,235,228,231,233,232,229,232,229,230,234,233,232,231.5,233,232,232,231,230,232,230,230,229,232,232,230,231,231,230,231,230,233,228,230
"05_Mock_05",231,231,229,229,231,232,231,235,231,231,234,229,231,230,229,231,232,230,231,231,231,227,232,231,233,231,231,232,232,232,231,232,231,231,231,230,232,228.5,230,232
"06_Mock_06",231,231.5,231,235,230,231.5,231.5,232,231,231,231,234,230,230,232,232,229.5,235,231.5,232.5,230,234,230.5,230,233,231,231,231,231,230,231,231,230,231,232,232.5,231,237,229,230
"07_WNV_01",231,231,230,231,231,230,231,231,230,230,232,230,234.5,230,231,230,232.5,234,231,233,231.5,232,231,231,231,232,231,231,230,232,231,232,231,231,230,231,231,232,231,232
"08_WNV_02",231,231,231.5,231,231,230,230,229,231,231,231,230,232,229,234,230,231,231,231,234,231,231,231,231,232,232,231,231,233,231,231,232,231,231,232.5,231,231,231.5,230,233
"09_WNV_03",231,232,232.5,230,232,230,231,229.5,232,232,230,232,230,232,230,231,231,227,231,234,231,230.5,232,232,233,230,231.5,230,232,231,232,231,232,231,231,231,231,231.5,231,233
"10_WNV_04",231,231,230.5,231,230,230,232,234.5,231,231,231,232.5,232,231.5,229,230,229.5,230,231,232,231,234,233,231,233,230,230,231,231,232,231,231,231,230,232,232,231,231,230,230
"11_WNV_05",231,234,231,231,231,231,230,229.5,232,231,229,231,234.5,230,231,231,227.5,234,230,230,232.5,230,230,231,231,232,230,230,232.5,230,231,231,231,232,231,230,231,230,232,232.5
"12_WNV_06",231,234,231,231,232,233,232,233,230,231,230,231,230,229,229,230,231.5,233,232,230.5,230,231,229,231,232,231,231,231,231,230,232,231,232,230,232.5,231,231,231,232,230
