"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",231,229.5,231,232,231,231,230,228.5,232,231,231,231,231.5,232,231,232,233,231,231,233,232,230.5,232.5,230,231,232,230,230,233,231,232,231,230,232,232.5,232,231,226,233.5,232
"02_Mock_02",231,233.5,231,229,231,232,232,234.5,232.5,231,232.5,228.5,233,231,228,231,230,224,232,232,233,232,232,232,233,232,229,231,230,232,231,231,231,232,231.5,231,231.5,235,231.5,232
"03_Mock_03",231,234,231,230,231,231,232,232,228,231,232,231,230,231,232.5,232,232,231,231,232.5,230.5,232,231.5,231,231,231,229,230.5,233,232,231,231,231,231,232.5,231,232,231,233,231
"04_Mock_04",231,226,232,233,232,228,232,229,232,231,232,232,232,233,233,232,230,231.5,232,231.5,231,233,231,231,231,232,229.5,232,232,230,230,231,233,231,231,231,230,233,229,230
"05_Mock_05",231,234,232,229,231,232,231,230.5,228,231,230,230,230,231,232,233,228,232,232,230,234,231,231,231,231,230,230,232,233,231,232.5,233,232,230,232,231,232,234,234.5,230
"06_Mock_06",231,234,230,228,231,228.5,231,231.5,229,231,231,233,229.5,231,233,232,231.5,234.5,232,231.5,230,233,229.5,232,231.5,231,228,231,234.5,231,230,233,233,231,229,231,231,230,234,234
"07_WNV_01",231,231,231,231.5,232,230,232,233,232,232,231,233,230.5,233,232,233,230,230,231.5,232,232,231,233,231,232,231,230,231,229.5,231,231,231,231,231,231,231,231,231,232,230
"08_WNV_02",231,233,230,231,232,231,231,233,233,231,232,233,229,231,230,232,233.5,226,230,232,235,233,233,232,230,232,232,230,230,231,231,231,231,232,231,231,232,230.5,232,231
"09_WNV_03",231,227,230,231,232,233,231,231.5,231,232,230,229,224,235,230.5,232,230,229,231,230.5,233,228,230,232,233,231,229.5,231,231,232,231,231,232,231,230,231,232,231.5,231,231
"10_WNV_04",231,233,231,231.5,231,232,230.5,235,231,232,230,232,233,228.5,230,231,230.5,235,232,231,232,230,233,233,233,231,229.5,233,231,231,231,231,232,232,232,231,231,230,231,230
"11_WNV_05",231,230,231,231,231,230,230,233.5,232,231,233,232,231,233,232,232,229.5,232,231,230,231.5,230,232,231,231,231,231,232,231,232,232,232,232,231,231.5,231,232,234,232,230
"12_WNV_06",231,228.5,231,231,231,227.5,232,231,231.5,231,230,232,228,230,228.5,232,231,231,231,231,230,230,232,231,231,231,230,233,231,231,231,231,231,230,231.5,232,232,227.5,231,232
