"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",272,587,315,324,285,483.5,334,356,303,261,285,228,253,278.5,275,267,271,285,368,308,271,323,285.5,291.5,351,292,251.5,274.5,235,307,673,281,309,303.5,340,267.5,309,480.5,320.5,319.5
"02_Mock_02",289,563.5,316,296,285,501,322,295.5,285.5,258,287.5,282.5,249,280,265,292,278,251,348.5,286,273,247.5,294,291,360,304,359.5,281,258,279,708,301.5,314,299,326.5,256,300,435.5,395.5,293.5
"03_Mock_03",297,608,304,285,288,469,300,313.5,272,262,316.5,262,264.5,258,214.5,281,273.5,317,367,316.5,305.5,285,290,296,337,312.5,302.5,262,276.5,270,708,305,311.5,322,353,267,268,523,357,257
"04_Mock_04",297,570,315,313,287,458,356,335,284,256,317,284,308,285.5,229,263,253.5,267.5,345,330.5,297,296,295.5,289.5,371,316,332.5,287,270,294,694,320.5,302,317.5,333.5,273.5,283,560,329,287
"05_Mock_05",305,594,315.5,346,295,620,328,332,258.5,262,300,266,315.5,272,232,279,263,307,352,294,289,343,292,284,376,319,287,287,285,286,681,315,325,311,350,277.5,302,402.5,441,282
"06_Mock_06",316,602.5,309,344,302,453,325,323.5,314,271,307.5,279,294.5,288,242,303,293,371,375.5,317,337,441,300,304.5,330.5,338,371,289,268,328.5,725.5,315,348,360,387,278,307,633,307,275
"07_WNV_01",265,396,298.5,257.5,263,334,301,261,308,268,283,273,226,301,224,289.5,282.5,290,342,287,265,371,320.5,280,349,307,321,285,276,283,681,289,309,321,365,286.5,310,478,301,283
"08_WNV_02",275,462,317,271,270,438,313,274,352,242,310.5,262,265,225,269,269,270.5,317,356,248,305,264,280,276,328,319,311,275,257,269,676,288,306,323,350.5,269,287,498,311,296
"09_WNV_03",315,380,276,285,304,388,317,305,294,315.5,333,279,336,240,178,320,291,414,364,294.5,338,261,352,300,403,339,366.5,318,308,304,724,320,361,357,363,288.5,309,542,334,318
"10_WNV_04",288,465,268.5,268,278,338,302,272.5,356,264,322,319,258,294.5,264,269,283,304,370,272,298,316,336,284,385.5,311,271.5,274,293,282,708,307,316,331,370,291,300,402,300,303
"11_WNV_05",303,526,306,263,281,477,312,300,311,265.5,313,294.5,245,282,213.5,290,309,264,371.5,281.5,348,252,290,288,360,317,377,273,292,295,686,309,330.5,338,333,273.5,301,463,317,309.5
"12_WNV_06",303,467,293,267,279,472,292,324,354,273,347,316,212,262,250.5,282,316,249,375,285,235.5,224,319,275,353,315,313,332,307,280,699,299,313.5,347.5,421,298,310,561,308,321
