"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",540,637.5,561.5,559,540,609.5,562,563,550,530,541.5,520,530.5,536.5,524,532,540,540,575,554,534,562,533,543,563,549,532,532.5,521,549,649,544,553,552.5,557,529,549,597.5,552,545.5
"02_Mock_02",548,624,554,555,542,610,565,549,546,529,548.5,549.5,520.5,546,524.5,549,539,545,569,549,549,532,559.5,545,565,555,564,539,526,539.5,655,553.5,557.5,555,558.5,530,552,595,582,554
"03_Mock_03",551,634.5,554.5,546,544,608,554,556,546,532,558.5,530,536,534,480,537,533.5,522,582,558.5,557,536,547,545,564,562,545.5,532.5,550,536,657,557,560.5,568,570,532,536,633,563,519
"04_Mock_04",551,623.5,549,554,542,594,576,568,550,527,562,539,547,537,496,530,529,538.5,570,567,541,550,549,544,572,562,558,539,535,548,650.5,559,556,561,565.5,534.5,540,605.5,560,546
"05_Mock_05",555,631.5,557,567,546,639,561,572.5,535,532,549,539,562.5,530,508,541,529,542,571,551,537,571,546,538,573,561,546,537,544,539,651,559,564,552,565,536.5,544,585,582.5,537.5
"06_Mock_06",560,641,554,570,548,602,561.5,562.5,556,535.5,553.5,523,550.5,542.5,503,550,542,569,578,566,564,592.5,548.5,550,565,570.5,594,545.5,532,561.5,657,559,574,575,575.5,540,554,626,542,542
"07_WNV_01",537,587,545,525.5,532,571,554.5,545,550,536.5,543,536,484.5,547,493,543.5,549.5,528,567,528.5,514,576,565.5,542,561,555,558,544,545,536,649,548,559,561,576,540,554,594,563,536
"08_WNV_02",541,601,556,536,535,604,560,548,576,520,555,523,531,505,527,533,537,573,573,527,554,520,540,537,559,560,560,536,525,532.5,649,547,558,558,565,530,543,574.5,555,556
"09_WNV_03",558,578,539.5,541,549,576,560,551,547,556.5,557,545,574,530,464.5,555.5,547,588,573,545.5,568,527,574,544,586.5,569,584.5,555,557,554,652,562.5,577,573,575,541.5,554,599,563,564
"10_WNV_04",546,605,536.5,531,538,578,547,538,572,530.5,567,552,532,552,498,536,542,556,575,535.5,543,541,569,541,578.5,554,536.5,540.5,543,544,653,555.5,558,565,576,547,550,589,547,553
"11_WNV_05",552,611,553,531,538,616,559,538.5,559.5,530.5,546,540.5,502.5,549,485,538,551,549,575.5,532.5,560.5,524,549,538,562,557,580.5,536,541.5,544.5,652,552,563,567,564,530,548,591,549,553.5
"12_WNV_06",551,604,542,532,538,598.5,545,566,573,535,571,558,474,539,490.5,540,559.5,514,578,544.5,521.5,517.5,552,537,571,555,562,556,545,539,650,551,561,566,596,548,550,615.5,544,548
