"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",342,456,392,370,311,416.5,368,332.5,352,292,328.5,347,324.5,341,348,317,361,333,394,371,438,434,445,322.5,462,356,412.5,389.5,330,339,453,357,366,383,450.5,356,354,487.5,431.5,330
"02_Mock_02",344,441.5,400,369,314,409,383,304.5,353,287,338.5,335,333,350,372.5,314,323,355,398,355,438,427,376,301,421,349.5,388.5,361,326.5,321,462,356.5,359,364,392,345.5,350.5,513.5,484,325
"03_Mock_03",337,442,398.5,383,321,370,373,303.5,382,292,332,364,321,347,370,315,366.5,348,397,360.5,409,446,400,296,422,350.5,385.5,365.5,319,326,471,345,357.5,386,419.5,348,356,522,494,344
"04_Mock_04",350,457,394,378,327,411,381,299,387,293,338,360,359,364,358,322,346.5,334,412,385.5,454,436,406,305.5,436,365,420.5,389,318,313,473,362,359,381,419,345,336,502,466,348
"05_Mock_05",345,422.5,392,370.5,322,388,383,320.5,370,294,343,357,344.5,354,367,319,356,318,408,363,451,418,380,316,420,365,411,378,318,323,493.5,356,369,378,411,353,338,535.5,439,348
"06_Mock_06",343,434,392,390,325,440,378.5,335,371,294,353,357,339.5,359.5,380,319,359.5,340,401.5,338.5,415,427.5,406.5,326,427,370.5,360,376.5,319.5,323,476,363.5,364,381,416,357.5,353,486,429,337
"07_WNV_01",361,436.5,415.5,334.5,322,407,398,370,386,298.5,354,375,347.5,363,350,330,391.5,361,446,369.5,370.5,422,433,322,494,406,438,413,353,337,471,397,421.5,458,488,371.5,377,494,459,393
"08_WNV_02",343,427,396,324,314,378,384,343.5,379,283,353.5,363,318,331,368,316,333.5,333,396.5,368,404.5,432,383,312,436,376,418,363,347,310.5,455,368,386,402,430.5,360,358,524.5,448,362
"09_WNV_03",342,401,400,319,314,417,379,367.5,376,294.5,340,357,358,317,369,316,356,347,407,352,434,386.5,399,308,454,399,420.5,385,350,305,451,387,417,427,433,348.5,345,494.5,452,371
"10_WNV_04",349,436,393.5,328,316,375,389,309,390,288,340,364,307,358.5,382,325,354.5,336,428,351.5,402,406,416,311,457,397,421,391.5,344,331,469,397.5,419,423,442,358,349,518,449,377
"11_WNV_05",338,415,396,324.5,315,421,388,345,375,287.5,327,361,295.5,333,368,314,352,350,409.5,316,444,428,416,299,446,384,452,380,346,322,460,370,396.5,416,441,348,346,502,460,370
"12_WNV_06",342,420.5,397,333,309,392.5,372,326,382,286,342,366,330,319,371,317,346.5,331,418,371,390.5,388.5,421,310,463,390,392.5,386,339,326,461,388,394,425,440.5,356.5,347,469,451,356
