"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",242,286.5,326.5,276,250,242,331,233.5,277,252,251,270,250,308.5,315,254.5,484,262,241,330,381,256,481,253.5,203,322.5,502.5,248.5,247,245,332,139,134,263,273.5,274,267,364.5,194,410
"02_Mock_02",242,204.5,338,283,253,283,345,230.5,260.5,254,262.5,269,269.5,310,329.5,255,510,285,215,366,396,281.5,525,269,158,310,390,264,247.5,248,341,116.5,122,251,272,243,212.5,292,271,418.5
"03_Mock_03",238,262,307.5,312,257,219,347,238.5,270,252,265,259,274,314,348,255,495,294,213,326.5,378.5,257,504,266,226,306.5,489,269.5,261.5,247,378.5,83,101,196,264.5,218,232,353,127,417
"04_Mock_04",241,243,330,284.5,252,264,348,265,255,251,274,262,252,307.5,283,253,486.5,304,218,356,377,237,481,258.5,177.5,323,459.5,265,260,242,336,120.5,108,248,293,235.5,242.5,375,248,395
"05_Mock_05",242,248,308.5,289.5,256,211,347,218.5,266.5,251,250,260,260.5,302,296,255,509,307,211,348,368,243,517,260,170,295,519,257,266,249,354.5,122,109,229,276,222.5,234,396.5,207.5,386.5
"06_Mock_06",245,232.5,325,280,253,277,351.5,238,274,253,267.5,250,266.5,297,283,254,506,256.5,218,327,348,258,501,262,222,304.5,418,257.5,268,248.5,371,114,112,236,263,268.5,230,318,212,380
"07_WNV_01",245,252,344,255,257,224,418,245,276,249.5,257,275,251.5,287,348,248.5,579.5,248,234,281.5,351.5,268,555,259,187,328,567,255,269,247,357,168,115,290.5,315,254,258,360,291,440
"08_WNV_02",240,237,284.5,250,249,211,332,236,266,247,268.5,273,252,281,309,249,517,256,213,303,311,258,520,271,212,318.5,518,265,260,236.5,345,97,97,232,305,245,221,296,189,379
"09_WNV_03",245,266,378.5,258,261,226,415,295,268,248,282,275,432,318,284.5,255,580,258,234,281.5,327.5,271,565,251,205.5,326,575,265,266,256,329,138,96,278,290,252,239,313,200,438
"10_WNV_04",247,255,309,251.5,258,221,338,283,265,256.5,264,274.5,283,265.5,321,254,554,253,224,291,316,268,541,271,198,312,494,265,274,253,337,127,101,257,269,257,234.5,286,183,402
"11_WNV_05",246,223,303,256,259,260,334,259.5,279.5,258,270,267,273,301,280.5,259,544,256,217.5,275,304.5,285,560,275.5,195,316,530.5,256,266.5,254.5,323,107.5,90.5,249,273,229.5,243,326,197,389
"12_WNV_06",248,280,313,250,264,289.5,366,239,270.5,260,262,283,291,280,281.5,258,536.5,278,210,302,416,268,607,273,190,319.5,519.5,275,279,265,344,117.5,95,237,286.5,239,220,331,191,419
