"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",222,321,294.5,276,278,256,252,274,356.5,236,273,318,227.5,249.5,244,219,213,401,205.5,248,265,230,212.5,541.5,202,210.5,235.5,213,460,487,198,220,216,198,197,435,455,277.5,235.5,218
"02_Mock_02",220,308.5,295,295,278,236,259,254,309.5,234,268,281,227,241,248,218,216,392,206,243,250,220.5,220,539,208,207,226,221,440.5,501,200,212,214,200,206,446.5,449,273.5,272,218
"03_Mock_03",219,285.5,289,309,272,232,235,240.5,282,228,244.5,295,222,238,275.5,220,232,229,205,249,239.5,239,211.5,534,210,208,221,219.5,468,498,210.5,204,214,195,201,418,441,296,250,210
"04_Mock_04",220,248.5,292,275.5,276,219,243,244.5,308,231,252,291,237,230,234,217,220,286,208,242.5,249,232,214,522,198.5,200,241,220,452,482,199,210,207,197,193,387.5,440.5,347.5,273,231
"05_Mock_05",220,302,295,282,277,243,249,231.5,299,236,269,285,227,243,235,222.5,229,289,209,233,281,244,218.5,534,200,210,235,220,449,492,206,211,212,196,199.5,417.5,448,297,261,223
"06_Mock_06",219,324.5,287,273,279,242,250.5,246,309,236,266.5,308,224.5,244.5,241,221,223,303.5,206,243.5,255,227,209,533.5,212,206,237,217.5,430.5,465,200,207,215,194,201,420,449,283,248,224
"07_WNV_01",225,315.5,320,285.5,292,232,257.5,259,310,243,270,378,280,263,243,231,229.5,359,214,270.5,250.5,239,227,537,206,229,240,221,459.5,473,218,231,227.5,208.5,207,447,472,282,332,218
"08_WNV_02",226,328,318.5,280,289,240,253,245,321,237,278,351,230,250,243,228,232,350,215,259,280.5,234,218,528,214,221.5,245,225,417,491.5,210,228,226.5,211,205,435,467,278,303,225
"09_WNV_03",220,314,299,273,274,248,254,244,315,244,257,407,254,234,256,223.5,214,481,209,258,263,228.5,213,531,200.5,219,235,218,425,489,200,225,224,203,191,442.5,462,247.5,322,222
"10_WNV_04",217,306,295.5,272,276,237,247,258,293,230,260,363,237,263,233,219,215.5,431,203,257.5,282,227,212,528,203,215,224,222.5,441,480.5,200,216,212,204.5,199,429,454,285,291,218
"11_WNV_05",218,288,308.5,278,283,238,250.5,237.5,295,233,249,392.5,241.5,244,224,220,215,361,206,262,252,226,214,540.5,206,209,237,214,451,483,202,213,211.5,195,196,440,466,264,288,213.5
"12_WNV_06",216,310,299,274,282,222.5,241,261,301.5,231,263,362,248,253,238.5,224,223,392,199,253.5,247,232.5,206,539,197,215.5,216.5,216,449,470,211,222.5,220,201.5,199,444.5,455,261,307,221
