"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",547,402,393,454,392,521,473,465.5,438,453,477,465,468.5,525,704,522.5,505,530,565,536,556,625.5,534.5,509.5,584,577,519.5,519.5,443,534,695,558,580,586.5,634,472.5,528,698,591.5,504.5
"02_Mock_02",544,421,371,369,363,552,452,483.5,430.5,447,455,488.5,455,516,693.5,523,488,522,567.5,514,556,624,513,444,560,577.5,504.5,506,432,486.5,686,565.5,575,588,604,446,502,761.5,657,485
"03_Mock_03",539,422,363,291,346,514,448,471,450,441,489,457,461,509,666,527,466.5,500,554,491.5,542,596,504.5,421,537,564.5,502.5,503,413,418,683,573,560,594,609,425,450,699,561,498
"04_Mock_04",549,513.5,375,392,388,556,471,475.5,444,452,507,475,463,533.5,712,540,489,477,568,514,561,586,505.5,469.5,561,591,497.5,514,412,508,690.5,578,587,596,624.5,458.5,476,799,551,488
"05_Mock_05",547,458,368.5,458.5,363,533,458,488,415.5,441,455,455,464.5,522,653,527.5,466,475,562,518,584,596,511,462.5,564,576,500,514,435,464,687,572,578,592,607.5,442.5,475,781,623,492
"06_Mock_06",551,450.5,383,418,376,543.5,474,481.5,424,448,486.5,456,479,517.5,692,536,480.5,520,572,514,554,603.5,527.5,495.5,560,588.5,492,517,442,506.5,696,581,580,605,608,441.5,506,767,630,493
"07_WNV_01",544,426.5,360.5,389.5,368,573,493.5,485,464,455,497,460,404,599,685,529,506,515,586,577.5,506,609,523.5,474,584,588,536,533,417.5,485,685,578,618.5,614,614,451.5,532,714,642,526
"08_WNV_02",536,429,353.5,387,363,534,485,480.5,423,446,477,477,466,546,684,522,480,470,565.5,552,533,604,518,444,564,563.5,511,518,445,527.5,686,553,580.5,581,598.5,450,514,700.5,629,514
"09_WNV_03",543,491,373.5,408,410,530,491,479,459,478.5,501,479,490,598,678.5,522.5,528,573,577,572.5,555.5,593,531,514,580.5,598,507,536,466,489,686,586,614.5,612,618,437.5,541,744,672,507
"10_WNV_04",539,399,362.5,391,379,527,502.5,482,466,457.5,478,482.5,458,540,722,530,500.5,533,586,549,557,583,541,495,575.5,581,498.5,528,442,488.5,689,580,599,589,587,448,522.5,727,636,517
"11_WNV_05",538,494,354.5,390,364,515,494,499,450,453.5,487,477.5,416,555,679.5,533,524,523.5,572,578.5,551.5,609,527,474.5,554,571,521,522,449,474.5,680,566,596.5,595,589.5,434,497,709,606,510.5
"12_WNV_06",545,499.5,361,393,352,566,477,464,433.5,450.5,496,471,436,532,695,523,515,520,596,578.5,518.5,586.5,537,476,583,576,528.5,532,417,470,680,567,586,594.5,599,429,476,753.5,622,507
