"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",115,168.5,115.5,116,64,185,121,71,97,65.5,84.5,92,95,97,191,89.5,138,97,176.5,113,121,166,176,72,255,116,141.5,168.5,83,76,466,107,127,152.5,242,85,92,364,117.5,107
"02_Mock_02",113,188.5,114,117,64,178,127,77,96,63,84.5,87,92.5,95,184.5,83,125,91,180,107,131,134.5,171,69,278,116,171,167,73,71,431,108.5,118.5,144,230.5,83.5,87,401.5,169,106
"03_Mock_03",102,169,110,101,61,152,105,61.5,94,60,84,87,83.5,89,156,79,120,76,164,106,121,135,162.5,62,236,103,111.5,157,69,64,422.5,103,103,135,213,80,73,312,207,98
"04_Mock_04",113,210,112,109,68,176,121,65.5,110,64,89,90,129,103,198,96,130,83,174,116,129,138,171.5,65,248,117,129,175,78,75,428.5,110.5,116,153,257.5,82,85,537.5,152,102
"05_Mock_05",110,193,107,99,63,198,112,70,90,62,77,94,112.5,96,145,88,131,90,172,107,146,126,173,66,245,115,139,176,73,72,437,111,116,150,228.5,82,82,498.5,127.5,106
"06_Mock_06",112,179.5,112,114,65,158,118.5,86.5,104,63,93,94,112,99,208,98,130,98.5,180.5,110.5,126,151.5,171,73,274,118,125,178.5,75,76,458.5,111,121,149,244.5,87,96,445,159,107
"07_WNV_01",120,186,105,71,61,145,110.5,82,106,62,94,99,70.5,101,199,95,139.5,110,212,109.5,109,135,184,69,284,142,163,190,91,71,431,129,156,216,296,93,100,353,150,133
"08_WNV_02",118,180,107,70,64,190,118,72,122,60,97,100,87,93,209,101,123,95,202,107,129,138,178,70,295,139,163,175,89,73,444,124,139,192,274.5,95,97,301,140,128
"09_WNV_03",119,171,113.5,76,70,129,128,116.5,120,70,93,108,143,121,255.5,106.5,151,123,216,109.5,143.5,139.5,236,70,313,158,159,212,104,70,433,142,166.5,237,304,97,97,358.5,166,141
"10_WNV_04",119,193,120,71.5,66,164,129,90,121,61,97,103.5,86,98.5,261,94,136.5,101,230,103,128,142,217,70,325.5,157,165,212,96,78,441,154.5,167,234.5,308,97,97.5,386,155,130
"11_WNV_05",117.5,164,121,72,66,165,127,104,109,62,88,97.5,75.5,95,148,92,157.5,100.5,207.5,109.5,120.5,134,177,69.5,285,144,198.5,176,96,74,428,136.5,160,214,275.5,93,95,303,154,127
"12_WNV_06",116,174.5,121,74,66,173,125,80,111,60,99,101,106,86,201.5,89,147,102,229,119.5,133.5,121,199,69,305,149.5,166.5,184,93,72,437,148,159,232.5,316,98,95,370.5,154,123
