"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",261,621,376,339,533,333.5,326,263,285.5,327,267,310,296,286,386,280.5,289,273,297,356,647,439.5,330,265,356,274.5,527,306,270,266,470,276,277,287,351.5,294,278,489,611.5,281.5
"02_Mock_02",268,501.5,380,351,534,376,335,264,298,338.5,267,313.5,292,287,432,285,278,271,308,378,673,469,341,265,335,276,543.5,317,272.5,264,490,283.5,275.5,289,317.5,280.5,275.5,546,659.5,278
"03_Mock_03",275,533.5,388.5,356,538,346,338,263,292,321,271,292,301,307,399.5,299,297.5,284,322,358,698,497,348.5,269,338,282,593.5,325.5,274.5,269,510,288,285,306,337,296,290,523,574,292
"04_Mock_04",266,574,373,356,529,315,319,266,291,303,264,284,316,288.5,391,281,284.5,272.5,301,350,630,432,313.5,256,338,274,522,302,273,258,479,285,275,286,321,280.5,273,531.5,678,281
"05_Mock_05",269,611.5,398.5,357.5,529,361,336,270.5,296,326,263,299,299,311,406,278,289,254,308,383,668,464,303,264,334,278,532,316,267,260,494,288,284,296,321,284,279,555,667,288
"06_Mock_06",268,579,383,358,535,307.5,324,269,309,335,270.5,293,297.5,291.5,399,285,297.5,290.5,305,345,656,444,324.5,271.5,322.5,275,483,313,276,256.5,484.5,287,277,292,315,288,280,556,577,282
"07_WNV_01",274,577.5,438,394.5,413,313,313.5,306,297,309,286,298,373,302,375,283.5,309.5,284,331,300,565.5,402,341,268,384,312,448,328,298.5,264,473,316,312,353,360,299,287,493,561,312
"08_WNV_02",275,605,396,390,459,332,310,278.5,306,311,281,299,282,299,389,275,290,253,317,323,576,418,317,265,342,309.5,478,310,283,262,477,314,308.5,317,345,295,279,526,604,292
"09_WNV_03",267,516,408,412,413,280,307,292.5,295,305.5,281,283,344,298,418.5,280,290,283,315,292.5,572.5,385.5,319,258,341.5,304,440.5,311,287,263,465,307.5,302,327,347,287,269,504,583,292
"10_WNV_04",272,558,399.5,389,442,316,311,293.5,310,298.5,277,297.5,329,297,410,277,294,276,325,330,615,404,335,260,350.5,310,454.5,320,291,261,474,328,315,334,350,297,279,515,590,294
"11_WNV_05",274,571,421.5,413,464,361,317.5,277,295,298.5,277,295.5,280.5,284,381,284,281.5,293.5,328,315,649,437,335,252,345,308,459,318,289,265,476,315,311,332,344,292,276,523,606,301.5
"12_WNV_06",276,593.5,413,412,436,337,308,279,303,295,285,301,349,304,400.5,282,294,289,334,322.5,614.5,385.5,345,264,364,309,449,327,293,263,483,321.5,309,342,350,294.5,276,487.5,589,297
