"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,295,551,111,295,546,200,240,241,213,220,306,535,231,231,292,608,244,679,344,348,225,302,232,289,268,313,601,288,430,225,229
"2",2,591,633.5,182.5,310,434.5,237.5,247,248.5,240,302,406.5,380.5,231,232,334,711.5,499,685.5,440.5,354,260,819,219,293.5,573.5,403,621,490.5,615,216,281
"3",3,313,555,112,289,371,390,195,323,235,292,269,298,231,231,329,675,480,263,394,332,247,774,249,332,384,609,722,378,694,224,329
"4",4,313,558,111,279,400.5,429,219,283,228,283,276,299.5,232,231,307,656,440.5,238.5,377.5,346,246.5,791,241.5,295.5,350,343,623,323.5,597.5,220.5,242
"5",5,289,544,64,237,368,530,221,254,252,276,270,302,231,231,261,654,384,213,320,338,257,814,220,241,533,305,232,467,562,223,209
"6",6,480.5,610,166.5,328.5,534,147.5,245.5,241.5,215,236.5,354.5,550,231,231,323,638.5,392,687,401.5,359.5,231.5,689.5,233.5,331.5,341,344.5,620.5,340.5,454.5,223.5,242
"7",7,328,563,116,288,463,0,219,344,202,249,275,309,231,231,348,662,468,268,379,347,224,743,227,308,331,394,682,298,546,223,354
"8",8,321,561.5,71,262,478.5,325,227,231,215,243.5,227.5,293.5,233,230,323,719.5,352,484,317.5,341,369.5,348.5,226,273,267,313,485,282.5,432.5,223.5,246
"9",9,283,546,99,309,428,440,224,267,216,309,264,304,231,230,330,758,405,301,369,339,492,675,212,294,295,328,275,307,505,220,234
"10",10,262,531,63,244,447,262,226,252,227,233,253,304,231,231,296,520,399,233,292,337,230.5,705,222,260,323,302,239,287,451,226,235
"11",11,304,551,86,272.5,478.5,389,224,261.5,211,263,238.5,296,232,231.5,305,736,342,442.5,342,339,407.5,458.5,221.5,280.5,269,306,254.5,280.5,448,221,239.5
"12",12,262,530,90,288,460,0,231,263,207,298,253,303,232,231,337,751,447,276,356,337,493,369,229,302,297,319,277,297,466,222,228
"13",13,277,540,101,587,465,140,233,262,223,224,259,308,231,231,329,478,412,260,336,339,230,670,220,297,301,322,253,302,441,227,239
"14",14,280,538,96,257,521,0,582,307,199,242,463,296,230,231,311,697,414,686,351,344,229,325,229,273,295,376,250,288,434,223,336
"15",15,240,506,185.5,384.5,687.5,0,231,311,215,245.5,390.5,273.5,231,231.5,353.5,474,307,251,364,364.5,186.5,439,239,305.5,397.5,520,452,483.5,280,244,393.5
"16",16,278,541,89,273.5,527.5,3,235,254,218,220,281,291,231,232,314,522.5,355,287,318,342,222,295,226,285,285,321,264,285,419,228,246
"17",17,272,536,129,335,483,0,237,495,207,222,258,303,231,231,347,579,444,284,355,341,219,502,222,325,289,325,292,281,416,227,274
"18",18,308.5,555.5,92,270.5,507.5,0,231.5,277,206,295,280.5,300,233,231,344,703.5,419,244,336,340,225.5,526,235,277,273.5,307,252.5,290.5,406,222,260
"19",19,359,575,175,598,566,82,230,220,198,207,304,309,231,232,475,515,281,700,402,374,216,322,229,328,306,348,692,313,400,227,245
"20",20,310,557,110,265,517,0,546,342,198,246,361,308,231,231,325,690,480,694,365,349,229,314,227,300,360,354,568,293,435,225,283
"21",21,289,545,129,272,556,0,390,376,201,253,482,311,232,232,369,714,562,720,435,352,233,336,230,281,658,380,303,323,494,223,483
"22",22,326,563,149,394,604,0,261,256,206,233,456,310,231,232,349,597,468,348,431,353,215,357,229,356,466,464,420,349,443,228,303
"23",23,293,548,172,712.5,516,0,326,502,203,215,277.5,310,232,231.5,359,559,443,328,406,347,215.5,310,223.5,389.5,322,366,280.5,291,401,227.5,254
"24",24,296,544,68,254,459.5,0,236,260,236,534,314,294,231,231,314.5,703,405,245,313,335,229,281.5,226,293,265,629,286.5,537,587,226,240
"25",25,350,568,252,707,561,0,243.5,193.5,194,206,279.5,295,231,231,401,506,333,478,435.5,432,200,308,223.5,384.5,335,372.5,689,323,372.5,228,262
"26",26,313,560,115,264,581,0,504,311,176,207,332,302,232,231,345,625.5,462,617,360,359,214,310,226,306,276,372,804,350,395.5,225,277
"27",27,306.5,553.5,137,660.5,501,0,249.5,474.5,200,234,361.5,326,231,229.5,423.5,652,560,483.5,398,347.5,220,324,221.5,303.5,518,344.5,329,296,423.5,221,465.5
"28",28,280,537,172,797,512,0,251,262,211,219,284,300,231,231,348,545,412,295,376,372,220,298,225,360,312,344,287,326,409,227,250
"29",29,266,536,75,259,435,77,231,259,234,455,250,311,231,233,311,722,444,255,321,337,244,263,254,279,271,319,277,343,510,223,223
"30",30,285.5,542,71,258,466.5,191,238,247,222.5,491,253,200,232,231,310.5,714,375,238,325,338,222,281,514.5,281,264,310,256,330,438.5,224,227
"31",31,696,652,440,491,689,0,258,351,188,201,322,294,232,231,510.5,528,315,593.5,472,519,185,363,226,436,487,538,611,414,296,231,317
"32",32,306,556,108,264,572,0,424,117,185,209,331,309,231,232,376,629,481,627,356,329,189,307,221,336,285,395,836,439,412,225,295
"33",33,317,561,116,265,575,0,503.5,113.5,183,213,333,301,231,232,385,624,472,620,363,353,211,295,227,319,279,372.5,823,242,444,222,256
"34",34,320,562,147,286,594,0,533,241,184,197,309,306,231,231,449,560,471,414,378,353,204,295.5,225,345,292,391,782,330,397,226,271
"35",35,344,567,231.5,678,611,0,573.5,273.5,194,201,280,303.5,231,231,418,511,450,340,415,360.5,212,293.5,225,398,322,412.5,700,326,403,225,258
"36",36,269,534,83,273,447,0,214,244,205,423,275,306,231,231,329,738,459,264,350,330,333,296,236,297,288,364,758,388,514,224,249
"37",37,295.5,545,85,271,489,0,225,234,195,448,267,236,231,231,336,730,418,252.5,348,348,214.5,308,462,292,278,332,735,350,435.5,225,250
"38",38,526.5,604.5,420,527.5,751,0,255,350.5,202.5,284,530,283.5,232.5,232,470,606,479,389,507,424.5,180.5,534,272,435.5,529,626,569.5,577,266,247,472.5
"39",39,327.5,560.5,137,269.5,609.5,0,517,214.5,180.5,249,481,326.5,230,232,417,723.5,572,748.5,453,354.5,209.5,365.5,241,311.5,635,472,733,378.5,534,211.5,414.5
"40",40,283,542,105,276,493,0,253,403,197,219,297,318,231,232,380,598,516,330,339,338,214,374,222,320,282,334,672,308,412,227,373
