"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,297,551,102,287,539,234,239,238,217,219,304,546,231,231,293,615,245.5,679,337,343,226,294,231,297,275,321,607,296,446,224,228
"2",2,608,634.5,169,292.5,422,501,239,262,251.5,285.5,323.5,388,231.5,234,322.5,707.5,470.5,679,442,352,269.5,795.5,207,363,533.5,408.5,662,474.5,602,214.5,281
"3",3,304,554.5,110,296.5,363,438,194,307.5,240,289,258.5,308.5,230.5,231,339,681.5,490,274,398.5,318,249,771.5,250.5,345.5,388.5,609,756,409,708.5,221.5,335
"4",4,285,546,101,279,291,596,216,312,277,309,269,322,235,230,329,660,424,269,383,336,280,813,217,312,356,367,637,392,665,215,278
"5",5,288,544,61,232,346,553,222,257,266,272,258,299,231,231,255,670,400,217,321,337,264,809,222,237,538,306,231,474,584,225,220
"6",6,469,608,152,311,514,218,239,219,226,232,320,572,230,231,364,654,346,688,370,346,239,663,249,334,346,347,623,332,472,223,260
"7",7,300,554,105,284,448,0,216,347,211,235,250,287,231,232,352,671,471,288,373,334,219,726,237,324,338,386,688,316,554,225,365
"8",8,313.5,556,61.5,260,471,474.5,231.5,238.5,227,240.5,247.5,279,230,232,318,713.5,318,462,303.5,337.5,351.5,334.5,235,287,263,272,456,270,455.5,230,230.5
"9",9,272,546,94,296,450,478,224,270,217,282,260,309,232,228,384,763,413,304,382,338,486,691,203,314,292,322,265,318,503,220,229
"10",10,262,532,60,243,441,266.5,226,252,230,228,244,304,231,231,299,526,412,233,292,337,231,700,222,259,321,306,235,290,457,226,239
"11",11,316.5,558.5,84,267,489,345.5,226,265,210.5,244.5,230,294,233,232,314,741.5,338.5,419.5,332,338.5,440.5,473,209.5,279,271,304.5,263.5,280.5,442.5,220.5,246.5
"12",12,262,530,87,290,457,0,230,259,211,295,248,322,231,231,371,755,461,269,364,337,505,325,224,299,292,325,277,316,467,220,228
"13",13,264.5,536,83.5,573,461,140.5,231,274,228,222,251,309.5,232,230,334.5,463.5,413,250.5,321,337,224.5,667.5,215,288.5,301,325.5,253.5,303,440.5,227.5,247.5
"14",14,258,534,89,260,509,0,578,314,210,238,469,302,231,231,313,707,429,686,347,342,232,328,224,279,307,402,244,294,452,223,336
"15",15,214.5,480,156,380,666,0,217.5,348,219.5,275.5,370.5,271,231,232.5,346.5,448,304.5,269.5,370,368,202.5,416,240.5,288,399.5,528.5,454.5,535,337,246,398
"16",16,281,537,79,272,527,0,236,255,220,220,277,291,231,232,313,522,358,293,315,341,224,282,227,281,299,329,264,293,435,227,244
"17",17,273.5,533.5,120,321,466.5,0,238,495,214.5,232,247.5,297.5,232.5,232,341.5,588.5,449,274,366.5,341,228.5,490,224,341,297.5,341.5,310.5,295,441.5,230,299
"18",18,317,522,76,275,500,50,228,294,206,229,286,294,231,231,338,671,389,249,348,333,204,528,215,253,284,309,235,290,434,216,236
"19",19,367,582,164,590,554,153,226,213,201,205,302,311,232,231,496,519,281,700,397,361,217,310,230,344,322,362,698,320,427,225,239
"20",20,316.5,558.5,106,264,491.5,0,527,326.5,199,249,373,302,231.5,232.5,335,699.5,488.5,736,360.5,349,229.5,307.5,235,313,358,383.5,587.5,298,484.5,229.5,306
"21",21,305.5,557,121,239,542,0,409,378.5,209.5,239.5,474,312,232,230.5,382.5,710,582,719.5,409,346,243.5,293,219,279,698,436,314.5,336,516.5,220.5,551.5
"22",22,285,536,135,375,596,0,258,257,231,239,486,317,231,232,351,597,469,353,446,353,229,352,231,358,497,495,412,375,480,223,306
"23",23,290,547,162.5,702,504.5,0,337,504,204.5,211.5,276.5,309.5,234,231.5,366.5,569,451,331,400,346.5,213,301.5,226,395,348.5,387.5,289.5,300.5,416,228,258.5
"24",24,296,545,62,251,421,288,231,266,258,534,298,288,232,231,301,710,406,245,296,333,237,256,234,291,269,621,291,520,585,226,211
"25",25,337,564,236,701,537,2,242,226,203,210,283,299,231,231,378,503,315,463,422,421,201,302,219,391,338,378,675,327,406,228,254
"26",26,312.5,562,103,265,564.5,0,498,306.5,183.5,208,317.5,300,232,231,353,629,472.5,627,350.5,337,212,302.5,228,316,282,395,810,372,432.5,223.5,273.5
"27",27,302.5,545.5,111.5,666.5,502.5,0,234.5,489,199,221,363,289.5,229,229,400,688.5,576,489,385.5,344.5,233,313,249.5,289,593.5,389,335.5,308.5,430,231,529
"28",28,262,532.5,157,805,503,0,245,269.5,213,219.5,269.5,303.5,231,230.5,348,546.5,391.5,294.5,365.5,357.5,219,298.5,224,358.5,325.5,348,271.5,347.5,417,227,260.5
"29",29,276.5,550,69,259,413,142,231,261.5,241,468,237.5,327,230.5,233,320,723.5,451,271,319,336,235,264,247,294.5,274.5,320,289.5,339.5,507,221.5,221.5
"30",30,270,536,64,257,418,416,236,247,242,498,247,231,231,232,299,719,378,237,326,338,237,258,522,285,269,322,255,357,504,222,220
"31",31,708,657,422.5,487.5,683,0,251,378.5,201,210.5,317,292,232,231,516,520,311.5,593,471,505,192,356,226,450,510,561,619,452,339,227,311
"32",32,305,557,103,262,573,0,410,83,185,204,318,310,233,231,383,629,483,631,345,302,185,292,222,342,288,414,846,442,420,224,297
"33",33,311.5,560.5,103,264.5,560,0,496.5,101,188,214,323,301.5,231,231,391.5,622.5,485,612.5,357.5,309,217,273,229,334,285,410,828.5,264.5,489.5,219.5,263.5
"34",34,322,568,135,288,594,0,526,196,187,195,300,305,231,231,457,564,478,430,386,331,196,295,225,354,306,416,794,371,414,226,282
"35",35,353,570,213,671.5,609,0,554,264.5,190,201,272,300,230,232.5,431.5,504,454.5,345,419.5,353,211,285,228.5,403,337,430.5,710.5,331.5,420,222,252
"36",36,267,532,80,271,425,18,210,218,216,418,275,303,231,231,353,738,467,267,348,317,355,278,243,308,296,373,770,398,538,225,242
"37",37,268,536,73,270,450,100,219,232,213,441,256,230,231,232,336,730,423,266,356,332,217,268,484,293,290,337,722,366,493,223,240
"38",38,523,633,312,537,699,0,276,353,221,296,532,302,228,231,463,587,476,411,522,457,205,528,256,483,523,607,573,559,425,247,409
