"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,288,546,119,291,539,170,233,247,213,217,339,463,231,231,297,597,261,668,349,349,223,309,230,291,272,321,558,287,431,223,233
"2",2,465,605,193,330,399,58,233,255,233,306,478,369,231,233,381,715,510,615,436,364,260,830,210,334,558,418,683,505,717,205,293
"3",3,268.5,536.5,120,302,362.5,388,180,309,226,295.5,268,294,230.5,231,358.5,682,466,278,393.5,324,246.5,788.5,249.5,346,399.5,596,776,388,737,225,330
"4",4,268,531,71.5,258,391,458.5,217,251.5,238,272,302.5,297.5,231,231.5,292.5,638,401,217.5,328,337,251,812.5,228.5,259,389,314,617,387.5,630,221,226
"5",5,278,538,66,245,379,513,220,258,248,276,290,306,230,231,274,656,379,216,316,339,255,828,220,244,442,306,278,451,622,219,209
"6",6,338,578,164,292,527,0,234,221,212,237,376,486,230,232,342,626,396,664,375,350,226,622,229,302,316,338,593,289,464,216,231
"7",7,302,547,129,301.5,502.5,0,212.5,338,185.5,247,306,303.5,232,230.5,370.5,648.5,430.5,254,389,355.5,214,734.5,228.5,317.5,311,409,705,309.5,657,219,352
"8",8,272.5,538,90,273,482,27.5,234,283,201.5,258,262,314.5,234.5,235,317,711,355,516.5,309,337,436,317.5,223,284,293.5,322.5,503,306.5,506.5,224.5,233.5
"9",9,356,572,121,319,466,132,231,265,212,293,335,304,231,231,354,752,447,319,390,344,540,694,230,304,310,338,329,307,542,224,272
"10",10,264,530.5,61,249,457.5,281.5,226,256.5,225,230,272.5,301,231,232,305,513,379,232,288,337,228,707,223,257.5,298.5,302.5,255,288.5,466.5,224,231
"11",11,322,567,97,279,478,225,220,264,217,260,247,302,231,230,316,737,401,508,340,340,462,548,215,306,277,309,274,290,472,224,255
"12",12,319,552,103.5,295,482.5,0,233.5,274.5,201,363,304.5,306,232.5,232,340.5,756,451.5,260,364,339,497.5,378,236,304.5,297.5,326.5,334,300,491.5,221.5,236
"13",13,258,532,86,621,458,207,228,283,216,237,317,290,232,233,310,549,406,249,307,335,236,688,206,255,329,312,249,328,616,227,227
"14",14,294.5,552,98.5,271,540,0,459,265.5,199.5,263,631.5,298,231.5,228.5,307,706,421.5,629.5,358.5,341.5,234.5,312.5,218.5,284,297,360,315,285,675,229.5,348
"15",15,264,498,261,416,722,0,238,321,192,233,436,279,229,230,378,481,325,260,382,366,174,496,235,310,410,554,481,507,264,238,436
"16",16,269,536,94,278,530,16,234,254,215,219,311,296,230,231,317,535,339,298,325,343,221,294,229,290,277,322,288,283,425,226,244
"17",17,283,542,136.5,305.5,500.5,8.5,234.5,554,204.5,215.5,285.5,309.5,229.5,230.5,362.5,577.5,380.5,267.5,354.5,340,207,498.5,214.5,306,294,352,315.5,286.5,606,226.5,246
"18",18,304,556,101,284,533,0,237,253,200,431,299,309,230,235,353,722,428,272,336,342,225,467,244,280,276,300,308,261,532,221,263
"19",19,370,575,230,539,586,0,236,224,192,203,396,308,231,232,515,565,338,687,428,392,209,344,227,359,325,373,675,324,403,225,258
"20",20,272,535.5,103,294.5,549,0,442,291,201.5,257.5,633,295,232,231,338,714,440,662.5,351.5,342,220.5,327,226,288.5,330,360.5,569,300,656,231.5,342
"21",21,298,543,128,338,557,0,274,316,182,282,593,278,231,232,385,737,528,669,402,349,226,320,211,295,615,358,431,307,682,216,560
"22",22,316,541,142,396,583,0,250,268,200,227,537,309,234,230,372,632,442,356,406,351,212,351,226,339,404,449,480,348,527,227,331
