"","Group","Sample","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1","Mock","01_Mock_01",14127000,48000,162000,159000,3108000,60000,351000,30000,96000,2202000,120000,93000,120000,384000,135000,708000,147000,51000,1128000,147000,147000,90000,150000,282000,135000,1224000,48000,420000,111000,309000,993000,285000,447000,906000,156000,384000,363000,48000,36000,90000
"2","Mock","02_Mock_02",13953000,36000,201000,135000,2958000,45000,309000,42000,90000,2556000,84000,72000,138000,381000,90000,633000,117000,27000,1176000,141000,147000,60000,174000,201000,171000,1170000,30000,483000,90000,384000,837000,432000,612000,795000,306000,396000,360000,54000,24000,90000
"3","Mock","03_Mock_03",12978000,60000,240000,63000,3783000,99000,279000,36000,99000,3606000,126000,105000,204000,279000,78000,555000,96000,21000,969000,114000,120000,99000,162000,297000,123000,618000,24000,342000,144000,567000,828000,543000,534000,669000,204000,465000,315000,63000,12000,81000
"4","Mock","04_Mock_04",12852000,30000,177000,132000,3132000,45000,393000,18000,111000,3837000,63000,69000,129000,240000,93000,627000,162000,30000,1083000,120000,123000,57000,156000,252000,132000,999000,30000,441000,81000,387000,1200000,396000,591000,792000,192000,336000,354000,42000,21000,75000
"5","Mock","05_Mock_05",12441000,90000,240000,84000,3996000,33000,351000,42000,78000,3111000,105000,99000,138000,255000,93000,552000,129000,21000,951000,141000,105000,81000,162000,294000,135000,945000,39000,459000,105000,561000,1116000,483000,639000,801000,252000,354000,363000,30000,30000,96000
"6","Mock","06_Mock_06",13932000,48000,237000,111000,2904000,36000,390000,36000,99000,2808000,156000,87000,120000,342000,81000,573000,132000,54000,1368000,150000,183000,96000,174000,396000,168000,1158000,27000,456000,84000,126000,648000,312000,519000,903000,294000,312000,297000,33000,39000,111000
"7","WNV","07_WNV_01",7358000,56000,184000,664000,1290000,54000,396000,38000,250000,836000,82000,166000,12000,46000,74000,356000,68000,54000,764000,64000,28000,118000,88000,234000,214000,1706000,94000,310000,120000,174000,802000,646000,312000,628000,174000,380000,650000,78000,218000,214000
"8","WNV","08_WNV_02",8144000,62000,228000,490000,1638000,42000,382000,16000,138000,1490000,56000,86000,54000,86000,50000,446000,64000,14000,556000,122000,44000,138000,78000,178000,110000,680000,58000,294000,50000,136000,934000,498000,416000,930000,204000,318000,410000,44000,170000,146000
"9","WNV","09_WNV_03",10582000,38000,116000,374000,730000,26000,354000,24000,230000,248000,86000,174000,6000,26000,48000,3e+05,54000,30000,666000,60000,56000,68000,82000,126000,152000,1462000,60000,262000,110000,78000,554000,624000,436000,698000,186000,260000,310000,32000,126000,146000
"10","WNV","10_WNV_04",7578000,78000,196000,764000,1594000,42000,404000,24000,218000,992000,70000,136000,26000,36000,54000,398000,56000,34000,482000,1e+05,38000,106000,94000,242000,156000,990000,40000,268000,94000,152000,1178000,540000,430000,748000,186000,470000,6e+05,46000,146000,194000
"11","WNV","11_WNV_05",8092000,58000,292000,544000,1238000,34000,376000,20000,224000,784000,82000,164000,32000,70000,76000,418000,36000,32000,584000,84000,40000,142000,78000,276000,130000,866000,64000,246000,124000,180000,990000,740000,468000,758000,144000,448000,634000,70000,202000,160000
"12","WNV","12_WNV_06",7816000,60000,274000,626000,1546000,44000,370000,38000,208000,944000,114000,122000,18000,42000,88000,418000,64000,34000,498000,72000,48000,124000,66000,238000,118000,1164000,68000,278000,118000,166000,886000,720000,488000,6e+05,160000,432000,550000,48000,202000,130000
