"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,305,555,110,297,547,206,241,242,214,220,310,541,231,231,290,610,246,680,345,346,226,301,232,288,269,315,601,289,434,224,230
"2",2,594,631.5,193,309,458,25,260.5,248,254.5,302,423,384.5,231,234,329,722,508.5,685.5,422.5,358,255,812.5,210.5,314,611.5,447,631,525.5,644.5,220.5,320
"3",3,315.5,557,107,285,368.5,433,189,308.5,236,295,258.5,318.5,229,232,330.5,672,488,262.5,392,333.5,246,773.5,242,331.5,398.5,627,712.5,368,698.5,222,315
"4",4,346,567,99,279,458.5,311,218,289.5,212.5,282,250.5,284.5,229,229,312,666,462.5,252.5,370.5,344,248.5,772.5,243,293.5,357.5,344.5,596.5,318.5,550,219.5,226
"5",5,295,546,63,235,363,541,220,256,255,277,264,301,231,231,255.5,657,385,211.5,322,338,260,811,221,239.5,529,303,233,468,565,223,208
"6",6,620,639,198,354,533,141,244,211,220,243,365,525,232,232,320,633,437,697,388,369,221,671,226,284,361,333,627,340,449,225,287
"7",7,328,561,112,285,458,0,217,347,204,249,272,307,231,231,337,662,471,255,383,345,233,739,225,308,336,407,674,293,573,221,359
"8",8,332,572.5,70,257.5,488,293.5,225.5,218.5,229,231.5,196.5,297,235,230.5,331,725.5,387,446,320.5,341.5,347.5,338,223,293,270.5,324,532,270.5,449,218.5,235.5
"9",9,258.5,535,90,304.5,415.5,452.5,220,266.5,225.5,299,253,298,231,228,316.5,766.5,400,285.5,370,338,478.5,709.5,223,293,296,333,275.5,310.5,541.5,226.5,243.5
"10",10,262,532,62,245,441,261,226,251,231,236,251,308,231,231,294,526,404,233,294,337,233,705,221,262,326,302,243,288,458,227,235
"11",11,300,549,77,266,455,436,224,250,216,269,222,309,234,230,292,742,369,452,343,342,378,409,215,275,263,301,251,288,476,220,235
"12",12,266,539,94,293,455,99,230,260,211,285,227,297,229,230,331,753,461,303,357,336,494,382,227,313,299,312,293,293,478,225,219
"13",13,315.5,562.5,112.5,573.5,464.5,213,234,260.5,226,227,264,322,231,230,336.5,467,414,250,344.5,339.5,227.5,675,210,291.5,299,319,268.5,310,442,226.5,236.5
"14",14,272,530,96,253,522,0,578,302,200,243,464,300,230,231,308,698,414,697,354,342,229,333,229,266,311,368,261,285,428,222,355
"15",15,232,508,145,369,653,0,234,296,216,235,413,275,229,232,324,476,307,279,367,354,207,392,244,305,406,520,447,482,310,232,385
"16",16,279,541,88,274,527.5,4.5,234,255,219,222.5,269.5,292,231,233,318.5,523,362.5,282,319,343,219.5,295,229,289.5,278,313,260.5,282,420.5,229,241
"17",17,263,529,131,362,466,0,235,509,218,229,229,313,232,228,336,584,447,269,356,338,222,473,217,324,289,322,306,284,432,226,281
"18",18,307,542,90,271,475,0,220,307,225,289,298,298,230,232,343,706,470,233,318,328,254,584,227,260,254,312,243,322,480,217,252
"19",19,352,571,172,590,562,89,229,211,197,209,305,305,231,232,442,522,290,706,408,369,216,323,227,328,308,354,695,316,414,225,239
"20",20,294,551,107,264,518,0,583,348,207,233,323,305,231,230,325,699,464,685,363,344,225,310,224,295,383,382,569,284,445,224,269
"21",21,289,537,146,262,584,0,459,368,188,281,488,313,231,234,387,726,564,729,451,351,238,347,221,281,668,437,355,323,519,215,510
"22",22,343,571,126,415,596,0,258,243,219,244,414,312,227,231,354,588,468,366,418,356,214,335,237,367,464,448,430,346,467,229,308
"23",23,292,546,173,708,511,0,280.5,517,208.5,218.5,284.5,301.5,232,231,349.5,566.5,449.5,323,380,343,220,313.5,218,380.5,303,349,276,280.5,418,227.5,246
"24",24,284,538,66,251,462.5,0,233,260,238.5,534,328,294.5,231,231,315,703.5,411.5,245,316,334,241,285,225.5,307.5,264,614.5,306,538.5,580.5,229,233
"25",25,376,573,245,713,564,0,239,170,189,200,281,309,233,231,434,513,344,492,420,440,198,312,220,370,334,366,728,313,367,226,271
"26",26,319,561,115,264,576,0,503,295,175,210,330,303,231,230,339,631,466,631,365,357,218,310,222,305,278,379,814,359,403,226,280
"27",27,287,546,139,649,500,0,253,519,213,235,381,312,231,230,428,674,548,481,411,344,220,294,218,286,532,336,314,315,440,214,438
"28",28,287,537,176,783,514,0,251,257,209,220,284,299,232,232,353,547,424,293,378,382,221,297,226,363,316,349,285,332,406,225,253
"29",29,285,544,73,251,435,162,232,266,250,449,236,311,232,233,290,724,426,246,318,334,241,256,291,255,267,321,283,343,526,222,224
"30",30,286,539,72,260,464,151,238,249,220,492,249,208,232,231,305,713,380,236,323,339,225,288,522,274,260,313,252,330,444,225,227
"31",31,681,651,437,487,687,0,256,354.5,188,206,328,296.5,231,232.5,515,530,321,608,493.5,523.5,183,364.5,224,445,494,546,611,424,303,231,316.5
"32",32,315,559,111,264,572,0,417,122,185,211,343,305,232,233,368,637,475,640,356,328,193,314,222,332,288,398,841,448,412,225,302
"33",33,325,564,116,264,578,0,503,109,180,212,340,301,231,232,379,627,474,631,369,342,212,290,231,319,284,384,827,236,443,221,254
