"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",293,298,341,301,271,298,361,347,334,298,272,298,320,324,366,315.5,355,339,503.5,333,367,355.5,374.5,317.5,402,353,437,354.5,318,323,507,362,394,463.5,452,326.5,344,461.5,388.5,371.5
"02_Mock_02",289,350.5,341,296,258,359,345,311,311,295,323.5,360,322.5,309,371,315,353,387,478.5,332,367,339,372,294,413,345.5,424,343,287,307.5,517,380,380.5,431,388.5,324.5,329,485.5,409.5,375
"03_Mock_03",293,322.5,339,329,255,364,352,318,384,299,314,371,334.5,313,346.5,313,341.5,338,496,335,382.5,351,366.5,301,378,353,400,348,320,299,516,383,391.5,457,431.5,353,336,463,489.5,368
"04_Mock_04",292,362,319,303.5,268,315,358,315.5,318,296,301,358,318,312,363,306,339,345,468,311,359,366,336,319.5,382,346,408,346,308,328,506,375.5,382,448,434.5,314.5,337.5,477,452,405
"05_Mock_05",290,329,330.5,312,255.5,320,337,331,316.5,294,292,331,336.5,308,324,318.5,336,343,442,325,387,354,349.5,315,434,339,428,353,290,305,515,368,379,440,416.5,317,329,477,420,387.5
"06_Mock_06",293,345.5,310,323,265.5,334,345.5,308,318,297,307,302,372.5,301,334,318,366.5,355.5,471,310.5,358,343.5,366.5,324.5,370.5,338,356,350.5,325,331.5,505,383.5,381,456,408,324,325,444,406,369
"07_WNV_01",296,360,350,300,265,339,372,305,304,296.5,310,352,297.5,329,381,309,351.5,353,554,342,407,368,360.5,328,480,371,436,379,358,319,542,379,394,493.5,465,351.5,365,445,418,373
"08_WNV_02",294,371,343,287,264,329,366,256,415,295,320.5,355,318,329,363,317,336,337,524,342,398,373,356,326,443,372,403,343,349,321.5,519,392,413,500,468,341,368,467.5,390,391
"09_WNV_03",294,360,324.5,299,285,324,359,288.5,314,310.5,318,322,359,318,340,321,335,398,462,329,380,380,376,325,555.5,361,419,381,345,324,508,370,414,476,512,353,368,454.5,423,377
"10_WNV_04",297,381,358.5,292.5,274,342,370.5,317,354,305,316,340.5,310,307,378,317,362.5,353,515,338,385,372,387,327,456.5,382,462.5,410,343,332.5,503,413,409,495,483,355,363,455,407,412
"11_WNV_05",299,332,351,294,270,340,378,291,368,302,314,372.5,297.5,329,352,325,371.5,344,513.5,334,368,358,362,322,437,385,439.5,373,355.5,322.5,523,425,424,509,496,350,360,480,423,413.5
"12_WNV_06",302,378.5,339,299,268,314.5,364,323,356,299.5,306,354,307,335,375,315,345.5,342,549,329.5,399.5,345.5,391,321,546,386.5,417.5,383,343,314,528,404.5,414,512.5,526.5,349.5,359,452,424,398
