"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",224,267.5,235.5,237,250,237,222,372,476.5,230,400.5,485,226.5,225,174,222,215,212,216,224,226,217,210.5,216.5,195,211,223.5,217.5,244,209,180,191,203,201.5,208,331.5,216,218,194,217
"02_Mock_02",227,260.5,238,258,260.5,207,223,390.5,527,231.5,411.5,489,234,227,171,223,210,250,216,238,232,212,220,231,202,213.5,213,221,242,222.5,183,187.5,207.5,209,215.5,327.5,205,179,217.5,208.5
"03_Mock_03",226,269.5,249,280,264,239,219,351.5,486,231,440.5,505,224.5,232,202.5,224,228.5,204,217,229.5,243.5,229,213,237,201,212,233,219,235,237,192,185,217,196,211,355,217,205,231.5,219
"04_Mock_04",224,220,257,254.5,251,230,219,339.5,480,229,405,499,241,226,180,223,219.5,217.5,215,238,233,206,219.5,227,195,209,225,221,248,211,185,186,211,205,217.5,320,210,119.5,209,204
"05_Mock_05",226,255,246,248.5,260,221,233,347.5,478.5,233,378,494,227.5,229,207,219.5,222,254,216,225,238,214,220,241,198,218,220,221,241,225,183,193,212,204,210,309,216,169.5,203,209
"06_Mock_06",225,265.5,248,228,255,228,228,381.5,492,230,406,474,232.5,230.5,196,219,213,244.5,212.5,226.5,232,211.5,205,223,208,219.5,215,219,248.5,215.5,186.5,186,209,208,211,365,216,155,218,214
"07_WNV_01",227,281,251.5,246.5,261,208,218.5,431,531,234,437,519,252,220,184,221.5,218,239,212,220.5,233.5,215,214,228,197,217,218,213,249,221,185,199,207.5,203.5,209,368,208,202,222,213
"08_WNV_02",230,270,266,246,263,235,217,346,529,234,430,506,222,226,201,223,223.5,218,217,234,239.5,217,217,224,208,219,234,223,252,213.5,188,188,209.5,203,210.5,374,209,230,225,215
"09_WNV_03",222,278,256.5,244,246,242,217,433.5,532,227,472,510,219,211,198,221.5,215,219,213,209.5,204.5,210.5,203,214,188,215,225.5,217,261,208,175,201,207,200,210,385.5,203,176.5,234,218
"10_WNV_04",223,260,246.5,251,255,226,214,436,540,228,462,497.5,236,234.5,174,221,207,225,209,220.5,226,212,210,217,195.5,212,236.5,215,261,221.5,176,194.5,209,195.5,203,354,206,196,227,203
"11_WNV_05",222,287,248,246,257,226,214.5,333.5,532.5,228,460,521,233,217,182.5,220,210.5,236,214,219.5,237,216,213,217.5,204,214,225,219,254,218,184,189,210.5,195,206,378,214,210,215,203
"12_WNV_06",222,224,256,246,260,218,208,422,526,228,460,530,235,227,185.5,219,205.5,242,206,228,235,222,210,218,194,210,220,219,267,227,184,199,205,195.5,198,355,218,176.5,223,211
