"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",419,629.5,675,580,538,466.5,521,439.5,495,442,442,486,428.5,415.5,262,410.5,390,382,391,412,439,409.5,376.5,575.5,366,383,414.5,396.5,482,379,270,387,417,382,364.5,492,370,385,506,400.5
"02_Mock_02",429,592.5,676,564,568,453,561,400,508.5,450,476.5,452.5,450,449,244,415,408,397,400,429,518,428.5,410,571,385,400.5,422,419,548.5,419,292,398.5,429,400,405.5,507.5,405,188.5,515.5,399.5
"03_Mock_03",446,602,708.5,665,584,472,554,455.5,503,457,442.5,467,440.5,452,337,435,441.5,434,427,484.5,516.5,480,416,585,406,432.5,430,417,507,504,339,420,489.5,414,420,538,493,425,533.5,387
"04_Mock_04",430,511.5,697,609,545,432,527,437,499,442,419,452,448,417,242,411,416.5,397,390,428,494,421,409.5,501.5,367,387,422.5,410,496,408,297,418.5,434,388.5,409,500,423,175.5,513,423
"05_Mock_05",434,644.5,698.5,550,565,449,573,449,541.5,458,476,478,442,428,310,420.5,432,480,414,445,519,467,418,580.5,367,403,440,406,526,444,303,412,443,403,391,517,462,250.5,563,408
"06_Mock_06",423,615,679,626,555,447,528.5,432.5,504,449.5,440.5,456,424.5,418,281,426,410.5,404.5,391,428.5,480,434,384,671.5,383,394.5,390,404,517,431.5,288,405.5,447,391,395.5,529.5,436,213,694,448
"07_WNV_01",435,699,740,641,639,445,670,499,495,495,442,500,649.5,609,280,430,533,425,411.5,623,690.5,537,628.5,681,363,470,630,472,559.5,500,298,469,482.5,445,414,587,546,417,731,531
"08_WNV_02",438,704,748,622,624,480,677,446.5,547,461,458,484,503,656,299,426,559.5,497,420,614,638.5,481,539,673,380,456,587,451,546,516.5,297,459,494,407,412.5,600,547,473.5,686,504
"09_WNV_03",423,715,754.5,637,625,452,671,558,506,532.5,471,471,598,631,272,429,575,362,421,666.5,690.5,584.5,595,687,379.5,467,641.5,460,568,539,287,489.5,500.5,440,414,636.5,579,290.5,747,596
"10_WNV_04",431,717,737,630,622,464,657,506.5,542,466.5,472,491.5,616,675,264,425,606,532,403,656,682,527,602,695,366,467,642,469,559,556.5,294,477.5,471,443.5,430,616,572,472,709,575
"11_WNV_05",433,700,752,644.5,636,550,672,514.5,543,468.5,434,509,536.5,640,275.5,429,542.5,541,424,629.5,703.5,487,618,671,385,460,655,454,547,551,307,456.5,452.5,422,399,616,582,480,738,538.5
"12_WNV_06",440.5,699,739,635,642,461,673,517,548,470,460,529,680,689,302,442,569,502,413,669.5,695.5,496.5,598,686,392,475,620,457,592,578,324,505,510,440,435.5,638,607,313,746,606
