"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",308,386,265.5,296,276,364,262,262.5,244.5,260,251.5,249,267,468,384,298,269,276,302,381,476,458,273.5,316.5,263,328.5,355,299,246,248,319,327,347,297,264,274,271,473.5,382.5,312
"02_Mock_02",305,412,270,268,277,318,291,217.5,270,256,229,252.5,253.5,462,385.5,269,279,281,299,323,492,464.5,277.5,301,281,329.5,302,282,273,274,328,331,335.5,315,275,282,259,547.5,524.5,301.5
"03_Mock_03",304,323.5,258.5,269,258,320,250,247.5,260,244,230,248,251,469,370.5,277,247.5,286,302,373,474,486,276.5,298,283,317.5,363,269.5,237.5,247,317,318,323,300,272,275,256,532,505.5,295
"04_Mock_04",303,395.5,275,270.5,274,355,291,215,305,255,260,312,255,467.5,425,281,247,311,304,367.5,438,420,292,294,268.5,342,403,290,252,265,322,331,325,311.5,285,275,261.5,506,522,283
"05_Mock_05",310,423,258.5,250.5,264,365,272,196.5,253,251,222,227,264,464,413,269.5,229,298,305,323,488,414,284.5,328,281,330,381,284,236,249,328,343,340,306,280.5,255.5,269,559,492.5,274
"06_Mock_06",306,456.5,281,273,280,385,276.5,229,290,255.5,249.5,288,288.5,446.5,412,286,258.5,273,312,362.5,491,461,260,331,297,342.5,349,275.5,302,244.5,317,334.5,328,317,294.5,287,268,527,461,308
"07_WNV_01",352,502,281,297.5,277,427,299.5,350,291,268.5,253,289,312,703,375,293,253,304,417,669.5,537,535,343,282,314,447,443,400,279.5,247,380,450,470.5,380,297,291,284,602,608,344
"08_WNV_02",332,524,280.5,295,284,404,279,258,291,264,294,317,299,636,379,283,251.5,304,376,626,573,532,310,309,311,361.5,433,325,246,250,358,383,388,329,290.5,311,282,573,554,297
"09_WNV_03",334,500,280.5,312,290,310,278,429,328,283.5,246,296,339,681,408.5,309.5,261,291,416,660.5,590.5,499.5,363,319,315.5,463,433,364,293,269,382,465,479,393,312,321,308,607.5,626,355
"10_WNV_04",339,478,268,302.5,290,376,306,262,335,272.5,247,304.5,317,631.5,436,311,285.5,299,396,633,593,537,369,307,308,411,422.5,374.5,288,282.5,381,442.5,430,363,282,320,310.5,589,584,339
"11_WNV_05",338,519,290.5,292,287,413,287.5,408,305.5,261,234,299,281.5,641,386,318,283,334,407,663.5,551,551,312,298,325,395,444.5,356,286,261.5,377,407,404,345,297,322,287,592,575,323
"12_WNV_06",356,515.5,287,299,290,390,295,327,314,273,260,302,275,669,428.5,337,232,267,432,704,520.5,550.5,358,325,355,415,441.5,391,268,278,388,440,440.5,372.5,323,310,300,584,595,333
