NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
17.4322,-58.7811,3967.22,-496.276,8883.21,-19.679,-26.7128,185.303,25.978
1248.67,9552.15,1431.6,1176.69,3735.47,-7649.84,-3384.73,245307,1522.88
-56.2323,-7.73623,5804.44,18.5887,14657.1,25.5474,-171.852,352.511,196.029
50.0337,117.675,6790.67,-901.022,18472.7,410.004,336.071,891.926,921.337
130.086,308.473,5455.62,-672.364,18044.1,-85.8587,381.691,856.687,968.403
171.77,202.461,11180.5,-1647.78,30336.7,817.33,482.675,1337.58,2204.29
164.011,108.945,5260.65,-515.909,12087.4,156.369,226.973,126.111,504.464
107.222,98.2004,3059.88,74.8137,10179.8,-93.3637,51.1511,251.884,436.167
-33.9861,90.9286,4971.92,-144.318,5095.38,150.562,95.0148,114.896,235.22
-79.7815,21.1369,3968.86,-585.907,13355.7,-112.177,171.179,-35.9347,553.113
139.765,86.3927,4173.51,104.294,9678.82,375.552,120.68,770.594,599.543
113.715,627.821,8816.02,-616.027,18417.2,1198.99,102.624,1308.25,2608.68
277.585,1468.3,2947.33,-2259.83,851.556,6445.57,856.318,849.227,3742.69
425.612,-17.336,5851.55,-657.58,9807.26,832.902,86.0851,882.916,-354.193
29.5226,-24.6326,1971.35,-324.25,9838,15.8535,-45.7496,-57.6873,190.519
55.3273,152.842,3994.93,-915.325,9589.04,571.58,217.157,509.752,1236.18
-27.9655,116.384,3150.23,-850.837,9231.92,658.274,238.585,797.121,282.58
-8.67798,116.225,3454.52,484.171,9250.17,387.45,-242.509,358.767,974.416
478.77,562.546,4590.09,547.29,2052.53,1453.97,269.402,699.71,1461.62
-162.273,-63.0366,4214.79,-195.084,11722.7,-198.498,5.67238,-71.8089,326.867
-105.221,2763.6,79557.7,-1950.28,200.645,537.997,1543.45,17826.5,602.034
24.1228,158.834,4672.87,-932.128,8775.34,-352.326,350.521,470.113,1281.51
126.502,312.614,57092.7,13687.4,44499.9,394.847,127.481,11910.8,364.825
129.334,175.449,4985.49,-11.6188,11519.7,200.157,357.303,898.307,1871.52
58.6923,15.8879,7500.19,295.97,6482.45,59.0837,-85.9145,905.952,-83.1326
18.055,195.914,4990.75,36.3139,14076.4,195.364,18.1028,187.626,408.827
-160.018,186.619,7671.1,470.088,950.594,460.055,-79.2253,435.976,-320.066
-134.983,162.608,5954.89,-495.519,6932.65,-50.5865,230.399,65.5733,160.58
-48.3226,72.2789,2870.03,179.761,8279.26,323.264,-43.8866,-421.984,131.751
95.3748,94.5635,6526.79,-718.108,15072.4,371.272,175.487,1012.3,948.372
86.3121,61.0792,4724.96,-44.4405,14849.1,182.301,33.2018,269.605,787.065
339.905,-57.9296,4290.16,-106.88,11306.3,-252.375,-174.405,125.965,325.934
-26.2644,261.173,18137.6,-1159.96,33450.3,280.24,34.7318,1299.94,1316.63
133.225,55.6385,7834.71,-468.715,19635.9,819.6,-273.906,879.977,783.594
-48.3622,-15.7977,4454.97,-379.608,12664.1,118.822,30.8697,39.6138,-62.4356
3.16854,69.9635,3646.85,-483.73,9705.18,81.1709,390.235,534.99,231.711
-42.2139,131.944,6273.51,-819.167,15036.8,254.744,135.041,-226.508,857.713
118.545,112.925,1264.79,-104.43,8826.16,-3.0982,41.5552,339.83,146.224
305.729,62.6536,16145.4,7361.2,8388.13,-25.6662,70.6224,17117.9,260.963
85.7541,59.2154,6208.81,112.282,12001.4,305.189,-55.2814,779.511,929.825
175.227,63.9335,3943.05,-338.436,8463.64,512.269,-132.406,778.68,1005.66
-38.7422,186.108,4654.25,-709.95,12103.7,109.782,370.96,899.959,583.846
-153.835,2867.62,2422.02,-830.868,4085.49,-1590.31,366.85,100163,1034.68
60.6872,-47.4149,5024.54,-738.61,9145.22,3.38316,492.05,-204.097,153.843
77.2703,127.167,8208.4,-388.683,19166.6,566.571,-151.943,419.849,1275.56
89.1052,60.328,1265.06,314.941,162.91,-96.535,-135.514,37.0769,-73.9077
58.6339,89.8246,6077.71,271.473,13440.2,337.172,-360.15,473.516,41.1945
161.958,170.272,5947.56,-1172.71,16572.2,274.863,408.903,1545.28,1043.06
