NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
659.871,-22.3809,36974.2,-1917.67,20121.3,485.935,13.3555,9962.26,-125.662
578.189,-175.896,62633.5,-2814.4,53114.2,451.51,1144.8,8968.3,-438.67
9.0808,132.098,22373.2,-1843,7645.34,48.61,301.851,20062.6,-369.139
268.825,118.963,21786.1,122.132,21750.5,116.382,-726.833,20656.4,1066.36
65.6453,-54.5007,38227.9,-1529.49,21985.3,135.124,-419.578,7760.58,1501.18
-294.638,3527.23,74098.6,-2323.33,831.971,-285.677,2353.06,10865,-397.374
566.389,218.549,81865.6,-1332.02,50464.5,-62.2362,-1224.49,17779.2,544.621
70.1114,-130.593,33475.8,-1867.78,16049.4,317.799,4.91193,7649.5,-28.0004
-52.9059,200.481,55305.4,-3250.83,27843.2,-162.549,-126.025,47942.8,949.95
2738.75,-47.1958,60626.6,-886.322,6169.58,-363.097,-135.558,530.237,-282.443
403.415,255.054,50178.6,-2223.15,19840.4,-496.143,426.42,35191.9,2266.87
244.636,-31.2393,79264.3,-2092.12,46490.8,-219.816,213.179,38948.4,2655.52
-199.812,5595.05,112126,-2839.46,7408.89,-318.807,-1075.57,14385.8,13238.9
-32.6603,-193.89,67843.6,-1489.7,46419.5,250.584,-609.688,19285.7,522.687
112.233,291.736,9909.73,-1969.61,17935.9,486.389,622.627,1044.1,2151.13
132.831,-3.54726,11746.4,-809.436,21409.5,-262.287,115.169,518.266,671.554
2451.87,-107.566,26405.4,-687.653,2036.5,2005.88,-196.092,-127.94,21.3463
2892.71,155.897,48126.8,-2760.69,2960.96,2722.4,-399.439,1279.61,30.326
782.014,976.44,67424.9,-3438.18,52589.9,-101.11,222.965,16871.4,1479.14
692.951,483.465,62141.2,-1625.72,28690.9,323.65,-520.462,27719.4,1032.65
69.4575,45.2291,29347.9,-2366.49,11456.5,342.512,-341.54,4626.21,-2.70112
818.432,-149.641,30110,-676.61,2250.56,1119.26,-272.466,10.7769,221.706
3407.11,413.925,70827.3,-884.059,23225.4,382.203,-674.104,47914.1,1046.73
597.617,720.179,63716.2,3228.83,24498.9,-116.545,-1380.55,13769.5,2017.53
3510.15,12.4533,98400.7,-4090.39,6745.55,645.203,-15.8098,564.789,275.087
2174.04,185.945,58514.1,-4025.12,7952.89,7483.48,264.176,540.723,-88.1393
-23.2233,169.207,12644.4,1515.69,29721.4,-413.239,871.015,24993.7,1698.55
287.498,331.635,60013.6,-1609.21,42253.5,-135.03,-290.675,35929,2387.89
12.7315,26.0823,24446.7,513.179,19350.2,-461.868,38.3938,12526.2,1148.31
839.68,160.207,94179.3,-3359.32,27937.9,97.112,-239.496,45372.7,1013.29
470.142,217.781,55122,-265.925,35215.3,-825.377,-1273.55,24787.5,1043.73
82.3936,148.971,63182.7,-2352.22,41480.8,561.73,173.848,15947,-293.603
1337.11,166.522,98661.2,-5721.82,58086.9,534.506,722.717,46562.5,-471.762
18.13,51.9897,1594.67,54.78,1107.25,55.7743,-85.2753,106.872,-89.0372
333.789,153.049,67529.6,-2948.14,17899.8,-59.4448,-93.3395,23879.6,1350.71
-145.012,129.089,26970.7,-1025.66,14629.5,370.051,-342.069,6460.95,606.012
130.21,-343.667,45222,-968.786,29588.2,180.969,-201.853,10468.3,-161.831
63.2046,9.57207,55219.4,-2902.49,39137.6,217.919,31.2126,4988.17,371.302
1106.11,-204.717,38407.7,-2854.04,5602.37,2373.83,120.158,293.178,-129.021
65.3489,-14.7204,43920.5,-1585.53,32674.6,-238.828,-34.6304,31190.8,886.333
-0.688019,-274.737,19613,-1315.85,388.022,5.79494,316.688,6405.15,72.8996
607.987,298.641,69919.2,-2509.68,40342.2,353.381,-294.42,11278.9,-795.643
118.858,330.142,42873.3,1153.87,23655.2,188.919,-229.874,38990.5,2261.68
425.256,-66.1569,66444.5,-1034.38,22123.1,-24.0941,-479.776,20587.8,72.9146
605.615,325.303,34074.7,-1155.63,36774.6,-160.941,28.7764,15897,2273.1
94.2583,-235.49,6026.93,-398.804,11364.5,76.0673,43.1883,451.404,143.519
4555.72,-169.521,46523.6,-323.095,1559.37,6058.12,-409.317,91.8188,414.014
-18.9417,12.5613,106780,-2808.01,58091.9,622.238,-258.17,11439.3,528.655
5920.04,-266.241,65721.9,-1244.51,5163.6,8229.58,-978.523,1887.14,-272.471
-120.527,-205.428,13271.6,-1981.81,50966.2,-241.886,901.481,2627.88,2886.66
1376.28,-106.219,93907.5,-4333.28,65708.5,1491.89,4.33744,14157.1,19.331
45.5697,99.2862,47317.1,-2519.61,1717.16,207.511,-290.918,4677.41,380.879
622.085,-105.657,18029,-745.442,9603.42,-619.374,-6.19397,4484.21,519.129
-16.2807,11.7992,7094.74,330.953,2074.1,83.6832,-70.3788,948.244,-151.292
3723.32,95.749,113784,-4406.22,10500.5,9905.8,-278.036,4338.62,600.194
444.515,380.064,101656,-3808.85,43235.5,1237.53,51.6153,45543.5,555.887
6802.11,-229.827,58296.4,-2543.23,15809.5,598.01,225.163,1198.69,0.904867
247.83,-101.748,48247,-1970.22,29116.9,-158.263,-73.1374,14327.8,350.25
1575.2,137.033,60775,-3838.11,58176.6,444.106,-461.404,5460.53,429.459
-21.6389,36.3018,18431.9,-1467.01,18086.8,3.79126,373.921,6279.95,511.653
271.731,415.575,67280.8,-1647.93,34186.8,33.2554,-249.263,16189.5,1094.77
319.119,161.741,11060.7,-1066.66,19443.2,-735.628,24.6663,819.959,667.801
-59.6638,-126.428,67383,-2486.67,46712.6,215.418,681.475,17994.5,966.304
1565.53,-93.078,47094.8,-2267.66,2319.42,2393.99,162.715,1.76216,-1232.52
2785.63,33.7653,83790.3,-3024.77,3998.18,7161.59,-723.361,1007.02,522.235
742.76,301.085,68971.8,-630.918,47076.3,361.734,-529.4,17143.5,-573.818
897.763,657.729,120260,-7371.19,65995.8,245.257,-517.941,21955.4,1522.3
487.922,1.44696,81715.2,-3018.97,47676.6,565.114,-321.492,34620.3,939.27
119.924,200.718,6858.81,20.0334,1407.68,153.457,-49.4327,8415.92,-211.779
211.694,-248.381,9208.63,43.3087,29143,417.932,-339.659,1977.1,1128.56
85.8115,4.89263,7577.66,-632.007,5881.6,-41.7496,109.689,1965.21,455.767
-173.044,-23.2039,9040.72,-1455.09,3328.22,5.51557,40.0088,12919.3,171.685
-174.906,-47.2164,6134.53,407.961,5180.45,-29.1486,94.4121,3330.07,303.757
658.045,324.208,90660.5,-286.705,15547.5,-40.3552,-469.644,28070.3,953.41
1610.28,216.739,122968,15494.6,124888,904.355,-676.432,26608.9,1726.84
225.596,179.999,42583.7,-744.051,43390.6,717.307,-1032.32,13040.8,467.421
2044.91,-315.235,41591.6,150.077,2408.71,4757.54,-460.645,277.492,-131.682
193.538,242.765,64590.9,-2572.36,12297.4,-1143.12,469.882,21850.8,195.998
3751.58,-423.489,77792.4,-6486.78,22029.3,3911.87,633.284,2472.84,-673.613
283.379,92.7011,55621.7,-1294.59,30974.6,-282.902,727.334,14747.2,334.666
3794.02,125.139,46721.9,-1370.89,4112.7,1102.84,-829.478,148.404,12.0802
532.162,565.001,69649.9,-865.407,60589.5,-15.6899,-491.444,43003.6,1337.94
886.293,366.7,74979.2,1114.29,43115.5,-308.083,23.7289,50114.3,2233.26
