Sample,Group,Batch,Cells per sample -- CD4 T cells,Cells per sample -- CD8 T cells,Cells per sample -- Infil Macrophages,Cells per sample -- Microglia,Cells per sample -- Neutrophils,Cells per sample -- NK cells,Percent Ly6C_asinh positive -- CD4 T cells,Percent Ly6C_asinh positive -- CD8 T cells,Percent Ly6C_asinh positive -- Infil Macrophages,Percent Ly6C_asinh positive -- Microglia,Percent Ly6C_asinh positive -- Neutrophils,Percent Ly6C_asinh positive -- NK cells
01_Mock_01,Mock,A,734.628157391567,2696.99104357452,2143.50407567676,88406.9638723961,2858.00543423568,3159.90741672537,23.2876712328767,76.865671641791,88.2629107981221,2.40182128628344,98.5915492957747,4.45859872611465
02_Mock_02,Mock,B,506.00064871878,1037.95004865391,2536.49043139799,88861.4985403827,2821.92669477781,4236.13363606876,26.9230769230769,46.25,95.6521739130435,2.08059570740254,97.7011494252874,1.37825421133231
03_Mock_03,Mock,B,540.502597220272,1003.79053769479,2470.8690158641,88712.6210866208,3186.85946932472,4085.35729327531,25.974025974026,62.2377622377622,93.75,2.74568760879886,98.8986784140969,2.40549828178694
04_Mock_04,Mock,A,252.288195259329,404.834545881249,1965.50105609012,92419.6198075569,2305.79676132363,2651.95963388876,11.6279069767442,59.4202898550725,95.2238805970149,1.36490604367699,97.7099236641221,0.884955752212389
05_Mock_05,Mock,A,201.502106612933,549.551199853453,2198.20479941381,90364.5356292361,3352.26231910606,3333.94394577762,36.3636363636364,80,90.8333333333333,1.98662071761606,99.4535519125683,1.64835164835165
06_Mock_06,Mock,B,531.588632181558,1308.52586383153,4722.96053976692,78736.4547127377,7810.26374974443,6890.20650173789,34.6153846153846,68.75,96.5367965367965,3.81719034017138,99.2146596858639,0.890207715133531
07_WNV_01,WNV,A,54094.7075208914,50529.2479108635,605738.161559889,131197.771587744,23899.721448468,134540.389972145,75.3861997940268,84.3439911797133,99.8436494067875,26.7515923566879,82.983682983683,14.6169772256729
08_WNV_02,WNV,B,20636.9740651759,23901.9281710097,674243.824308508,135218.382307645,49775.1493870511,96223.7417606111,57.910447761194,68.298969072165,99.7167656464139,26.378132118451,71.5346534653465,6.65813060179257
09_WNV_03,WNV,A,26314.1446340396,34814.6759172448,678792.424526533,128070.504406525,39439.9649978124,92568.2855178449,48.6935866983373,58.7073608617594,99.4290976058932,25.2806246949732,53.2488114104596,4.38892640108035
10_WNV_04,WNV + Rx,A,26910.2796100636,32397.4082073434,652559.687116923,119899.597221412,81197.8284980445,87035.1993462145,60.3036876355748,65.045045045045,99.7316396815458,26.9230769230769,77.7138749101366,9.12139503688799
11_WNV_05,WNV + Rx,B,31520.7836242622,36292.8544518398,644041.190506091,124513.374356398,17330.1519527816,146301.645108627,62.9482071713147,74.2214532871972,99.6977673783757,19.7680282400403,69.5652173913043,6.56652360515022
12_WNV_06,WNV + Rx,A,34251.3183827838,37500.6658498908,645714.590102807,144516.060299366,21040.8565492995,116976.508815853,43.3903576982893,51.1363636363636,99.2492987955783,23.958717287136,46.8354430379747,5.2367941712204
