"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"01_Mock_01",156,484.5,130,312,504.5,357.5,0,272.5,540,290.5,409.5,0,151,0,0,11.5,0,0,79,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,0
"02_Mock_02",216,309,272,433,542.5,2,15,429,430.5,241.5,414,10,148.5,0,0,37,0,0,56,0,0,0,0,0,10,0,0,0,0,126.5,0,0,0,0,0,0,0,0,0,0
"03_Mock_03",234,501,438,596,553,218,0,474.5,478,266.5,345.5,0,140.5,0,0,0,0,50,153,0,0,0,0,288,2,0,0,0,142,416,0,0,0,0,0,18,100,0,0,0
"04_Mock_04",187,0,456,430,498,9,0,141,386,247,382,8,51,0,0,0,1.5,195.5,53,0,0,0,0,52.5,8,0,0,0,159,85,0,0,0,0,0,1.5,88.5,0,0,0
"05_Mock_05",206,25,433,311,541,141,0,293.5,452.5,261,436,99,213,0,0,4.5,0,0,89,0,0,0,0,0,0,0,0,0,162,151,0,0,0,0,0,45.5,16,0,0,0
"06_Mock_06",210,0,359,429,519,114.5,0,162,292,273.5,336.5,0,101,0,0,18,0,0,98,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
"07_WNV_01",104,0,493,454.5,541,0,0,363,165,339.5,240,5,216.5,0,0,77,47.5,0,0,0,0,0,0,0,0,0,0,0,162,119,0,0,0,0,0,0,0,0,0,0
"08_WNV_02",171,3,461.5,436,534,88,0,350,231,266,302.5,0,88,0,0,42,56.5,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09_WNV_03",224,0,379,451,502,388,29,107.5,127,314,76,0,0,0,0,172.5,31,0,0,0,0,0,0,0,0,0,0,0,72,114,0,0,0,0,0,0,0,0,0,0
"10_WNV_04",170,58,388,458.5,513,0,0,27.5,132,281.5,225,0,207,0,0,16,8.5,0,0,0,0,0,0,0,0,0,0,0,45,87,0,0,0,0,0,0,0,0,0,0
"11_WNV_05",205,0,451,445,526,181,0,17,93.5,220,70,0,225.5,0,0,0,13.5,15,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0
"12_WNV_06",145,0,459,444,550,33,30,433,313.5,298.5,48,20,100,0,0,18,1,0,0,0,0,0,0,5,0,0,0,0,275,151,0,0,0,0,0,0,0,0,0,0
