"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,303,551,116,291,545,145,234,248,212,216,356,466,231,231,302,604,267,660,342,348,222,304,228,292,276,325,574,291,440.5,222,232
"2",2,467,604,174.5,350.5,499.5,0,255.5,280,209,310,515.5,312,234,228.5,378.5,703.5,504.5,586.5,420.5,351,224,811,232.5,291,593.5,424,689.5,508,699,199,276.5
"3",3,293,542,121,291,361,459,188,313,237,299,287,300,231,231,339,675,454,266,397,324,256,787,248,336,413,601,770,402,739,219,353
"4",4,267,532,74,258,393,444,218,250,238,274,299,302,231,231,299,641,405,222,333,337,246,813,225,259,412,316,600,392,635,219,220
"5",5,279,538,66,242,352,550,218,264,259,282,290,307,232,231,268,663,386,214,309,339,260,830,221,238,436,307,281,458,642,219,209
"6",6,472,598.5,173,326,566,33,230,289.5,205.5,222.5,390,487,233,227.5,314.5,650.5,363,669,392.5,352,218,667,227,313,337,380,603.5,351,461,213,271.5
"7",7,292,545,125,296,477,30,212,366,196,241,295,325,232,232,364,650,445,267,372,347,208,748,209,309,308,412,711,309,673,218,376
"8",8,324,566,80,265,464,433,230,239,214,261,327,307,233,231,323,742,358,553,326,336,422,296,232,297,279,332,536,294,517,218,226
"9",9,354,573,111,311,433.5,313.5,228.5,270.5,210,301.5,314,311,230,231.5,356,753,455.5,316,382,342.5,526,679.5,222,292,303,346,322,328,548,215.5,252.5
"10",10,273,535,60,246,450.5,298.5,223,260,224,231,273,302,231,231,299.5,528,384,232,286,337,228,717.5,219,251,295,308,261,291,470,223,229
"11",11,347,571,99,281,496,48,230,262,199,263,260,305,230,230,306,740,417,504,342,341,460,508,212,298,285,327,299,292,460,222,251
"12",12,316,558,101,302,471,20,229,283,203,362,302,310,231,232,354,767,465,287,366,339,530,404,242,302,301,330,328,309,529,220,213
"13",13,212,474,106,651,436,100,227,291,231,248,275,306,230,228,307,499,380,266,330,342,235,806,224,304,349,281,328,314,680,223,226
"14",14,262,539,86,269,532,0,479,280,205,253,669,300,229,230,335,708,426,623,319,340,227,266,217,281,304,357,371,289,689,221,405
"15",15,250.5,490.5,201.5,396,695,0,225,281.5,209.5,238.5,428.5,270,229,228.5,375,473.5,301,248.5,371,377.5,185.5,487.5,242.5,314,400.5,527.5,479,497,302,233.5,426
"16",16,282,540,89,275,523,18,231,258,220,224,337,297,230,232,315,527,342,291,317,343,219,295,224,277,282,330,310,290,442,223,239
"17",17,316,559.5,147,317.5,515,1,227,536.5,202,223,232,300.5,231.5,231,345.5,583,402,285.5,346.5,341,205.5,479,234,303,294,324,300,281,569,224.5,260.5
"18",18,249,514,102,283,520,0,224,278,182,392,267,285,233,231,342,713,431,234,331,341,242,483,239,273,289,329,288,298,502,225,253
"19",19,375,578,229,534,596,0,239,210,194,199,432,305,232,231,549,583,346,667,418,386,206,330,227,358,334,384,677,325,413,224,262
"20",20,285,544.5,119.5,310,578.5,0,487.5,302,187.5,253.5,704,303,230.5,231,329.5,727.5,446,680.5,371,336.5,228,305.5,221.5,263.5,322.5,364.5,621,304,669.5,215.5,364.5
"21",21,235.5,521.5,133.5,293,518.5,0,254.5,416,193,247,520.5,305,230,230,399.5,717,547,677,390.5,348,235,323,222.5,301,614.5,379.5,548.5,340.5,695.5,220,500
"22",22,224,517.5,121,400.5,586.5,0,265.5,268,207.5,232.5,550.5,304,231,230,345.5,616.5,448.5,369.5,388.5,348,222,345,211,357.5,385.5,446.5,504.5,350.5,496.5,227.5,308.5
"23",23,319,552,199,716,537,0,283,607,198,206,358,292,229,232,391,595,441,371,421,346,210,326,233,392,345,414,363,303,598,224,237
"24",24,275,537,69,252,476,5,238,273,228,539,325,287,231,231,321,704,381,245,310,336,218,260,234,295,264,611,367,518,686,223,238
"25",25,353,571,305,716,583,0,237,190,180,197,355,302,232,231,546,543,409,524,463,427,194,316,223,399,364,404,717,304,392,227,262
"26",26,315,555,149.5,290,576,0,419,319.5,176,215.5,415,307,231,231,386.5,667,469,656,390,357,210,329.5,228,315,309,380.5,794,363.5,475,218,277.5
"27",27,313,562,166.5,613,528.5,0,249.5,519.5,191.5,216.5,441.5,330.5,231,230,417.5,653.5,531,449.5,392.5,348.5,220,364,222,337,449,373.5,579,278,620,222.5,370.5
"28",28,332,556,184,770,532,0,255,275,206,216,391,297,231,233,383,567,427,326,386,367,219,307,225,377,327,367,385,327,457,226,249
"29",29,307,545,93,274,417,275,228,279,223,449,268,305,231,231,343,766,450,269,339,337,267,268,312,292,293,333,372,373,592,221,215
"30",30,280,539,72,260,470,151,238,265,232,470,278,194,230,231,314,720,381,226,326,336,227,282,537,254,263,315,302,349,578,220,231
"31",31,699,650,437,485,680,0,258,344,181,211,388,299,232,231,528,587,352,561,461,553,184,369,222,430,483,541,728,429,324,227,331
"32",32,299,551,148,293,567,0,405,117.5,180.5,222.5,440,314,231,231,404.5,676,500,665,388,320,199,307,223.5,353.5,321.5,417.5,836,437,505,221,308
"33",33,313.5,561,159,296.5,586,0,449,95,170,220,440.5,308,232,231,414,672,482,663,394,367,205,317,230.5,329.5,309,381.5,824,241.5,510,217.5,269
"34",34,347.5,566,232.5,326,594.5,0,528.5,237,176.5,201.5,372.5,315.5,230,230,512.5,608,505,394,425,351,195.5,306.5,225,380,342,427,784,326,440,221,278
"35",35,421,596,316,660,599,0,551.5,286.5,190,199,323,324.5,232.5,231.5,526.5,564,493.5,345.5,440.5,356.5,198,301.5,219.5,420,350,420.5,738.5,342,435.5,224.5,261.5
"36",36,298,548,98,288.5,429,0,218,239,214,444.5,310,314.5,231,232,349.5,748.5,483,281,356.5,326,355,294,250.5,310.5,294.5,388,782.5,461.5,638,216.5,265
"37",37,310,550,95,278,476,0,225,220,204,455,300,232,231,232,359,737,436,268,347,347,218,316,490,289,276,352,750,414,607,219,252
"38",38,561,615.5,370.5,519,753.5,0,248.5,331,185.5,261,584,284,231,227.5,452,641,456,400,469,403.5,176.5,527,250.5,405,487.5,585.5,579,561.5,313,254,466
"39",39,308,544,154,339,622,0,412,191,143,307,595,319,232,231,424,759,573,767,451,350,223,358,228,329,589,456,872,437,746,209,446
"40",40,321,548,123,291,507,0,236,419,188,221,333,315,230,232,398,637,491,315,356,342,211,406,213,327,297,365,717,315,606,223,343
