"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,294,549,114,293,544,188,237,243,213,220,321,509,231,231,294,603,252,674,344,349,225,304,232,290,270,315,588,288,431,224,231
"2",2,533.5,619,180,331.5,445,0,252,251.5,234,306.5,469,359,231,231.5,357,710,513,647,434.5,353,262.5,822,217.5,316,577,403.5,655.5,489,673,215,294.5
"3",3,303,550,114,295,365,424,189,317,233,299,277.5,301.5,231,231,340,676,472,268,397.5,331,250,785.5,251,333,396,602,755,386,729,223,332
"4",4,272,536,75,262,392,445,218,256,235,278,297,302,231,231,296,637,404,228,332,339,246,814,228,266,392,319,614,374,632,221,224
"5",5,285,541,64,240,369,531,220,255,252,279,275,304,231,231,264,655,382,214,318,339,258,820,220,244,502,306,245,460,589,222,208
"6",6,439,595,164,332,539,91,240,240,213,236,376,520,231,231,328,640,376,674,401,357,226,671,227,324,327,343,608,316,464,222,260
"7",7,314,558,120,297,477,0,217,354,194,250,286,305,231,231,361,651,453,265,382,351,219,741,226,315,318,403,703,301,639,222,359
"8",8,305,553.5,81.5,269,477.5,293,232.5,245,214,250.5,256,297.5,232.5,232,310.5,718.5,356,514,330,338,384.5,339,227,284,274.5,319.5,505.5,284.5,474,223.5,241
"9",9,312,555,110,313,447,236,228,271,210,305,299,308,231,231,338,755,430,309,379,342,527,684,219,301,299,338,311,310,524,220,254
"10",10,262,530,62,245,448,269,226,252,227,234,257,304,231,231,298,521,394,233,291,337,230,709,222,260,316,303,244,288,456,226,234
"11",11,311,554,91,280,485,243,224,264,211,262,246,296,231,231,310,736,368,473,343,340,431,497,221,291,277,314,268,285,448,222,250
"12",12,282,541,98,295,468,0,231,270,204,354,284,302,231,231,349,759,454,273,362,339,510,374,236,304,296,332,314,303,486,220,236
"13",13,266,536,96,588,463,144,232,263,225,228,269,308,232,231,323,482,409,259,332,339,231,671,220,294,300,320,256,303,452,226,239
"14",14,276,538.5,96,261,527,0,568,303,198,244,493,296,230,231,312.5,698,416,673,348,343,227,324.5,228,274,295,367,261,288,455,223,337.5
"15",15,233,498,194,390,688,0,231,306,211,242,400,273,231,231,361,470,301,248,367,367,186,448,240,309,396,520,458,484,283,242,400
"16",16,282.5,541,92,275,527.5,11,234,254,218,222,291.5,293,231,232,315,525,347,292,318,343,221,295,227,285,282,321,276,285,425,227,244
"17",17,276.5,540.5,132.5,326,490.5,0,236,513,207,222,260.5,304.5,231,231,348,574.5,426,284,354,341,216,499.5,222,323.5,290,325,299,283,457.5,226,266
"18",18,298,549,98,284,520,0,232,262,198,364,296,300,233,231,352,714,419,257,344,341,232,501,239,282,282,307,280,296,434,225,250
"19",19,362,574,193,579,571,14,233,221.5,198,208,339,310,231,231,495,532,300,692,409.5,380,214,327,229,337,315,357,682,316,408,226,252
"20",20,293.5,548.5,110,277,537,0,494,309.5,196,251,490,300.5,232,231,331,705,465.5,681,360.5,347,227,325,226,291.5,328.5,351,577.5,295,511,224,311.5
"21",21,293.5,545.5,128,287.5,550.5,0,320.5,357.5,198,255.5,501,310.5,232,232,375,720,556,710.5,427.5,351,232,338,228,284,640,382,345.5,322.5,541.5,223,502
"22",22,298,545,137,404,599,0,256,267,205,232,513,307,231,231,358,616,453,361,419,352,216,354,227,356,423,452,471,348,482,227,313
"23",23,302,551,180,717,521,0,290,522,203,215,295,309,231,232,365,570,443,339,407,348,213,316,224,394,326,367,300,296,458,227,252
"24",24,287,543,69,255,468,0,238,264,231,535,309,295,231,231,320,701,393,248,311,336,226,279,225,293,263,621,323,528,640,225,245
"25",25,355,569,281,716,571,0,240,196,193,203,302,297,231.5,232,439,513.5,360.5,483,451,439,198,313,225.5,397,344.5,379,699.5,324,374,226,263
"26",26,316,559,135,281,582,0,433.5,317,176,214,389,305,231,231,362,651,466,634,382,364,214,323,227,311,296,372,798,342,437,224,279
