PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
190.103,3610.62,11.9323,195.98,990.756,8724.6,247.878,1720.11
219.233,6560.08,-801.82,348.804,1348.76,5852,347.935,3877.36
-10.5282,6043.8,11792.8,1247.34,548.419,9774,120.373,3534.52
-14.5333,-20.8676,-893.651,159.307,1915.08,883.271,6846.24,220.015
54.071,1347.92,1462.25,436.421,880.494,1678.35,1252.24,1227.35
-242.624,10760.1,-555.955,867.485,4345.66,2100.23,-106.437,13346.8
-39.3592,1298.58,-509.683,4951.14,3936.83,568.301,17376.9,259.39
6.13,5723.99,16661.5,4373.79,356.128,37708.1,344.688,3502.5
-158.707,6750.97,71.9766,2024.99,8015.98,8780.2,245.356,24887
-117.614,6342.58,4543.39,2351.49,-187.357,19053.1,-110.541,5157.18
-2.56246,1278.11,-142.137,970.043,2725.65,2192.62,67.2116,2545.13
-13.074,4451.34,13620.5,1900.95,648.748,9486.62,291.568,2482.28
-44.228,399.321,-1400.76,939.056,5857.68,547.014,12542.6,-290.884
109.859,2424.19,106.925,458.342,3026.4,-41.2373,9943.59,305.688
171.64,3415.68,-623.556,586.602,1082.83,630.527,136.814,716.192
-79.5421,225.928,-627.272,493.588,1038.6,683.618,2702.22,300.251
-16.6385,4212.02,4700.93,1513.71,132.042,7164.15,175.611,4261.02
631.939,6599.68,846.741,1122.92,899.607,8217.58,342.505,2688.16
99.0673,6485.91,7955.68,1084.8,-239.963,9031.99,194.871,1492.09
-45.9566,994.764,-979.819,3650.36,3589.29,267.849,16136.8,4348.57
40.8023,8593.32,-971.258,1090.16,5597.62,6109.48,34.4929,34098.3
27.311,6538.63,9505.37,1717.41,-846.987,7940.97,65.1637,5286.91
261.439,2760.96,-608.683,4354.73,12807.4,13649.2,146.515,2334.66
-114.027,2075.51,-50.9463,-169.454,2902.05,15036.1,559.978,7524.62
66.2992,213.41,-503.945,1041.65,3452.41,380.829,10756.5,376.505
244.642,5503.33,17738.7,1209.12,478.595,9537.7,506.855,2594.74
-40.9679,306.496,192.361,1316.23,4788.44,14.9052,8493.33,-40.9796
84.835,914.861,-1513.43,3518.43,2031.92,-404.17,22120.2,435.15
-39.7923,-63.3703,-644.299,1731.59,2964.69,116.349,14890.3,105.894
-24.8162,7433.64,17627.3,1732.2,-643.183,5876.48,-31.8492,2822.02
94.4855,85.7439,686.906,1870.88,13502,1152.95,885.458,6518.58
-213.357,7666.87,-1508.21,1659.18,6042.96,6940.04,79.1739,32513.5
-74.0429,4805.89,2731.56,1464.42,661.875,9750.96,890.059,1997.87
-129.816,145.574,-1047.63,3536.5,3172.78,71.0308,22744.2,1270.59
-62.1891,4643.73,2152.09,936.577,575.616,11290.3,44.2258,2621.54
-161.668,597.972,549.068,915.349,3454.64,561.565,8230.35,360.969
3754.1,156.38,-1389.1,7446.86,941.088,1209.23,58.2587,159.035
-27.6532,3671.52,5204.44,856.428,1059.39,6929.45,90.4989,5249.71
-7.66137,245.507,-30.9161,3678.38,9399.49,1338.84,3188.91,27886.9
22.7577,4315.54,-492.654,2035.59,5265.46,10863.6,175.426,13901.6
223.1,2364.81,-311.991,1177.18,1709.81,11244.6,-80.5718,6361.27
-158.236,4838.27,-472.93,825.596,299.962,14395.1,58.8278,7183.82
45.1993,982.708,-1338.57,219.733,3106.63,186.755,10619.5,-301.574
-31.6545,1556.75,-1036.18,2217.11,17912.9,4809.66,106.31,12148.4
387.432,5050.63,-662.671,2057.55,8295.03,12077.2,77.054,39619.3
-236.711,6865.79,6534.63,1921.94,-318.553,10114,-119.576,2953.98
62.183,5517.76,8732.12,1384.99,311.24,11456,295.149,2038.78
80.522,4180.59,1169.89,613.885,189.721,9602.94,150.475,1837.52
10.8623,1918.62,-335.84,718.579,3208.86,4622.43,117.029,12615.5
147.658,4443.81,5142.7,1108.46,204.423,10159.7,-45.5588,2002.36
-230.343,3671.77,-865.103,764.134,2895.77,1668.34,76.1371,-17.1714
383.474,4821.47,-661.127,706.475,1667.87,11006.8,282.172,8523.82
-88.1185,5349.18,10397.3,1339.53,203.987,7022.66,-242.838,3135.05
-12.3395,11402,-226.658,1260.59,5506.35,1710.75,168.681,9320.05
210.554,1544.85,-339.693,591.204,770.277,7968.75,250.921,6438.89
1.25415,649.907,1092.32,358.325,1596.28,397.421,8194.91,250.925
-178.118,681.797,264.685,968.864,-811.024,131.569,819.876,755.523
18.8992,3929.85,6488,1377.75,228.783,10863.3,-28.2144,4533.68
27.6007,365.914,452.303,2710.1,2083.91,352.238,21323.2,328.975
113.21,2908.52,-1527.24,1975.45,5624.44,1627.98,-138.344,128.129
4073.76,265,-4661.23,3319.44,1577.17,540.94,-124.367,193.787
-108.512,115.075,-264.346,274.335,1761.95,139.686,7302.46,304.413
-18.0446,4541.78,9645.48,1319.61,-457.494,9509.04,-79.601,2028.97
-210.239,5513.51,-663.109,222.553,1866.65,16966.1,251.495,10314.6
4283.89,357.508,3584.42,6488.6,3797.9,1053.01,-31.4615,513.127
-208.174,5288.5,1717.03,1121.07,111.55,36977.4,463.872,3779.07
-18.2736,141.946,-357.886,186.659,2447.82,1085.36,7774.09,384.737
-130.122,2906.53,7984.2,489.72,375.6,8300.95,67.7186,2446.37
111.077,420.141,-646.277,11.7757,4481.19,2083.79,6815.36,925.564
48.2792,5854.71,6828.73,1639.74,28.452,12331.4,615.536,4147.02
77.3384,3808.27,9364.99,1132.86,-165.316,6693.58,-93.5419,1962.51
39.2479,3354.16,57.9179,654.804,788.948,14307.8,-42.833,2290.91
-28.1265,692.677,-880.33,898.91,2501.27,470.49,4098.41,-128.763
86.3981,373.243,-723.104,2479.93,2328.07,277.955,25935.4,226.06
