PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
-85.8763,13740.1,-289.044,3682.63,10697,2134.74,500.558,16685.3
461.07,712.61,-753.63,6856.41,3890.62,-716.53,25975.2,487.577
-334.386,1026.06,537.075,4850.4,3581.59,449.867,17658.6,5229.64
20.9261,7126.75,6409.34,1778.08,583.462,6738.58,256.835,1293.21
-171.785,6753.29,5266.96,2289.52,656.452,18438.9,528.589,818.763
23.7965,4529.16,-1037.42,917.616,3368.39,-161.655,71.914,-103.994
4489.21,409.209,-112.504,5077.93,2474.27,20.4384,-17.5336,84.058
181.02,7934.02,3902.63,2156.19,406.331,15718.6,176.192,2558.29
285.805,15170.2,537.887,4578.17,16473.6,6122.94,-867.648,26774.7
121.276,7703.05,6397.05,2008,1178.35,10988.4,-34.7047,1582.02
-91.3071,2885.66,6830.14,2099.27,420.542,9979.84,250.255,2156.04
49.7009,4677.84,1004.61,832.277,1164.91,2536.42,310.161,13546.5
-33.5123,433.578,-675.469,5269.63,2588.01,-487.48,24681.5,390.492
-164.737,11167.7,40.9856,2540.86,4511.34,37271.4,806.207,4061.36
-17.7406,6992.77,2552.47,1650.47,-21.0143,19029.2,340.035,1910.12
-166.465,9874.43,6296.19,2164.2,2.01103,25239.9,165.084,2805.54
438.517,3924.26,-496.489,1451.69,1038.3,11461.4,1102.81,9488.29
53.1876,822.897,-1194.13,6777.07,9800.96,868.28,11258.7,9605.36
143.189,7072.4,119.559,964.574,1694.22,1408.97,-98.287,368.308
105.929,8417.6,7432.25,1803.01,138.532,15986.5,289.346,1212.18
-58.5678,10588.8,1291.37,2353.64,2550.94,12540.4,46.2228,3238.52
213.776,12582.3,-888.61,2323.25,3195.05,19961.2,324.368,4297.99
448.146,15247.5,6794.15,7464.86,5657.18,25913.5,766.56,15583.3
-211.742,4857.3,5902.76,1243.23,964.741,10509.5,149.847,1804.3
94.5115,3788.3,6801.62,4140.1,343.653,22815.8,834.961,500.039
1893.86,511.83,-979.259,13815.7,5971.08,1133.15,747.771,330.264
-139.698,6948.65,4786.61,2985.4,1432.84,10355,57.8211,2944.12
-115.769,602.213,-476.062,4019.72,1701.05,81.2958,13127.9,220.706
4765.74,3297.89,-1659.83,15942.2,10220.7,717.818,1146.13,11527.2
470.109,32.5247,9.33854,10163.2,4496,3324.2,407.398,1260.15
-1.15215,8289.54,447.44,2256.53,148.351,15576.5,197.292,3875.25
-385.764,255.373,29.0406,5441.7,2298.13,-150.316,21577.3,899.252
51.1661,4566.14,6772.29,2147.49,186.943,7452.69,403.682,692.932
-237.281,-29.3055,-281.131,4675.83,2892.37,88.8836,18939.4,902.136
-25.2102,7619.35,3898.14,2331.85,1251.83,24274.5,489.335,2571.03
-193.378,7203.2,588.452,1501.37,1243.09,10537.7,121.573,1646.74
439.103,53.9458,-686.496,6479.65,4484.29,-276.309,19758.5,21948.9
992.286,782.486,-287.703,13606.7,3661.6,188.943,1129.8,2316.74
-28.7395,7517.83,1280.48,1485.6,280.677,18475.2,466.635,3958.69
79.809,318.204,-148.309,1023.69,2531.77,-5.37981,-56.9863,153.005
2783.56,219.154,-328.924,13110.2,5220.02,371.859,282.237,8989.52
21.8971,4703.36,-182.85,1908.08,6282.73,1006.18,142.578,636.28
227.952,-363.734,82.341,5679.35,6542.59,663.558,20766.6,21177.2
-96.9863,3751.96,8771.1,2062.47,-265.564,8536.39,299.981,1101.87
669.857,9773.94,-199.744,1754.79,2933.04,7363.88,690.28,7147.14
1.65234,3493.01,6609.72,3987.72,-24.9131,27701.5,741.576,1897.97
-185.251,6170.47,4018.96,1739.65,6.51429,11345.2,169.168,880.044
-79.0507,8842.38,2119.71,4132.56,4079.48,14703.5,850.927,3281.4
170.693,3474.94,-623.319,2447.53,5385.99,872.075,280.1,996.998
75.2646,6041.39,2422.7,2422.8,266.024,17146.9,148.785,1896.23
63.2551,194.22,-134.75,1636.36,294.664,-27.1322,629.066,347.616
-82.3287,5091.43,13118.6,2691.07,-306.118,13488.4,314.725,1317.85
-171.152,5737.35,3922.55,2575.42,516.693,14781.8,-135.522,768.807
-171.924,23990,-527.764,2905.03,10266.3,11933,645.599,27191.9
-178.797,9812.47,-721.858,4147.43,6644.57,2970.35,712.774,22272
960.404,10673.1,-152.846,1450.23,4108.31,675.247,1173.46,10443
254.529,4673.47,-96.097,1394.46,1684.07,4520.97,232.034,13828.3
133.556,10610.9,4906.12,1504.65,1327.72,14012.7,464.019,2062.71
101.104,5995.1,4542.49,1996.4,689.126,8156.43,430.186,3031.98
161.156,6299.69,50.4153,500.812,1166.67,10219.6,729.217,4468.64
203.338,17749.1,-106.379,5860.66,6026.31,31583.6,709.452,13455
38.2703,6709.1,1952.58,1553,1296.05,25933.4,414.983,4308.33
-51.3818,724.12,460.924,176.445,578.021,2763.13,420.803,4647.8
-321.847,286.061,355.243,5228.04,884.589,-227.238,15964.1,766.154
730.912,1127.31,111.668,15432.3,5084.18,511.121,926.575,-55.1282
-77.2231,9082.3,13747.1,3407.5,2030.28,18359.9,336.444,5863.17
236.077,3303.28,7874.97,3458.07,1256.05,52769.9,585.648,986.173
93.3039,10929.2,3678.05,5496.96,4991.33,22129.5,1112.46,3282.28
6.28687,7272.19,-19.296,5084.91,3961.57,9021.88,703.878,8387.58
-205.836,401.552,-31.4483,1178.33,1435.54,107.838,7132.37,335.131
-37.2708,6029.21,7838.37,3081.75,955.943,24314.5,97.5227,1233.89
158.265,3252.42,8337.55,2923.96,473.891,8379.95,147.95,3145.33
-7.7547,6358.19,552.9,1440.54,334.324,18244.3,83.0756,2502.76
-230.872,11.7722,-139.722,202.736,3.65221,63.2384,153.919,437.595
-48.7809,16185.2,672.329,3376.18,5665.13,4755.97,78.1807,17424.8
-34.2261,9851.13,13193.2,1686.89,1068.42,11221.8,-36.7565,1283.56
15.8364,5041.57,5445.47,2199.43,1084.39,10815.3,510.208,2492.52
177.991,23865.1,-966.869,5563.31,8092.75,20559.1,433.961,17330.9
282.571,13201.6,3196.12,7017.71,8196.68,18641.3,441.854,1661.84
-202.191,26.118,-372.402,3755.89,5200.04,-503.777,22434.4,5000.76
300.27,8362.38,-906.659,2909.64,6249.68,4563.73,258.886,15163.2
205.386,890.426,-405.944,1812.92,3263.24,595.204,292.686,1006.17
-48.3646,6174.24,149.926,1658.89,583.767,22420.7,481.814,4931.37
291.52,14590.1,-360.854,4966.18,6181.42,20624.9,353.112,14566.4
639.946,9233.8,307.809,1992.46,2560.65,8020.9,466.524,7462.71
-39.4055,212.143,125.423,4678.1,3129.44,-452.82,19763.9,22.9433
201.242,6055.82,1866.77,2099.61,620.269,17087.1,42.9009,1737.73
-166.976,14817.2,-439.325,2723.81,2887.56,7899.7,553.878,5761.77
843.299,4882.39,-307.88,1188.31,3272.77,21140.6,1638.93,5791.01
149.397,4471.17,-686.993,5365.59,14827.7,11324.4,4369.23,1458.69
302.702,2619.92,-927.546,12209,6520.84,220.897,10554.4,1150.12
273.239,12420.3,-360.151,5459.49,10550,16308,-142.015,38377.2
267.372,3808.37,-1008.78,1092.63,1467.04,6181.29,1281.83,8592.79
533.978,20228.9,-569.479,11170.8,5931.41,2368.36,-739.374,441.637
124.82,5518.41,6348.77,1824.63,591.175,15629.2,440.412,2580.65
351.19,13510.6,-1488.42,3926.42,5003.84,9294.94,456.811,5975.39
87.0941,3038.73,7232.83,2700.03,528.127,34047.2,617.576,2167.53
-107.126,5653.49,-512.123,1272.9,650.341,13766.3,335.248,3553.24
-112.811,6269.61,-289.691,4776.63,7159.42,12281.3,-179.906,10808.5
31.7804,4495.65,3085.39,1976.86,406.586,19523.1,412.785,1695.19
56.2841,6761.31,7075.82,1270.22,696.037,13056.4,136.178,448.468
-160.386,788.187,392.773,7112.69,2930.86,496.896,23900.1,-161.804
456.516,17945.2,-986.153,7746.53,11712.5,25811.7,1288.5,26248.3
160.645,6369.56,4716.77,1596.43,295.548,8452.94,227.164,2220.62
-373.44,2550.72,-1025.82,901.279,2360.52,993.624,566.697,1285.02
4845.93,578.331,-145.159,5387.91,3053.41,621.309,-260.274,11663.5
140.975,2560.63,8252.16,3034.14,189.871,40205,619.651,4302.18
-4.60493,6550.46,1653.2,1477.31,1301.27,7601.46,41.5405,1412.79
202.396,16650.4,406.098,3659.09,6910.72,7408.91,291.553,8079.11
-7.93698,482.108,-148.794,4152.27,4412.63,315.066,16590.1,4191.76
330.015,1005.99,651.439,5541.51,3522.2,-114.389,25591.5,4691.79
-178.172,5524.54,712.038,1522.49,-161.747,12039.5,-72.5097,1823.87
-98.745,2059.56,620.654,1622.17,1838.7,428.299,-279.973,157.384
-11.5678,360.672,-1543.52,3667.74,9672.53,3128.15,404.713,13057.1
-107.325,5279.95,1977.61,1492.52,1032.57,7423.25,168.96,764.355
32.7992,5669.08,3610.04,1664.07,1371.02,9756.44,149.829,768.181
-163.926,592.528,-695.086,5707.9,4436.02,-341.378,16726,1330.59
-112.515,11234,-484.091,3499.75,5351.55,9935.56,517.521,8943.4
46.3522,140.106,-23.6286,4232.08,711.478,132.556,2365.66,1626.24
335.189,8212.8,-81.9693,4935.24,7849.92,17531,637.271,11462
-129.257,9402.11,13874.5,2308.32,652.953,15452.3,303.886,985.546
9041.49,2217.8,163.159,10700.2,6632,1231.85,424.798,1262.7
-32.5782,3085.08,-265.608,1213.85,3896.97,1500.46,542.666,478.46
-45.0066,10995.8,3967.45,2647.13,940.142,19506.2,-67.7828,3100.17
6332.95,-24.1235,-1057.36,9033.66,8739.89,435.667,-557.348,1219.76
1501.66,2903.81,-685.993,14853.9,4254.15,566.351,1457.55,911.615
620.406,6136.63,785.053,2199.65,1220.37,4864.22,1054.94,13357.5
2013.22,965.324,-162.477,13861.5,4353.55,46.0887,974.359,5651.66
172.784,154.573,-400.209,3924.68,2536.65,263.637,15544.8,-173.06
99.9919,15231.1,-1.36608,4179.62,5811.69,19931.9,264.95,10108.6
665.061,12622,231.94,1979.6,5501.3,9005.65,465.469,5121.08
3178.06,262.426,-141.186,10713.6,5144.76,-55.5825,1074.87,11288.9
257.391,4535.6,149.778,1585.01,989.419,459.61,286.448,814.091
433.462,19576.7,423.094,4768.29,8382.29,1527.37,403.029,19927.2
-89.321,5378.13,173.89,2117.24,4161.5,2412.97,213.507,2501.89
-66.8033,8440.55,1115.77,1625.01,-178.875,17024.6,87.0486,794.804
681.528,4050.48,1072.2,2900.85,2938.13,22974,575.034,5759.79
-91.952,13214.7,250.6,1432.86,1130.62,14114.6,119.894,910.483
242.322,579.006,-176.016,7502.05,7518.92,-95.8003,15705.8,2440.81
92.0111,3236.63,7942,2618.28,-12.9116,16502.8,594.809,658.299
10.1933,5870.94,4060.25,2708.3,437.4,15904.3,-170.696,2927.54
-15.2857,7209.43,376.508,2637.98,5271.07,1101.56,114.246,4406.82
0.249958,7717.47,10522.7,2945.72,1258.87,19633.6,272.109,2758.51
-33.9706,1231.32,-110.707,5102.05,1643.11,322.337,15370.4,-133.297
2681.29,-299.589,-1346.22,9264.21,6885.15,223.898,0.578424,29214.3
-131.558,9236.24,7389.75,1939.21,-41.2143,16467.7,183.863,934.91
4057.6,5911.42,-1198.44,21448.2,10850.5,1023.48,1690.05,7890.87
89.7174,16263.7,-738.675,3837.25,5794.23,7166.91,86.0643,5341.94
215.271,5590.38,260.74,1964.11,1853.03,22803.7,80.1848,3239.5
187.95,6634.7,7380.89,2464.87,1947.07,11950.1,353.831,4434.48
-28.7349,5211.26,-327.126,1777.75,3227.84,1933.52,158.217,1122.81
-278.331,8318.12,4613.82,2941.81,845.289,7592.61,640.576,2395.74
-55.1849,5978.73,987.202,1248.49,61.1833,13633.5,-94.9675,2152.03
751.142,13310.2,-1277.67,5008.25,8662.88,13392.1,618.186,17185.7
-97.3064,260.969,285.534,132.813,-8.63702,456.158,629.336,317.966
13.4655,3971.48,7069.71,3307.76,1267,21915.6,358.637,2554.43
-53.1271,7764.3,-195.078,1990.41,1794.7,24388.5,544.498,3466.19
-323.9,9346.31,-404.698,2127.38,1735.54,39440.3,458.411,2538.82
-209.82,7395,-392.622,6096.31,3965.71,20000.8,-409.301,8839.52
2603.43,520.231,-570.061,6413.5,5687.22,35.2473,230.791,278.366
-135.833,6951.07,1358.57,819.965,-100.329,22802.3,162.279,3044.26
77.2568,3778.06,-402.173,399.317,757.141,3969.76,190.953,2396.9
307.984,11568.8,-338.648,5113.15,5446.82,18176.1,245.582,9356.56
179.876,7537.65,3555.48,2607.63,915.864,9086.7,-41.3582,1111.15
142.394,1678.68,-1028.14,6301.32,9478.33,593.263,1394.16,5231.03
303.65,2631.47,-56.6369,1809.9,1391.97,21791.5,1249.71,9046.34
247.526,14394,-611.236,5038.89,6113.21,11300.5,-178.178,5376.49
267.869,6944.72,709.028,636.725,1434.16,581.286,111.687,1433.29
-51.876,6353.09,6030.1,2158.02,1714.9,12462.7,-18.6141,1161.21
54.9329,3718.06,-220.724,1845.24,4893.81,681.202,193.627,317.328
457.187,2445.92,-928.917,2402.38,1985.53,10833.4,910.084,14624.5
-276.445,5908.03,7104.45,3887.63,1479.92,12305,1024.33,2268.34
275.58,7758.86,-503.643,1415.38,1680.9,11836.9,722.526,3756.73
38.8883,11490.9,349.359,1007.35,744.194,12779.3,275.745,4584.65
84.8789,8715.65,5035.72,1538.22,602.647,11011.9,333.784,841.551
-93.2156,2624.1,-164.129,2329.81,3301.14,638.004,764.438,1847.54
112.976,4912.52,8256.14,1869.54,1665.1,7169.65,160.746,1822.76
168.073,20048.6,1456.67,1367.59,4169.63,787.844,362.518,855.729
-17.4588,6074.98,2514.46,1417.9,212.706,15606,-49.4687,1397.2
-89.5852,403.366,-239.625,4754.43,2712.68,262.046,25202.8,140.733
41.9438,8187.42,8098.62,2255.73,-357.29,15773.9,32.3778,1739.17
125.174,22934.3,632.746,4410.46,7260.72,15048.3,-93.2545,12504.8
-19.0035,7951.38,531.082,1863.83,1525.02,13805,496.635,2354.72
-108.207,5345.09,6734.09,2987.79,675.495,6580.65,187.056,2208.84
124.895,6314.12,770.678,1110.37,388.616,15837.3,62.4237,2553.81
155.53,7114.26,5731.87,1493.46,347.277,9425.88,-4.2521,1542.69
70.5061,5157.25,6550.4,2154.5,877.544,18548.6,418.358,2480.61
-81.3754,2175.43,-343.002,1674.84,6728.73,768.106,132.1,426.878
