NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
2481.15,337.183,78184.5,-3180.25,4138.59,2839.33,-430.861,686.324,536.931
3009.44,74.6876,86860.5,-1324.97,7402.19,1538.89,368.401,6789.93,-511.023
80.8166,112.657,22166.8,-545.698,9415.86,-434.742,-563.257,9713.91,538.217
972.541,-20.6796,58392.4,-3435.61,3296.85,4558.69,297.035,568.691,539.816
324.387,244.868,35906.1,569.604,12059.1,-68.4197,-1264.6,32179.9,2411.94
41.4508,279.338,35309.5,-1479.02,18586.2,55.8401,-87.0127,46458.8,-309.135
3700.96,139.259,123407,-4266.99,18828.2,2984.87,-155.964,2296.3,504.894
23.7958,551.643,77709.1,-5191.79,33340.5,-507.505,281.805,32616.9,1698.32
-213.271,3802.33,134898,-3112.98,2583.8,-826.093,-673.526,4435.71,12475.9
53.6946,1008.81,37816.4,-1642.79,22141.4,631.203,-310.538,50161.3,1839.71
230.465,275.142,34797.3,596.354,22792.5,-45.5314,-256.281,33169,-33.0141
770.422,438.57,96122.6,-2015.7,55863.1,-179.961,-172.429,33858.5,766.142
-0.984918,21.219,72934.5,12193.1,115094,568.536,787.793,9548,1508.94
198.26,170.641,33915.3,-3307.95,9961.35,31.0607,609.243,17288.9,711.716
-618.264,6456.66,168017,-9602.29,5129.01,-689.65,189.62,7482.94,34206.8
258.651,75.3833,35244.5,-2152.45,17656.5,325.387,-111.986,6801.15,575.831
-73.396,576.449,39179.8,-2202.05,10275.2,-176.837,-576.304,33265.8,1488.2
35.1181,697.854,29465.6,-1312.34,19355,39.5817,-426.663,67861.7,3057.04
1844.48,-194.652,117358,-5522.08,11925.5,661.585,96.9167,520.319,-151.559
585.959,287.13,106100,-6344.79,47328.2,628.977,231.282,12436,859.309
1039.25,966.137,72552.9,1994.49,49993.6,-985.013,-1273.92,66560.4,693.79
314.472,396.661,46819,-853.953,19417.5,-501.93,-645.441,48850.6,2433.92
-128.599,130.55,14346,-1359.56,11101.6,316.201,147.988,2534.8,6.20183
369.787,463.009,34340.9,-1304.02,20081.8,-604.635,-234.184,33814.4,-298.729
407.865,112.713,38965.8,-2008.55,29409.4,-236.8,-455.723,46121.1,3315.41
9.31814,127.002,49821.1,5020.83,90002.9,712.522,650.679,5552.45,874.595
1687.13,1.26311,39553.6,-983.705,5657.27,587.306,-650.552,4973.96,749.625
327.688,628.778,28514.8,-345.62,11516.8,-186.297,-468.28,16933.4,1326.46
-167.506,179.401,63472,8828.24,67292.9,487.359,549.76,8590.19,699.652
-96.4321,160.328,1836.18,-1075.52,4282.46,506.322,205.484,252.349,429.274
-53.8759,506.067,55239.6,1018.94,33604.2,-96.4298,-651.063,39257.8,-172.933
-237.094,1758.23,24646.9,-1097.81,685.79,-627.423,-128.718,8121.77,1608.77
73.5088,6388.12,206243,-4066.62,8126.37,-1724.48,-1848.15,1767.3,42957.7
464.878,8.04531,32723.3,-2872.24,17534.4,525.762,169.536,13439.2,574.107
106.108,167.427,19862.3,-1065.06,5633.36,-4.39566,-288.35,3604.91,1438.15
618.347,448.96,101767,-3849.47,27761.9,-160.24,-327.828,37087.1,-281.128
-86.031,2617.01,34345.6,-3149.91,1072.82,20.2094,1666.53,17069.1,117.635
1606.62,187.498,77422.5,-3412.86,1204.14,2536,-602.711,1666.61,292.697
1821.83,92.2482,83833.9,-2891.64,10277.5,2296.64,-294.078,1353.64,-11.0531
-47.1347,169.441,25843.9,-878.704,8054.54,-35.3897,-522.036,7917.04,905.946
216.91,70.3042,25913.5,-2049.02,19543.4,-287.409,405.716,42891.9,-363.402
50.4754,503.137,42829.8,-2760.95,10540.2,-684.065,-111.149,16840,1246.93
-56.5542,72.9757,42261,-375.902,24576.1,61.6158,-817.324,24435.5,1515.66
1890.38,20.7359,78497.2,-2923.22,8164.39,1282.57,-210.356,1902.17,96.6652
168.113,1259.48,41194.6,-2296.08,35770.3,-674.225,594.123,49984.4,1117.19
728.355,583.109,71402.7,-2887.3,50760.6,64.7426,-531.24,23343.5,1050.75
237.331,120.201,98758.7,-5137.11,57028.9,556.575,-631.195,16730.5,-75.4179
1533.34,117.597,88870.4,-2341.67,42442.5,14.8898,-647.922,43952.2,461.297
6073.13,93.2596,119873,-2501.02,6278.35,5113.94,-713.11,2052.41,-133.676
246.523,143.553,49723.8,-4542.43,25426.9,384.316,466.669,31247.7,902.051
-9.41869,-117.147,4859.33,-847.806,3590.38,155.912,-49.4086,3976.54,185.058
214.251,579.888,66452.4,-2137.02,17720.6,-792.18,-378.362,49596.7,2743.19
508.869,438.06,51170.4,-121.866,23746.4,-170.449,-988.036,21454.4,838.268
-397.287,4116.28,124692,-4525.48,2457.23,-1190.24,-373.597,11937.9,18545.1
946.424,83.992,29699.5,3579.05,13203.5,-490.397,-1477,31714.9,2318.08
462.716,76.8514,29755.2,-1728.48,25027.4,-62.7833,-28.6838,23215.1,-67.0285
39.5382,288.151,41662,-1371.7,26491.7,419.229,-281.099,24788.8,555.056
215.836,160.279,14297.8,-1083.07,23901,-36.5958,-52.3923,2771.4,1029.92
133.343,-107.486,22714,-804.772,12758.3,144.207,-169.688,7397.87,479.842
-114.527,308.372,35742.3,-1572.84,21193.9,-366.705,-72.1857,37794.3,1152.67
207.395,528.383,51444.3,-2894.87,29476.5,-479.65,-481.733,30647.3,-27.3589
-131.346,476.29,56174.8,1218.13,34585.3,128.079,-1578.4,21327.1,1438.61
2059.45,306.233,114460,-6150.9,49654.4,-384.237,-138.099,30420.4,-198.231
-217.69,139.164,22301.8,-163.878,9995.83,350.619,-395.598,14833.6,445.428
165.281,-134.235,47608.1,-2063.7,25668.9,199.158,15.525,32169.8,429.608
321.434,220.675,66843.7,-5589.43,22826,-53.3066,368.236,35225.5,506.295
1621.82,-160.508,110847,-2909.37,2970.99,1348.45,-396.825,690.999,561.16
624.193,709.662,55295.2,-5295.98,16675.3,1016.66,338.244,71510.4,867.516
40.6606,31.2989,65196.3,-3110.25,48898.3,131.9,-143.008,12728.8,1407.35
3432.87,803.417,179697,-6813.81,54440.3,790.536,-1666.82,73925.6,4013.8
561.497,267.756,31149.3,64.8397,21222.9,386.198,-621.053,65459.2,4055.65
1390.06,167.059,66528,-2844.52,11386.9,568.748,-690.706,3239.22,145.348
465.241,-226.528,13160,-2900.61,21853.2,322.119,943.36,1821.29,2584.4
-472.932,5942.03,102259,-4958.33,2751.15,-1961.73,227.071,7580.8,17523.7
218.405,-37.4763,8802.93,1265.92,25689.5,-155.02,27.9892,267.664,936.795
-401.287,2417.58,89256.3,-3961.38,3539.36,-5.18556,-816.008,6423.41,4824.06
663.987,786.238,97645.3,-2617.58,36927.6,426.498,-182.36,55690.1,702.995
3427.36,-44.1701,80031.1,-3147.71,2478.92,1153.83,-323.125,1436.38,-92.7826
37.4884,81.6002,24036.2,156.073,10973.7,317.819,-176.871,3290.4,189.14
3316.16,-349.948,46648.2,-1941.68,2509.14,681.944,73.0265,1029.94,-473.044
134.377,208.783,15090.4,-838.003,5999.83,95.8262,-416.359,16514.3,1359.1
139.762,460.314,18401.8,-1807.57,23750.5,-98.0555,590.695,3064.11,1220.62
134.6,604.515,35816.8,-1029.13,15477.1,-918.543,-821.483,39845.1,3067.06
30.1216,169.605,28006.9,-1883.43,11172.3,-205.648,377.005,22117.6,-436.873
2904.97,1009.49,75898,318.172,21645.7,-677.068,-916.599,40684.8,607.187
771.126,1673.54,68348.3,-4770.3,44034.2,466.109,302.507,68371.2,845.41
-189.123,112.573,57637,-1929.21,31523.9,606.892,-1024.42,20596.4,575.918
299.961,413.206,125145,-2718,58364.8,1320.17,-1280.1,53342.4,-351.577
138.57,112.576,39697,-1582.7,22109.9,-172.621,-208.643,31430.2,516.666
461.381,520.342,50741.8,-971.382,41347.1,664.46,-403.233,33625.9,562.052
113.453,177.078,12271.5,-935.534,13176.5,53.9527,61.3135,1067,171.967
237.439,500.042,74370.9,-1314.03,27944.5,469.682,-1121.03,27130.2,637.524
112.567,250.967,29690,-2682.82,18742.1,-236.614,353.825,44200.2,1772.05
219.69,627.077,50585.1,-2741.09,36340.5,-222.456,44.04,40327.6,1803.89
426.636,55.6194,21951.2,-1610.79,39382.8,74.566,170.766,1746.22,810.777
1079.66,190.606,72863.5,-2588.96,2188.58,1555.55,-835.404,974.09,738.192
5033.19,261.652,118783,-1129.47,9513.44,1937.1,-1662.37,2937.48,741.52
3.90655,436.376,32305.5,-1808.51,17640.6,-121.071,-226.334,54487.9,1467.48
-118.331,-60.8337,2119.51,-383.12,539.744,-57.1513,-16.8055,646.693,102.84
28.8071,94.6102,21001.7,692.16,13070.1,21.4537,213.2,17242.1,648.648
88.2291,287.736,101216,-352.377,60693.5,288.362,-729.007,26501.7,-21.8495
133.243,257.774,29590.5,-341.202,12026.1,-86.0427,-523.798,16684.7,17.1397
491.698,577.522,27107.7,-2412.29,63492.3,765.828,927.737,1485.17,816.323
398.968,739.582,34051.6,-1040.25,24604.5,447.519,-556.981,22929.9,760.282
239.205,88.2027,74659.4,-6271.98,43408.5,369.799,656.339,30889.1,987.691
246.993,231.806,40044,-1793.94,21195.1,129.219,160.604,12260,63.8489
13.4866,-417.489,33132.4,351.837,16368.6,-255.813,-423.984,16145.5,1150.76
464.489,413.214,109778,-3732.95,30226.2,-691.346,-244.878,23666.1,337.422
214.607,213.787,42842.1,-2127.7,31206.3,100.658,-398.427,22248.2,499.295
202.518,460.376,62215.2,-717.633,29177.7,394.806,-902.83,33655.1,633.766
355.802,184.687,28589.5,-264.498,21545.4,-75.8175,-188.865,1831.18,651.762
472.602,-33.666,42092.6,-3732.32,16953,12.4002,11.406,65561.2,1591.78
-81.7511,11.6106,16400.6,-78.2461,7801.15,-63.3124,-217.371,17729.5,51.143
620.646,1106.14,40545.6,-1773.14,22687.1,-663.448,-347.152,74494,1521.69
1177.28,946.56,42220.2,-813.937,23680.5,422.257,35.7953,45851.1,115.758
-23.2691,-98.7985,42409,-1679.97,1588.16,3146.5,-491.113,7050.45,297.555
299.411,-57.4698,25292.7,52.9512,20631.9,425.864,-482.116,35226.6,1308.09
-65.6277,426.687,28504.8,-3097.97,14567.2,507.769,862.373,22765.9,739.14
70.9786,0.29614,2215.26,-172.406,6639.66,245.677,-144.986,158.108,-44.606
1235.69,324.174,67826,-3232.32,37730.4,119.107,-128.242,20762,1422.55
173.995,228.733,46742,-3088.87,15952.2,148.457,-98.9001,23102,1106.34
-12.9074,158.705,43315.2,-1230.29,21581.8,-46.9292,-442.394,12636.4,588.723
197.223,171.73,40339.1,-4736.9,10076,262.41,325.796,28730.6,250.431
452.995,902.627,107077,-6450.82,29665.8,-777.153,-495.778,44634.7,4176.73
143.391,227.51,91274.9,10160.5,144427,732.398,1369.1,7364.57,1399.09
-311.217,6240.7,97334.8,-2030.92,5612.84,-1209.53,1737.77,10152,-319.891
190.052,65.1796,54124.1,-3936.5,24561,-204.398,256.362,17809.3,1186.24
387.767,289.138,42204,-790.599,15949,-236.142,-561.502,38743.1,2261.56
58.5535,671.158,5994.08,-14.4911,1110.4,249.399,-482.16,3618.28,1363.75
-269.892,329.52,24272.6,-1554.98,13204.8,-471.606,118.605,12005.2,902.149
-203.83,-41.2313,52645.9,7479.32,66520.5,495.182,-475.279,3261.37,629.554
135.931,66.6435,108148,-6617.02,40641.9,400.125,-458.564,10680.7,2252.33
1177.33,255.862,32180.5,-1095.61,4000.12,1391.71,-511.188,918.661,-114.304
116.12,126.881,19843.3,-904.521,6961.77,143.815,-46.8982,5495.74,447.084
-180.129,217.135,5376.27,28.3304,5794.44,230.429,-378.091,2311.96,-6.34061
-287.408,4525.05,105177,-5373.25,3512.42,-1154.31,450.435,7604.6,31044.9
308.225,184.324,61767.1,-3454.48,24196.6,-451.183,-109.591,21324.2,1796.55
305.083,460.726,84275.6,-3058.29,14663.2,359.186,-780.688,12587.9,1293.81
-46.6787,-20.1652,34609.2,-2058.97,18245.3,72.2488,88.3445,19754.9,1901.37
-603.73,9468.03,165304,-3417.55,12209.1,642.939,2099.38,4691.5,753.606
403.225,359.901,87074.1,-3698.43,42281.8,482.9,-1107.44,19188.2,905.844
2418.19,26.1022,97487.4,-3438.93,8272.07,1526.38,-942.45,1429.26,297.743
-16.166,355.685,50487.1,-2628.91,501.435,25.6835,616.135,4036.5,-112.568
729.306,-129.507,60074.3,-2647.22,28812.2,1005.34,-187.426,15215.7,415.504
52.7822,-63.9752,8849.86,-1007.8,22244.5,291.27,0.230551,1130.17,1121.58
116.422,528.08,52422.7,-2515.04,40565.1,1457.49,-441.39,39318.4,931.468
-701.266,8666.69,105099,-3654.63,1759.1,350.13,-1171.64,28495.3,19639.1
302.783,363.405,66790.2,-3124.73,26933.6,485.295,-619.399,10219,601.226
