PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
413.038,3810.21,-273.543,819.438,1486.08,4212.38,-31.812,9766.52
-78.05,16741,-1137.73,1022.63,3180.7,5321.46,189.32,14503.3
-32.7262,14708.3,-2017.35,2509.03,8378.64,5867.16,278.043,42870.7
51.3173,2687.38,-642.805,3704.83,5191.85,3992.19,503.938,3308.9
-221.842,7874.34,-1073.59,372.559,4132.44,3061.94,-331.883,6881.58
-42.7116,-144.433,-1204.61,98.9918,248.574,1162.09,-88.359,444.134
102.558,11368.4,-1604.16,807.128,3456.85,4726.92,143.488,25319.4
223.387,993.528,-1114.76,334.954,1090.97,5194.63,724.135,10338.3
-68.2365,17346.3,329.142,2547.15,3884.07,11298.4,-985.695,38938.9
-8.82667,707.996,-1916.75,3380.8,4577.66,602.307,26897.7,27.5197
73.5366,10729.1,25.3225,2012.08,5236.1,7754.57,142.418,21052.6
145.026,5834.24,5107.88,952.363,-164.304,10627.9,366.264,1327.57
357.096,4163.52,4378.98,8239.61,8510.51,7079.66,47567.5,6645.84
-146.25,5857.89,9689.02,1607.35,746.793,12878.8,272.429,2882.83
18.1031,10628.1,-1072.43,1504.92,6217.46,6050.53,57.3312,24928.1
28.097,11777.8,-1305.6,1682.16,1389.98,4493.11,92.6192,11719.7
214.506,2011.26,1780.3,9798.74,2264.78,3152.53,26214.1,450.942
-5.92016,1072.12,-879.371,1561.32,5278,2829.16,-241.827,1937.9
-33.9134,3757.65,1029.66,879.585,148.023,12305.6,-89.2673,2510.59
248.558,404.604,-1221.02,2241.33,2054.18,-65.6669,23638.3,244.338
763.154,7075.11,1802.64,519.715,862.625,9252.73,983.045,5440.01
55.3444,43.6166,-708.11,1989.37,2393.4,73.6335,17806.2,-262.869
98.0103,4317.24,4762.61,426.683,496.309,6891.84,142.309,3579.83
17.5378,552.865,588.421,1784.85,844.465,4908.98,533.804,6231.31
222.507,22398.9,-1560.76,4971.33,2476.54,5980.13,-303.389,152.308
219.353,11030.5,12618,1658.62,291.805,14564.2,576.522,13992.7
-95.8935,2824.46,14024.4,2420.61,81.1844,12008.8,229.35,3970.35
-163.651,3808.24,4089.97,1036.15,265.244,8118,33.1074,1226.67
5490.96,833.31,60.1996,1660.23,1306.24,771.466,-431.177,1170.63
21.8467,2747.73,6151,1469.66,315.493,25569.8,59.8334,2209.61
67.3889,5937.94,-1254.31,3329.96,5654.24,10100.9,-77.0344,42346.6
-258.928,6261.35,1516.57,967.413,-398.232,12782.2,-8.22962,1544.41
-27.3821,3963.6,438.689,1167.68,1654.06,14473.8,436.102,1876.07
-59.1398,3519.37,730.055,693.546,-382.163,8942.81,90.2313,956.374
117.08,4157.1,1965.33,569.794,-187.268,10695.5,347.204,5649.68
-235.759,504.392,-878.922,838.359,3965.21,1695.23,9.09393,171.372
64.4749,3138.13,4471.58,466.92,266.515,8530.62,267.099,3723.94
486.675,1052.9,-849.82,595.271,3343.49,7504.72,414.808,6610.54
-22.0584,2702.09,9283.63,1076.78,-221.067,11350.8,-69.0858,2347.2
395.186,3670.44,-8.93142,1241.64,1859.74,5541.18,466.263,13059.5
4.02495,6237.94,8581.5,1533.63,2086.95,11699.1,244.139,4964.13
-50.7135,4442,8391.57,1420.8,190.111,12730.5,161.728,4192.42
-33.1829,533.468,-1308.93,577.525,3794.26,584.206,10204.6,3148.95
324.441,2104.46,568.438,1287.65,2443.79,5298.42,177.649,14973
94.7156,158.913,-68.3188,-241.571,15.2127,2240.43,260.666,636.762
-126.839,5627.67,245.101,430.237,222.975,20856.9,572.475,9172.21
312.47,564.705,1016.64,2609.44,7343.38,4162.08,510.148,21266.3
203.75,5817.15,11392.9,2045.41,823.785,22982.6,538.806,2043.93
42.3735,3983.1,4950.91,1757.08,948,13629.4,279.992,4166.95
-104.375,3844.99,841.215,1063.07,3655.87,1896.58,-87.3849,604.93
29.381,254.742,246.375,1461.09,3203.34,1381.06,7941.21,4352.98
1395.72,468.413,-1545.39,4166.58,6707.37,1698.64,546.27,8029.91
49.3024,1718.07,6303,799.98,816.243,24853.4,406.408,1216.32
-116.998,3676.51,6162.6,499.681,1072.19,12610.2,96.4758,3342.86
-1.84247,3700.61,2555.2,1031.62,326.985,4280.56,-83.7784,953.227
-39.495,6905.59,5623.11,1337.04,-11.7571,23805.3,31.441,6251.17
8.65901,6856.69,1661.6,1344.49,-167.329,7053.11,488.653,3596.56
351.081,149.659,1177.31,2011.42,2058.26,337.79,23816.8,7310.37
1542.07,705.179,-1683.06,6430.04,2472.5,1584.54,162.061,17876.1
-116.566,2016.48,3027.68,601.956,-5.41598,4853.85,-261.676,4231.78
-100.64,1885.18,533.975,3109.66,2758.02,1241.63,258.126,576.121
173.257,-168.143,850.264,2650.29,1752.98,828.469,26652.1,578.445
-212.555,1044.92,-768.507,2373.91,1272.85,201.265,24037.3,376.114
-52.118,5464.92,939.349,1009.34,-7.10155,8544.84,306.74,2020.24
301.044,-246.712,-1317.87,2802.73,3308.96,2109.39,17509.1,14893.2
81.825,6887.65,9182.08,754.613,-115.281,8592.27,-110.291,1574.27
-200.399,108.474,953.584,347.907,3168.31,696.064,4958.29,502.415
-53.5414,429.832,-167.582,398.772,1408.99,649.178,4886.71,1808.59
-14.7069,5917.36,-1303.64,1164.27,1839.44,19778.2,101.529,15091.5
56.6693,923.837,128.887,1763.56,1536.6,567.069,209.731,258.301
5.03082,5621.08,3429.53,1938.76,215.948,11419.9,-39.7869,2532.57
-97.5079,5979.09,-556.736,340.573,1286.21,9342.62,-97.427,4900.29
-69.046,3811.39,2596.76,819.252,-35.4278,11294.3,-58.6385,1260.58
96.2828,2852.49,5363.38,1332.56,-277.238,7197.64,59.5852,3095.19
-294.306,3446.79,182.729,326.567,210.379,19364.5,39.9548,1849.56
-182.18,6148.72,-685.401,3843.09,6113.53,20945.6,-456.127,21112.3
-28.236,854.391,-826.932,233.985,808.394,566.579,9171.42,5.10335
156.383,527.541,248.57,242.382,2823.34,1258.19,7076.93,555.781
350.186,3.31303,930.289,722.151,307.833,1045.48,20740.6,388.346
-12.574,7814.84,-314.987,689.166,1522.98,26814.1,570.742,14856
-24.3345,6830.98,-904.64,2024.94,1811.65,32949.6,123.246,10702.3
410.995,1257.89,1104.22,3205.91,1855.05,2010.91,9719.91,13330.2
516.678,-245.406,1391.34,3570.66,5985.73,2293.4,30252.3,15826.4
