PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
194.664,4169.73,6195.52,896.618,269.955,9645.48,184.856,4487.76
127.772,6022.99,13527.6,1531.25,299.792,12495.9,369.308,4840.85
-45.7888,1243.13,807.139,28.9204,358.943,11583.2,164.351,4016.36
67.5307,2470.26,2302.09,639.585,170.627,6783.04,119.339,3770.44
102.43,4097.28,5896.04,1990.27,229.345,25372.4,299.546,8463.02
228.437,198.645,-699.113,2101.95,3382.93,527.885,23913.6,159.377
152.805,3598.9,-494.401,30.768,387.948,969.27,182.058,1112.39
84.6157,716.288,19.4233,458.053,2186.5,1493.68,8585.96,659.766
352.738,-179.486,-220.134,2390.45,2072.56,-254.682,20720.3,2894.39
57.9619,766.369,-1716.6,3129.98,2333.26,474.727,22385.7,142.25
30.2986,2533.76,572.14,395.117,722.227,19202.9,265.661,6769.81
-59.7164,906.06,-2386.03,455.82,2195.26,736.074,9363.3,-396.233
151.073,138.585,1708.02,236.246,-434.998,5509.69,508.802,5158.65
95.9097,217.378,-1546.47,1494.74,1129.6,81.771,22824.3,-233.748
-102.247,998.64,-93.0133,280.778,1940.09,960.01,7639.77,692.202
266.127,-204.317,-1040.65,1780.87,3671.09,425.705,25068.9,1029.47
-121.511,3118.62,-984.597,479.268,223.548,9430.91,212.681,6451.72
-129.141,5393.41,9081.53,969.802,-461.306,8931.15,250.01,4119.68
66.1783,4429.62,16029.1,1545.72,487.352,17863.8,244.964,6576.7
-6.54981,2689.75,-46.1814,565.232,305.554,11791.5,107.634,4107.74
52.653,4189.92,4975.49,884.704,1029.53,10204,41.0266,2877.66
180.107,2629.5,-803.79,236.91,269.774,7780.4,9.06527,3036.72
-219.619,4324.49,13606.6,1029.36,80.524,11810,128.488,3315.71
-65.5526,5521.69,6301.69,1003.07,1089.18,10801,4.60201,2972.76
27.644,3883.35,5169.33,609.847,-128.937,10879.2,16.9631,1773.3
-26.8949,43803.1,-864.656,1749.29,3096.56,3674.92,481.112,1213.15
76.376,4137.68,5285.07,714.742,-559.735,8119.78,508.877,3388.76
-21.4396,2546.48,-414.35,1037.77,1076.25,3899.37,425.433,6082.79
148.164,4068.11,7781.75,576.153,84.8392,10332.9,546.986,3309.62
-98.2457,4836.69,6642.08,1325.03,875.441,15102,1080.22,967.269
37.6198,2998.83,-903.169,87.0857,1263.2,4969.28,232.532,5047.39
-58.3627,2993.68,-65.2951,-11.058,-171.783,13442.6,3.13113,10803.1
72.703,5021.37,13232.3,828.879,-593.918,10487.1,-35.4023,3828.24
33.5184,598.011,-452.887,312.843,1891.71,411.569,5683.18,186.988
-146.579,-182.149,270.591,-130.303,293.555,659.806,158.089,761.263
-53.55,2517.26,129.112,-19.8146,801.891,13198.2,-136.306,6023
39.0365,4412.75,5549.04,1084.43,510.209,13394.5,545.597,2413.5
-37.7829,5145.99,8497.51,1258.31,89.3227,11302,102.429,2428.95
105.985,11532.8,148.099,1130.46,3744.39,3771.69,254.331,13508.1
178.744,3539.32,7122.15,302.465,-233.817,7047.38,200.209,3578.92
-55.0189,4158.14,374.638,688.037,-829.41,16134.8,182.44,21295.9
266.207,151.987,2206.64,2544.5,3000.71,264.832,27600.9,661.771
61.6159,4516.07,8151.55,632.632,1.02323,8825.65,128.504,2990.55
-147.373,249.241,-1067.05,1378.38,4939.5,1999.8,1406.52,193.661
-60.6399,1336.08,1059.7,106.958,362.98,7521.37,212.162,3696.87
-65.3864,4351.51,2389.74,727.748,626.061,8641.63,-122.21,3222.05
-67.7509,4116.21,10648.5,888.172,19.1623,11383.2,-13.3362,3524.29
153.71,3945.49,2920.99,705.974,300.735,11043.2,106.8,4955.25
-71.2011,327.713,-718.522,405.237,504.063,800.101,3297.72,906.01
-63.8947,6299.58,3637.2,1028.91,746.805,10893.4,-242.455,6147.54
6.7647,240.223,31.778,614.354,2733.38,273.217,8719.89,-375.93
-136.294,4313.06,5717.98,860.78,457.003,12235,100.75,4441.77
-35.3303,3168.09,4644.66,795.393,-181.29,10356.3,277.802,5094.11
13.701,4298.75,8223.77,1301.63,-146.933,11465.8,473.367,4295.57
34.411,4256.38,-481.36,926.538,749.552,9860.43,30.2921,4183.76
421.483,2942.42,383.679,10854.8,4626.75,1821.09,36925.4,1017.88
362.562,3462.64,-1261.32,580.387,3051.31,592.31,12596.3,746.232
-177.868,3559.22,1.38534,478.067,1124.55,13173.7,461.802,6402.53
179.585,583.638,-655.946,406.63,2946.76,610.755,9800.04,76.9014
1090.14,-132.204,-589.898,1524.56,470.541,914.261,-248.154,35.2264
3563.76,145.292,-3340,2158.68,2762.67,1860.03,-207.622,-164.592
146.957,2939.98,-1219.95,637.519,4931.64,1398.65,-9.40267,17589.9
-52.1834,143.68,-71.6617,557.668,1671.1,534.627,7384.08,-350.849
70.7637,4569.11,6002.54,1027.21,98.7222,14513.3,411.684,1614.43
146.67,341.821,-962.281,197.712,1655.5,138.915,10652.3,305.203
1.04719,7018.39,-1540.24,1457.63,5360.71,12568.5,220.865,42164.2
35.0996,8048.99,12410.5,2587.42,-1085.71,25691.1,271.101,4045.33
107.825,5893.49,4739.07,751.768,514.228,6073.4,112.19,4919.4
116.463,3259.66,5380.78,820.25,-786.954,8781.52,220.679,2651.25
-89.1536,228.16,92.7731,210.306,1283.9,1480.68,6259.17,-56.1266
41.1347,4716.88,7527.81,497.422,28.3855,9738.99,-123.392,3416.54
262.679,4208.51,138.811,2240.34,5519.42,7849.78,215.902,31099
-147.55,97.5098,-95.3316,-138.75,240.043,1780.16,-406.252,844.182
-7.14521,402.643,-2241.6,2709.7,1198.8,40.0196,18602.8,1825.52
-70.2687,3579.31,4799.13,715.773,627.15,13689.3,-6.89308,2798.46
-56.7623,38.4244,521.63,1305.43,2285.13,441.532,13305,563.713
-220.165,5411.46,9761.5,1398.85,-716.083,9284.28,516.309,2670.33
273.392,4382.02,-227.469,873.904,1160.49,23583.4,544.536,3352.74
94.5783,216.054,-296.433,-268.633,674.828,440.888,5807.16,749.147
-4.73328,8495.71,-962.063,2404.28,8134.09,5933.88,168.653,40168.9
1618.65,-40.9175,-2609.81,6228.22,3904.62,1205.56,267.447,18251.5
-42.1887,926.843,-1359.01,1668.64,1969.22,581.519,19006.3,-1447.8
-84.6998,4323.4,383.074,661.119,-267.411,8241.42,466.474,2864.89
3.33349,134.134,1154.42,545.379,827.539,837.329,17384.9,885.279
284.392,4672.78,145.909,1243.19,2177.36,8689.64,333.388,13136.4
16.3708,3430.95,6439.01,1252.02,147.786,12457.5,213.984,3092.59
-73.1398,5036.68,4862.05,988.625,164.629,13088.1,-87.45,2149.57
-92.8681,107.121,-1388.89,322.219,1190.16,554.147,7437.63,-374.296
342.863,-17.3106,473.697,-387.471,2422.61,836.091,5069.51,288.53
63.6769,3503.18,-360.31,5452.29,2951.71,21447.1,-19.8266,1251.05
58.0345,2782.1,107.888,416.071,-52.3796,4917.65,-138.706,10282.9
-128.793,496.042,401.206,570.997,839.381,813.031,8965.22,-738.03
1255.89,-51.1026,-4641.02,4866.35,3429.86,90.6591,-248.872,14786.2
-83.4721,4033.68,4647.08,1284,346.73,12036.6,46.4097,3137.73
167.858,3020.13,6871.49,1103.85,-484.996,10639.1,171.721,2116.39
2827.47,375.943,-9.50924,3324.4,1637.03,1446.5,83.0909,281.221
186.517,1460.77,-666.666,3983.18,414.926,467.528,27830.1,245.78
113.639,7705.96,-1004.07,821.397,3603.11,12956.8,441.462,2943.61
441.309,116.051,-522.437,1450.35,2004.98,-45.641,30075.6,546.787
108.388,2653.96,-240.827,1431.97,1020.87,5781.21,57.9009,5045.8
164.382,809.096,-2954.86,1963.97,1970.48,-179.992,25228.9,-1087.36
-74.6127,4442.04,10618.9,1197.13,-543.243,14600.5,-69.8372,6393.19
-108.763,4557.36,1509.67,584.883,349.741,10575,384.974,4824.59
-239.609,186.244,-614.087,132.657,1262.07,633.569,6466.15,102.657
45.2845,5287.46,6941.93,913.252,892.192,6472.87,-45.3363,6903.61
