NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
148.502,-57.6952,5948.04,-1146.7,17214,295.859,316.956,197.056,628.427
-113.456,325.93,2633.19,-692.476,7914.11,62.3974,175.783,648.047,187.447
127.265,-6.65894,2621.18,-396.29,6713.56,233.466,207.471,809.6,647.076
222.602,27.2829,3641.42,-931.204,12013,224.908,274.902,769.303,358.257
11.7886,166.307,3110.58,-433.318,6440.67,-60.2139,339.47,861.253,137.306
124.702,573.171,8788.43,-1141.99,3460.48,301.739,188.809,373.959,923.919
48.6069,81.4672,9438.87,-724.47,20968,577.848,52.5616,435.638,1316.56
-15.8999,122.079,1722.82,54.5533,4584.18,136.3,-53.8885,573.524,629.397
93.0638,112.37,4545.99,415.796,9541.7,400.663,-199.554,805.438,492.773
39.2928,13.9657,3059.26,-678.689,6945.39,11.3531,219.605,189.275,281.289
58.8122,59.0974,3835.8,-358.251,12019.6,283.473,-29.3606,706.49,507.858
44.119,60.4127,2723.62,-602.303,8073.17,167.066,193.565,177.631,862.447
51.6014,121.783,4883.05,-573.863,13650.9,155.371,34.4044,477.957,869.747
192.351,176.85,3001.08,-644.159,5373.14,791.732,25.9702,804.988,1091.24
169.455,144.441,6465.41,-1448.88,13741.8,103.184,471.34,613.134,1499.64
5.08011,118.252,2782.19,-435.608,7247.66,42.0754,65.5477,112.868,332.481
65.3019,4.74004,53278.6,-1141.2,204.093,14083.5,-763.095,231.532,-104.673
25.2331,151.1,4798.35,-758.91,10749.1,252.275,359.448,291.657,1223.42
94.3181,164.35,4273.9,-1044.04,9434.62,299.799,348.989,766.168,1279.41
-148.318,131.075,3983.9,-664.733,10470.1,205.578,239.732,424.3,808.976
15.9125,108.698,2550.41,-271.54,8253.05,27.6943,52.3364,782.295,303.303
210.085,108.121,23355.8,5794.27,23823.5,363.706,-528.079,7254.11,154.948
44.2974,148.537,3437.87,6.05631,7175.71,228.33,-315.794,625.246,637.909
178.46,336.365,50806.3,-2126.74,16143.5,-104.386,410.812,98386.2,1603.07
280.424,444.579,3579.81,-1283.52,9442.44,875.892,528.027,5776.4,4569.47
-7.94266,150.22,2910.76,-174.305,12026.4,163.571,134.411,-34.5909,957.143
24.2609,133.03,3417.32,-266.113,10122.6,119.954,27.5647,780.393,894.522
89.9431,-63.4426,2278.74,-647.863,6390.51,114.402,197.215,82.4672,174.554
