NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
33.1508,-104.125,4680.34,-415.541,9813.15,-38.6723,5.55726,51.8484,576.603
173.876,-110.663,1950.05,-69.8552,8174.15,137.5,26.6219,459.437,542.676
-86.0458,175.132,4595.37,-264.063,9984.14,714.935,259.876,1093.37,1541.49
-32.3182,154.942,9605.06,-79.2393,15185.3,165.542,-337.271,732.216,994.435
76.0392,169.404,3246.27,-550.685,10228.1,190.832,7.05471,461.126,525.086
2.60119,91.2064,3079.13,-453.285,8656.46,178.933,105.213,15.2173,416.316
-3.77132,173.689,5626.43,-1254.34,14023.7,123.407,445.927,254.775,1147.18
18.3956,125.467,3698.62,495.615,9329.06,447.676,4.80109,1022.7,949.503
2.47013,-79.1592,34081.5,-1094.41,315.641,-70.0735,-567.073,486.324,-81.902
-357.117,6693.92,56186,-373.184,755.209,-350.598,-427.07,1714.53,22440.6
43.2224,48.3978,4348.22,-837.226,8832.37,443.299,205.71,429.179,998.296
146.033,-50.4303,6939.18,325.117,15718.2,134.635,-264.245,937.541,372.305
-1699.83,-696.614,1722.06,-2148.35,149.057,486.488,1142.74,-1457.8,9319.04
-287.144,3439.12,1886.56,260.433,3776.22,-1569.6,163.94,92002.8,2029.14
52.7035,80.0646,5468.96,-764.157,12608.6,318.148,224.376,253.423,1176.01
151.336,40.8941,4100.2,-985.441,13481.3,-294.309,409.113,1765.33,1223.92
197.856,-50.9217,2202.59,-739.185,6378.64,322.431,192.697,327.708,560.238
69.3626,69.5051,6243.92,-845.997,14371.1,359.748,351.951,346.052,467.493
122.483,-66.7773,2974.04,18.5488,9361.15,-50.1605,146.067,328.759,289.135
2912.42,652.54,171388,-7589.84,927.691,63.9404,-143.688,7386.53,103.426
12.5521,192.386,10024.5,-1071.96,30577.3,204.706,253.383,335.975,856.554
335.954,100.9,2280.72,-736.206,7881.61,136.972,388.208,474.95,320.938
24.4385,-42.1867,8756.63,-817.883,18932.8,62.4387,106.846,179.692,604.078
52.016,-3.92764,3770.22,392.133,9147.33,260.974,-72.4448,337.465,348.084
149.282,-142.339,2818.55,-162.09,9872.04,249.102,65.5008,-59.9728,214.068
122.823,3442.27,118499,-8290.86,873.15,393.821,5034.31,58477.6,1135.26
9.58945,219.155,12887.8,89.9771,16457.8,392.564,369.675,459.009,1074.24
170.099,14.1395,6476.08,519.036,14881.6,356.453,8.27049,1089.56,868.203
-28.8065,89.4706,2640.24,-303.297,8744.56,73.1446,94.4975,533.954,450.367
89.7466,35.7466,4102.36,-663.003,9765.08,343.419,227.575,542.247,1245.01
64.0894,36.1167,5614.08,-502.621,14718.7,273.29,-20.0245,257.861,383.815
172.829,92.895,8015.76,-608.96,21178.7,412.247,45.7983,836.532,1099.95
94.8031,-20.5284,21910,-49.4506,9474.22,259.56,-219.011,196.502,1040.25
20.9665,134.339,4650.61,-87.4743,14262.9,71.4788,173.88,596.228,1080.15
23.7388,326.963,3366.71,-369.787,8763.78,448.519,-126.748,347.145,770.037
4.35428,189.872,2467.43,-929.004,6178.99,181.691,470.152,940.582,737.021
-24.5511,-1.82995,3764.12,-801.664,8955.35,290.986,230.02,108.726,129.968
96.1724,-39.6022,4805.21,298.989,12203.8,24.4139,-96.0083,37.6513,92.9565
-1.74246,125.591,1864.69,-438.477,4554.69,-66.9233,169.703,-270.673,246.82
39.1071,-22.5244,3142.14,-123.181,9262.37,105.344,-37.3913,-24.5216,348.111
230.057,-75.1844,6030.92,84.9206,12604.1,220.269,60.8022,181.402,584.211
158.448,74.7568,9100.05,-393.566,20194.7,282.254,-339.074,678.572,784.442
22.299,101.673,3060.06,-207.089,7536.73,189.893,162.337,768.746,195.996
-5.48441,154.344,4387.31,-123.932,8037.41,242.148,61.1815,364.369,940.225
-48.3413,128.303,5564.25,195.556,14325.4,202.138,-103.739,673.323,621.673
136.168,-41.5436,8516.38,-801.54,15699.2,23.4703,312.705,444.745,600.911
209.43,170.067,4939.08,-648.238,11378.5,441.846,105.148,595.466,437.152
72.0578,282.168,5259.14,520.955,12873.2,310.552,9.42756,55.6396,1002.42
-45.4231,186.747,4543.35,-874.331,10553.5,56.2688,233.959,-147.303,771.455
145.464,147.94,7111.81,-497.593,23099.1,277.463,142.856,698.382,2020.86
117.003,276.655,7255.24,-465.708,13367.1,794.894,146.717,1114.2,903.061
14.7199,153.932,5387.75,-725.587,15422.4,483.145,44.07,483.669,861.15
-67.5397,34.2305,6306.01,-598.548,19238.8,282.481,-11.5095,-231.058,162.325
217.709,213.926,8167.75,-323.84,17463.1,498.328,-13.2127,997.773,923.218
163.171,-107.492,10194.8,5.98841,21411.7,545.576,184.376,606.866,520.54
-4.0843,-43.2183,2799.13,-394.795,6881.82,137.922,-74.2899,145.98,228.207
90.9263,-5.16423,8840.18,-1168.76,17867,303.797,167.704,50.1332,925.544
102.661,-107.441,5151.8,-757.233,12072.9,85.486,32.3814,117.164,698.475
12.685,313.305,5333.94,-183.459,15465.4,68.1411,80.4591,270.227,638.237
174.762,34.7346,1778.57,249.469,6803.97,144.744,-204.651,273.913,526.688
254.039,527.505,9223.33,-2481.22,17767,478.542,929.592,2840.36,2801.54
122.682,105.737,4004.94,-968.809,10849.4,168.284,230.506,716.428,921.045
45.301,185.366,6873.29,-102.367,16228,250.665,178.06,1047.1,989.827
44.9526,80.179,3822.87,-481.508,10758.6,-8.63769,118.156,676.438,97.1378
183.656,183.29,6490.64,-596.467,17554,592.925,214.795,783.599,750.4
66.8512,67.6205,3302.1,-334.846,9944.87,8.99823,335.847,337.058,452.035
156.152,22.96,6898.85,-743.81,17136.3,227.222,210.122,495.505,718.52
139.778,46.0679,4430.13,-801.662,12431.9,30.4557,231.74,199.961,452.784
1030.35,1894.57,6466.37,-4230.75,6036.37,1868.99,1833.44,30479.6,19361.6
191.311,104.736,4736.04,-93.2122,10652.6,-134.515,39.8422,506.93,1343.59
190.311,260.119,13107.8,-255.891,25506.5,466.811,-278.066,982.186,1115.89
103.264,34.9252,2537.32,-384.782,10714.3,223.84,-58.8513,534.269,-123.131
-14.5635,179.721,7789.98,-328.288,15442.3,169.118,-24.4853,-60.6583,706.542
44.6532,4.92495,2785.4,-77.5386,7464.16,106.056,27.3471,376.124,147.712
266.602,94.8901,4079.99,-874.638,10957.7,375.721,186,431.864,601.053
168.203,-52.0235,2322.05,496.688,7789.13,59.0561,-139.904,523.081,386.236
122.886,24.6456,4414.1,-729.099,10080.2,8.08869,70.7939,159.65,144.165
-34.0884,211.632,3059.23,-201.651,12305.9,26.8563,-20.9181,227.609,242.091
89.8345,65.9904,4502.94,-427.873,10621.3,546.881,-195.002,833.948,711.493
14.7324,168.486,4134.73,-314.678,12753.4,130.954,156.218,281.06,931.882
-12.8821,115.584,5690.51,-593.006,14888.9,253.626,469.202,403.257,862.283
-47.7553,128.518,9992.43,-262.24,5612.01,39.9398,-269.497,451.081,1170.88
24.4081,121.431,3816.4,-429.17,10731.4,-123.118,139.848,605.172,658.04
-26.5657,211.064,6098.49,-848.822,10427.6,148.138,155.368,56.5756,1235.78
22.5292,48.0805,2808.96,-266.079,12220.4,310.716,75.7153,310.253,610
14.6224,-9.20482,3964.45,-393.601,10433,73.0377,149.814,449.519,381.058
101.13,7.40654,4868.76,-183.24,14192.8,362.127,236.078,797.732,198.477
116.456,62.2977,4340.22,-269.678,11232.3,169.832,199.067,684.362,227.674
-341.357,3866.17,76492.1,-2850.15,603.585,-341.398,3086.44,528.107,-361.092
-86.5808,-39.757,3585.13,-641.879,11738.5,193.644,53.3657,208.628,312.983
387.57,211.861,1803.89,-458.165,2486.86,2071.11,511.025,1270.42,985.639
5.12789,84.6968,4165.98,-354.981,9674.03,131.278,-54.5879,277.794,164.24
8.77129,134.755,5914.52,-1284.02,13020,86.9327,394.49,825.574,893.053
78.6825,146.101,5306.23,-558.551,14960.3,345.269,108.847,134.862,650.372
61.0053,77.8951,4664.37,92.3455,10814,127.394,-206.492,-195.063,333.304
95.035,7.02308,4902.54,326.205,10948.5,6.72273,-12.8752,697.344,134.903
235.862,12.094,4247.48,-426.257,9180.57,221.88,102.428,1037.55,233.936
-11.1691,-54.7409,3453.72,366.549,12005.3,189.802,-112.986,-42.5733,275.264
92.1133,7.36805,4231.08,-1085.02,9711.69,284.211,557.379,-51.2076,1067.58
152.601,213.175,6201.13,-902.355,17317.5,566.035,59.7235,183.372,906.23
297.539,144.416,5515.67,-1769.23,11068.3,529.74,651.6,278.335,1322.82
95.722,71.4547,2449.93,-655.907,10638.7,64.6441,136.652,76.8966,503.191
51.4876,34.7296,5432.39,482.992,12761.4,-45.1774,-10.855,915.924,725.79
-21.8939,82.4495,5299.96,-807.785,13402.3,324.282,43.8409,728.811,427.325
46.5435,168.05,2878.35,-163.733,11605.7,18.2865,69.6018,432.733,786.075
181.227,14.5568,8271.91,-409.599,19940.6,233.659,53.8082,-98.0706,874.851
-4.60021,152.061,5051.48,-86.1999,9835.85,309.478,196.522,647.985,1097.47
39.1276,69.2264,3167.77,45.7404,6417.83,-45.274,-101.313,323.305,289.351
94.7069,-13.0133,2302.76,559.729,8465.88,58.6764,-26.3729,116.347,735.542
-4.12379,150.698,3619.83,-115.997,9547.73,-20.9052,17.723,341.587,160.25
7.13628,314.316,9766.09,-1314.85,9236.24,168.325,617.714,684.377,328.527
142.264,369.415,2130.42,-877.033,6555.68,721.3,471.341,1889.78,1684.43
-67.1148,47.267,44431.2,11576.5,38553.8,745.708,-430.811,18305.2,41.8705
-31.731,120.989,4759.39,-364.144,14496.4,239.074,48.3583,-181.688,511.981
-51.0878,213.261,4081.5,325.031,12190.3,272.234,35.8237,161.7,210.553
19.0809,43.8667,3895.33,-74.9921,13146.9,181.744,171.361,613.205,758.346
109.096,110.139,2509.51,183.145,9217.89,163.93,-183.314,420.067,-137.655
35.5704,80.1598,1781.02,-525.448,2634.22,81.6244,89.3047,660.807,669.966
-430.66,1736.34,2169.53,1654.01,1916.14,373.547,288.092,1058.85,1588.75
9.76409,-38.3225,3514.45,-241.004,9126.71,167.799,245.959,157.561,463.605
-24.091,-111.864,3084.51,12.0635,12001.5,272.914,16.9998,230.468,324.485
-23.3948,133.016,2800.78,70.2429,7117.76,61.3888,22.0188,572.493,144.565
