NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
338.02,-3.28176,70052.1,-473.612,36682,272.525,-437.995,27041.5,-144.884
-164.829,232.776,80623.2,-3788.12,22634.1,-10.5308,-183.142,28960.9,1107.18
224.732,231.962,46531.4,222.626,37629.8,-146.504,172.601,24726.3,1457.84
-50.4465,10.2532,34365.4,-2911.97,4894.7,7021.29,1004.15,613.09,792.39
69.6878,-53.1948,19807.1,-25.7878,20022.3,-285.248,-321.027,3562.41,404.58
3363.2,-11.6325,15648.7,-1234.84,4892.81,186.207,-184.615,1231.88,60.1037
586.051,87.4451,76666.2,-2079.53,18662.1,-108.633,-95.6766,24683.2,454.781
566.358,439.381,54729.3,-891.109,27601.1,1495,-202.343,35149.3,1977.99
990.961,-122.51,37520.2,-971.308,31266,-26.61,-152.236,10017,367.717
-28.199,168.048,1203.63,1244.22,1199.48,3483.79,-324.77,562.522,-180.255
-141.758,2575.24,25457,-1976.95,2296.13,472.103,2202.71,2128.2,-219.064
213.527,12.1425,30057.4,-1598.77,21189.8,60.4695,-492.92,7093.46,727.412
492.355,263.754,62374.7,-3298.48,42078.6,358.185,-248.137,23849.1,733.836
150.192,367.789,45132.6,-1381.31,38601,837.073,-725.844,32789.7,492.982
-5.03608,131.975,54809.7,-2070.81,30201.1,-116.686,-928.625,11274.2,899.959
624.546,104.059,43098.3,-4470.36,25896,-84.6277,885.658,9593.53,939.628
233.347,-61.0539,36402,243.495,25428.9,444.829,-109.57,31987.1,1089.95
50.2188,80.1241,31817.9,-2783.63,24635.3,-479.992,565.107,3248.76,95.1535
5062.51,-477.292,54676.8,-3799.26,2319.91,5342.78,400.49,1284.43,33.5964
419.707,-62.1766,43376.2,251.861,34262.2,679.868,-542.736,33588.6,775.994
-147.363,-20.4153,11741.6,-653.02,11976.5,-115.771,-257.365,9839.3,283.3
535.539,-135.931,67423.9,-2299.82,58445.8,912.141,-255.273,17109.2,235.081
-67.4713,284.267,33765.7,-2392.72,25883.9,426.613,-315.707,27482.6,-290.199
1238.37,304.767,50062.1,-499.998,33089.6,-44.8689,4.31952,16896.3,379.716
934.966,6.29562,11583.5,-873.401,626.519,421.728,-272.115,194.684,17.6503
-55.5777,-84.3619,9513.52,9275.91,17145.6,-199.771,-119.494,985.668,56.392
307.833,74.0161,28608.7,-1479.98,26894.3,218.852,178.193,4341.45,753.916
-116.003,97.0388,53346.9,923.24,37792.6,-21.1857,-729.187,17997.2,928.465
-91.8844,-48.6783,2084.48,-20.4096,2553.86,79.0338,-72.9748,128.524,159.87
542.286,46.5862,61071.9,-658.508,26400.8,-11.0098,-208.184,21944,-225.655
367.961,221.736,87789.4,-3790.12,38507.5,-349.005,86.0357,17567.6,1015.72
157.972,281.286,38964.8,-1569.51,36120.8,2566.67,155.021,11374.7,217.259
354.568,-30.3706,86244,-3883.76,46473.9,-151.037,-126.752,19057.6,356.487
436.295,100.222,55515.1,-2329.85,40233,-82.0253,-9.96653,29110,1216.36
165.667,-67.961,60514.8,-994.846,27724.3,382.99,-511.021,24952.7,326.576
386.396,79.0918,81696.3,-4036.09,50708.3,324.631,252.143,15927.6,-32.5498
811.59,-96.0066,25676.4,-914.948,13023.5,242.654,-311.305,18906.6,828.165
-14.3153,148.945,27229.3,-1952.59,17880.5,-704.752,180.28,35811.6,-231.737
-278.444,2968.42,92048.7,-3849.56,1769.41,-118.304,-307.376,294.603,8092.18
462.654,588.786,97216.5,-3465.5,26372.4,99.8355,-397.262,32361.2,2050.48
2024.23,-135.01,30404.7,-2447.94,3607.65,792.762,-587.308,430.761,20.9509
-62.7487,269.29,68724.8,-2642.98,26068.5,18.1717,-307.258,4816.07,1329.63
149.483,163.064,36218.3,-2314.08,28105.7,298.845,-475.435,30703.1,1307.72
328.517,-0.37059,81321.6,-1060.99,18067.7,-666.518,-828.673,33066.5,230.49
-170.352,61.4078,12331.8,-971.451,10775.7,144.861,-285.708,4081.1,130.83
-92.4545,137.018,2195.47,-283,2388.21,1127.91,-112.585,484.241,-66.0956
843.106,58.414,8791.78,-2819.79,23975.3,511.075,802.2,821.812,1020.48
3542.38,-99.177,57951.6,-1642.84,4668.6,5393.67,-48.9402,1240.83,304.501
-88.2174,88.2534,38550,421.514,35562.2,138.422,-561.045,6132.98,909.158
105.425,17.946,19085.2,594.63,24296.9,-293.57,-380.828,11372.7,667.899
-124.194,-219.957,14399.7,-1478.28,9616.25,-537.493,-329.341,8560.91,303.389
580.931,93.8424,46642,-990.779,37443.5,905.472,-246.513,10115.8,1480.2
409.558,25.3684,54112.1,1713.06,33951.3,333.576,-253.753,8080.49,602.679
11.5406,77.2756,43777.1,-2112.31,40552.2,226.456,214.976,4653.88,72.3425
183.426,10.0521,36400.7,-1023,17891,359.579,-592.854,5420.26,782.163
330.798,108.691,34545.1,200.318,39095.8,141.302,-337.674,8959.55,1408.98
-229.057,-61.4655,4524.45,-888.968,14967.3,-102.519,51.212,258.556,52.1366
-283.886,123.095,23069.9,246.239,20870.2,-107.798,-352.003,13623.5,392.942
851.644,-121.36,49238.6,-2229.17,34956.4,185.594,-419.573,4890.3,22.8353
-164.558,-31.4148,23423.7,-700.977,25123.3,-420.987,-265.366,13048.7,497.363
312.472,-286.481,104055,-2118.04,46570.6,-174.177,-439.111,13955.7,506.333
-414.792,1545.01,48171.9,-1055.96,1747.28,-548.52,-1158.92,2417.15,13443.4
143.331,341.647,8804.76,-1050.93,18841.8,855.522,-158.014,1562.93,1877.84
490.886,-32.0074,42537.2,-1428.42,25498.1,325.607,-466.011,8917.89,591.266
105.393,-249.421,28408.9,-2377.27,30804.2,257.947,-117.878,8304.74,635.007
697.036,-38.9057,86548.8,-2638.74,36966.9,-343.037,-755.668,41472.6,2083.4
2068.13,-159.183,58744,-1596.09,2870.86,5267.78,-1277.47,919.991,42.7787
354.721,73.8925,77552.1,-7311.55,16752.5,-671.555,-366.779,30868.5,1469.01
-62.4925,-261.152,2279.47,777.589,2596.4,-22.0223,-292.435,498.212,235.77
1013.74,-236.523,16277.8,-1276.41,2033.54,-254.937,123.506,209.614,-53.3952
302.027,58.0212,56403.5,959.66,20396.7,130.019,-565.414,20833.1,107.01
-5.453,-45.694,11231,-338.133,11605.1,23.0064,-93.6111,3417.97,237.259
96.7196,56.4683,25285.2,92.9513,31032.4,-156.298,122.157,13581.3,874.455
3104.65,-23.8734,61217.5,-3355.79,4827.76,312.688,327.342,1142.79,-119.873
4316.94,152.568,61992.9,-2007.15,13079.9,1390.39,-1101.5,2537.26,185.861
3036.06,-60.7618,38491.2,-2316.74,7636.31,-10.9675,-357.829,1874.59,-605.91
203.176,-156.061,19562,-1332.86,11445,-53.0721,-67.9178,8947.75,808.745
485.336,234.311,73186.1,-783.894,44598.4,1035.58,-853.602,16177,1773.69
-327.548,91.1904,2669.29,-237.552,6655.7,-365.947,82.0865,315.376,34.9024
2977.31,-156.204,47741.3,-1473.79,5412.82,1714.6,-314.523,534.625,35.8438
-233.969,-26.5319,21568.4,26.6571,20612.7,-87.9765,-5.29713,6494.81,13.7941
843.617,35.1122,56276.2,-2106.69,36609.2,491.605,-196.189,28117.5,234.786
24.6232,-132.452,31306.8,-2541.75,20522.2,40.3664,-40.0554,9444.84,670.492
1276.34,38.7984,72232.5,-2748.56,27422.9,-54.695,-854.987,12249.3,-1214.59
203.679,-77.9847,45355,-1280.09,19748.8,139.7,-161.385,6791.38,260.809
95.0428,-324.88,29533.3,-2519,8543.77,142.24,278.255,12012.1,1060.64
-320.008,-165.663,9947.09,1325.82,1132.76,227.265,-343.143,3808.12,322.683
43.7663,-26.8822,16879,-1349.56,8135.14,-340.043,325.398,10412.5,446.054
161.068,-65.5011,29159.4,-2123.71,26564.3,497.366,309.711,9206.15,675.949
474.233,67.3228,52685.3,-925.004,26688.5,-36.6897,-23.5949,6408.1,543.818
-7.31316,-86.021,25530.2,-778.497,17032.1,72.5985,107.37,7273.97,364.512
153.043,182.464,55088.3,-1502.63,44751.2,435.767,-132.069,12129.1,775.085
916.293,197.75,108212,-3080.75,66206.1,839.564,363.171,42326.5,1559.25
-486.524,4349.79,63947.4,-2368.02,949.97,-13.6578,204.489,1732.72,12170.2
929.259,217.894,49330.7,-1237.91,87908.8,462.995,97.5184,20601.5,2802.74
284.436,-337.308,66189.3,-4532.5,29583.4,-366.692,-54.8735,27752.5,932.148
-183.977,940.463,29999.3,321.391,3282.93,190.108,599.572,3587.3,134.843
801.596,-94.63,42177.8,-3814.29,43994.4,275.579,654.301,12470,517.254
42.1481,296.074,56113.2,-1062.6,25887.1,68.1463,-497.738,21065.7,59.3759
418.824,56.4254,28046.5,-769.161,21291.9,450.413,-774.712,10720,-69.4842
3927.82,-95.0003,22418.9,-1879.29,1977.25,-163.659,110.514,766.646,-726.753
71.7235,47.4198,101815,-1331.8,45934.7,-209.568,-1532.88,31585.5,460.683
1280.59,47.7115,48544.4,-2925.81,2773.63,1485.16,-51.0243,280.887,-114.913
-95.6452,524.23,23093.7,-1050.08,18941.7,3906.06,-365.874,14001.3,-573.306
468.492,-129.472,26845.8,-725.587,2808.37,844.029,-246.381,331.332,60.2294
-84.2507,-69.893,5027.41,-402.932,16861,-38.2742,-138.089,2087.79,-314.604
6439.92,-365.692,42900.7,358.439,4965.81,505.613,-599.376,3274.88,-572.015
-171.627,1387.45,54184.4,-2203.09,932.101,445.379,-154.81,10215.9,517.739
127.726,499.602,40289.5,-1770.12,18558.7,-214.373,-398.698,31481.9,-295.213
312.76,-94.6431,44076.4,-3035.99,43253.6,452.4,-191.325,11847.6,552.547
448.579,626.941,96333,-1196.7,53373.3,717.226,-982.717,28921.7,1972.82
4336.78,-593.976,58387,-4419.54,11600.4,1764.71,132.513,1225.46,-601.004
1441.33,-117.519,14648,-1755.51,1718.96,806.065,-130.158,163.597,54.9502
-55.3559,-82.3882,17268.8,-2008.57,8666.26,-267.458,574.548,22833.9,110.853
-96.2544,-72.0642,5967.99,40.6352,2932.82,176.874,-236.616,2642.56,227.999
122.639,-145.566,35204.1,-1455.63,8847.26,-777.183,-461.58,9361.83,690.397
131.639,-39.0959,1926.48,-96.1057,1779.57,-128.619,214.987,121.882,-2.41007
756.938,529.324,109479,-1918.42,56116.5,-413.433,-442.383,52153.8,1918.31
624.677,60.169,28479.5,-2814.69,23228.9,289.686,1077.45,4381.23,1389.46
391.066,149.527,67214.6,-1539.15,43212.2,1399.24,-390.638,22573.8,1262.22
320.926,28.2052,6221.54,-1350.35,32911.6,447.3,40.7773,1296.25,763.977
4970.5,-212.119,16638.1,1287.97,638.414,4529.4,-352.258,403.795,362.076
121.043,-6.18676,59537.4,-2138.16,55849.2,-61.7228,-443.132,22047.5,1007.84
69.6227,150.672,22864.2,229.802,30544.4,676.759,-483.06,13940.1,363.361
5508.32,-254.575,39990.8,-535.453,11681.5,1142.56,-313.06,1983.05,-1132.96
-142.511,-9.21335,13595,-131.366,8582.11,-34.9627,-412.965,6775.35,-115.323
648.04,-8.96508,42004.4,-1595.2,32751.4,117.169,-804.971,12210.7,617.173
591.354,176.341,44732.8,-1350.15,31069.2,241.996,-709.558,13241.5,1478.71
-367.268,2731.02,28134.8,-1230.52,2206.04,322.109,404.649,1654.18,-450.284
123.97,-113.914,35280.9,-1402.73,14874.8,351.844,-762.345,5855.64,887.389
-122.829,-73.8452,5524.6,-704.147,17926.4,-12.9255,-144.995,76.6864,257.245
209.828,-66.947,33857.9,470.3,16612.2,-69.8249,-614.57,5622.13,1595.36
836.565,124.995,79852.5,-2692.32,29221.7,478.599,-370.966,43863.6,534.609
271.18,-206.31,54779.8,-2398.19,35092.3,-240.061,-523.8,21327.1,1357.72
444.916,194.498,49988.7,-3127.08,31140.7,329.034,412.173,22625.1,-400.328
-58.6115,-11.5366,47542.2,-1568.97,16441.1,15.4753,-498.54,11719.4,79.8883
-243.096,1729.99,65319.7,-3602.64,3256.22,42.1485,3709.17,2972.83,-810.61
-351.789,1859.57,47461.7,-914.928,4139.69,-292.276,-345.475,2606.19,-254.549
114.593,223.757,59357.6,-804.339,26020,-25.4876,-499.744,31488.2,1880.9
-719.32,7532.42,55075.9,-1342.05,4998.43,-1052.02,-132.009,1353.53,18741
120.742,219.343,5857.6,-588.518,6917.8,343.513,-39.8819,1002.32,718.02
150.956,-12.0882,4758.24,-860.541,8531.35,-160.173,-126.28,755.757,132.63
105.564,50.3001,46651.9,-2803.11,31764.6,215.573,-2.02542,38849.9,-116.56
817.579,-148.492,41297.8,174.199,4675.91,2794.29,-89.3306,-112.356,182.922
1720.18,-160.061,73242,-435.875,35929.3,-265.338,-153.109,25840.2,443.798
2358.75,-332.791,24044.7,-664.964,9563.42,5163.24,-514.41,449.522,63.9048
67.8093,-137.933,46704.4,-684.022,34883.8,377.067,143.26,7514.84,1532.81
-2.16881,-225.178,15181.3,-1968.73,14576.9,-181.438,104.527,7447.67,1071.11
