Metal Tag,Target,full,ilastik,order
Pd104,,1,,
In113,,1,,
In115,,1,,
Pr141,,1,,
Nd142,,1,,
Nd143,,1,,
Nd144,,1,,
Nd145,,1,,
Nd146,,1,,
Sm147,,1,,
Nd148,,1,,
Sm149,,1,,
Nd150,,1,,
Eu151,,1,,
Sm152,,1,,
Eu153,,1,,
Sm154,,1,,
Gd155,,1,,
Gd156,,1,,
Gd158,,1,,
Tb159,,1,,
Gd160,,1,,
Dy161,,1,,
Dy162,,1,,
Dy163,,1,,
Dy164,,1,,
Ho165,,1,,
Er166,,1,,
Er167,,1,,
Er168,,1,,
Tm169,,1,,
Er170,,1,,
Yb171,,1,,
Yb172,,1,,
Yb173,,1,,
Yb174,,1,,
Lu175,,1,,
Yb176,,1,,
Ir191,DNA1,1,,
Ir193,DNA2,1,,
Bi209,,1,,
