NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
-200.823,104.632,1861.25,-436.215,7699.89,157.288,28.2876,318.839,80.0743
108.898,45.0586,3787.65,-51.0275,8924.85,289.527,69.2818,318.919,421.852
-54.3906,198.804,2904.85,-840.005,11961.4,-166.324,478.839,880.597,358.719
-66.1899,-30.4978,2315.04,-216.674,9766.04,26.4243,-92.7379,963.522,97.1707
23.5122,80.0457,4916.55,-1140.97,10236.6,-142.772,345.297,1155.35,332.685
276.645,21.6249,7482.04,502.563,16498.8,94.2985,18.4446,325.777,726.472
175.901,36.4278,4143.27,-135.177,10541.6,39.4229,-93.7596,451.127,171.288
62.5584,74.908,5396.18,214.345,12546.4,-5.46075,-57.5102,-182.582,631.718
600.434,-127.627,6476.24,-542.133,5051.46,283.027,99.4427,43896.1,2175.82
44.4054,20.0832,3318.43,-279.994,9836.25,48.2473,-95.8782,71.6807,272.202
174.911,5.47193,5416.94,-674.901,19300.6,521.715,210.527,846.898,481.666
67.9782,98.7897,3062.89,-635.635,12720.2,544.248,229.138,1217.92,473.607
64.5599,120.216,2815.87,-376.718,5933.9,318.987,99.9726,-0.463626,383.444
136.869,163.71,4052.47,-178.385,8786.15,121.111,96.3944,-12.5235,242.225
146.352,231.492,4094.77,652.077,11699.3,563.928,-295.124,782.828,573.541
2093.77,4647.44,3418.28,-3690.45,3775.85,10051.6,2458.78,8097.9,77229
111.896,359.323,5194.87,-1047.84,15678.5,156.304,605.72,522.79,1037.05
139.688,75.2949,3440.27,-88.9012,13965.6,146.263,216.467,874.903,703.781
45.5919,65.9376,7997.35,-185.902,15673,236.086,-116.128,537.635,585.135
58.6425,186.555,6154.59,-502.598,21242.2,178.957,-1.85912,620.388,491.871
86.3242,-0.251555,2601.34,-684.154,7126.83,-22.9838,177.602,458.681,214.108
20.1034,188.69,8282.12,-947.768,14676.2,373.905,-13.9532,583.812,1297.19
218.628,-91.5315,3254.62,-450.601,10307.1,287.212,83.6811,926.373,699.475
1.99712,140.409,2968.14,-524.667,10350.9,17.5015,247.378,198.449,815.551
281.632,385.598,12009.8,-1163.24,31999.4,788.75,592.918,1781.68,1801.59
22.476,87.4895,2747.01,-331.376,12246.4,75.3285,190.923,495.308,948.29
-1.6729,5.15735,3272.15,-839.182,6006.62,101.301,194.231,700.441,1127.5
238.805,165.218,10383.1,-872.341,28652.7,906.396,95.5933,1372.19,1455.82
368.44,-116.666,18251.2,-862.784,9420.64,456.749,-229.43,71024.1,-1316.14
172.97,-73.4009,14749.6,1617.7,16227.1,141.914,-216.365,9365.04,546.477
2766.82,-7.47268,92566.6,-2228.39,1874.53,870.257,-393.498,-35.9496,249.284
-71.2342,313.711,6459.84,-894.875,15643.2,98.166,621.585,401.13,923.805
-15.4704,270.528,6644.88,-88.0217,15395.5,341.246,-95.7711,1037.31,317.767
-41.5585,23.6076,2185.15,-412.582,7912.07,-53.0815,158.794,711.622,-100.096
89.5124,240.802,9867.87,-167.806,25748.7,729.864,225.423,898.434,1577.49
-33.6159,83.3517,2339.07,-73.5623,8556.93,230.241,59.0862,483.643,176.667
-8.39629,-4.26551,5196.27,-836.51,18890.5,93.4874,100.647,769.153,656.153
136.563,-64.9527,3174.83,-141.417,9407.32,40.5216,192.254,220.079,601.818
18.8025,56.5713,4173.71,-199.222,13754.1,-28.8314,173.976,93.7817,764.884
-1949.51,-810.899,10107.9,-1438.47,153.627,-209.383,565.161,839.579,-8205.42
101.723,159.035,2712.71,-70.0641,8944.53,208.627,106.667,91.4866,610.771
-4.08859,129.781,2706.78,-1315.76,5280.59,134.542,450.368,836.107,598.213
-124.142,174.23,3673.77,274.333,6390.65,338.62,224.126,101.728,785.866
173.371,-11.9147,5655.62,-466.438,9538.66,205.135,-52.4706,198.428,837.813
18.0346,82.1781,4486.73,-416.472,12196.4,369.193,113.713,875.823,720.365
112.774,24.522,5194.92,-667.33,10335.4,266.843,247.964,917.574,990.687
15.4153,-35.8598,1916.25,294.021,6484.14,236.697,-31.2576,-149.583,266.899
116.045,-194.375,9427.77,-2207.88,20953,191.381,799.813,1405.38,1405.04
90.3954,21.3142,2595.6,-82.8157,7255.45,320.886,129.175,62.3375,370.48
-37.4448,2297.79,57570.6,-3508.27,47.0312,-837.483,1995.94,443.59,-137.402
66.3485,0.585267,2623.11,-412.582,10301.6,169.985,245.586,242.879,554.259
111.983,283.672,6486.03,-1744.11,11199.6,-248.384,770.551,1709.53,2575.24
-41.1562,5.98067,3310.35,-537.915,9903.37,38.344,218.676,617.224,338.479
128.159,101.918,3290.7,-521.954,10021.2,126.289,200.348,1113.27,658.509
108.767,162.204,3453.33,282.669,9710.71,497.914,-290.674,165.399,811.989
81.0273,151.68,3753.75,-727.142,8581.92,213.45,309.12,88.8197,415.168
105.832,-49.2152,2638.62,-409.167,4735.24,226.91,134.427,64.9058,472.175
71.3264,197.935,26820.7,-1464.75,4085.8,443.847,88.6605,73.8541,495.713
-406.796,2244.44,4312.41,-325.442,4741.92,-34.6485,343.247,13392.6,1134.51
50.4548,177.688,4161.03,-903.519,11427.6,398.706,215.198,737.741,1306.51
284.781,168.456,1607.89,-599.77,8755.45,64.7935,322.308,1023.09,681.045
220.595,988.433,1898.8,-638.687,4894.94,57.6793,115.61,18288.9,477.586
202.369,-18.6587,1874.06,-332.569,7693.67,146.333,160.779,274.626,239.789
-107.088,193.393,1677.14,-172.783,4242.29,196.917,-29.588,623.725,536.982
-10.3603,109.583,4889.75,-172.921,10888,296.853,93.3229,719.855,449.518
-85.7347,2544.02,3839.17,779.677,2550.08,3335.46,112.96,1580.03,416.138
145.157,97.4608,2241.06,86.6008,10484.2,92.1784,163.124,405.551,480.568
160.468,127.735,3863.97,-703.54,12698,338.465,357.678,406.204,1132.64
-3.5757,53.627,5962.92,220.4,16211,-58.6024,-41.7428,400.993,564.935
-22.5035,53.0256,1415.27,-44.846,4428.8,20.1408,-20.6302,540.904,219.551
-982.175,10710.7,20960.4,-1771.27,7131.08,-882.457,479.862,701.604,362.653
64.6255,-65.2538,3298.49,-611.823,9243.99,143.856,182.429,146.802,408.066
115.729,162.44,11671.6,-858.674,11718.9,-34.3341,216.067,371.103,1036.55
34.1649,66.1637,5713.06,-137.377,12176.4,218.473,231.016,668.116,549.345
158.226,17.1108,4599.17,-52.5088,12315.8,158.767,-48.9528,938.009,508.271
125.46,-16.0101,5116.05,-573.428,11009.9,383.289,43.7553,804.284,531.147
107.323,75.4413,4189.96,-445.415,12006.7,385.378,66.6415,496.797,837.918
120.953,0.233422,2373.81,-606.047,9507.48,109.458,294.751,515.428,438.311
-69.3845,118.11,3066.81,-619.15,12588.8,80.9193,387.194,613.785,433.501
36.4758,139.47,4521.99,-300.637,12975.8,37.5638,201.111,587.271,491.328
179.012,6.62817,2830.39,-154.786,8009.03,-175.47,-60.3565,109.741,309.308
47.3118,245.256,6318.28,74.1191,20354.7,822.207,-306.987,1088.19,458.089
113.921,3.47367,5634.82,-1573.08,15271.2,275.642,397.955,181.089,1130.73
28.2773,34.3969,7013.53,-1507.53,15721,315.389,351.862,535.159,460.677
93.9684,197.273,6235.94,215.445,10732.1,221.956,12.5595,609.44,1635.67
109.117,997.611,76217.5,-2873,545.366,-201.419,-199.616,24405,-382.814
