NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
77.6905,-142.396,45805.8,12669.3,92583.6,961.356,-1182.94,4252.62,1232.55
58.6857,170.442,35142.6,-790.849,45190,448.755,-274.355,7988.89,189.142
684.453,297.545,146170,-4119.93,77128.5,-119.42,-1529.45,27228,1148.87
288.702,377.654,54113.4,-2576.17,41368.6,-42.9916,226.25,11996.2,1494.22
212.883,162.116,97061.9,-4861.06,49221.7,24.083,-211.039,27323.1,1225.36
804.401,111.219,36813.2,-2331.91,24929,-73.1524,-764.379,5376.59,318.389
-354.909,378.077,50758.7,-3487.71,6364.7,602.026,-342.244,10.3351,194.754
-232.487,-182.334,6179.17,-1260.12,15880.6,-92.6872,243.49,401.114,283.636
219.578,45.3228,47167.6,-2569.86,32411,152.775,-665.208,32732.2,2147.94
156.105,153.949,31817.5,-3561.85,20221.7,-343.387,329.965,9435.97,-271.078
1158.26,361.781,82214.8,-2589.82,47689.6,38.8713,-126.373,31623.3,2376.08
226.17,43.2043,33452.7,-1917.83,18720.8,-528.388,83.1339,8370.51,683.941
49.7773,984.847,71211.9,-1200.81,6220.57,-99.082,-644.585,3064.42,40548.9
191.1,119.19,49284.1,-437.255,8778.68,266.972,-681.846,31943.1,-343.988
399.954,206.046,78787,-3414.98,35504.5,-306.395,-978.345,15072.4,1772.58
-212.694,-33.2111,37673.3,5528.35,56926.1,72.1122,-444.822,2326.21,988.52
69.4796,61.7303,12036.5,-668.676,12855.2,1263.09,117.61,1825.25,428.26
-101.416,2011.29,59798.7,-3277.21,3870.75,-259.305,1817.93,2152.63,-49.2557
3227.18,174.125,22095,66.4041,3173.35,224.024,-249.769,337.941,519.471
229.255,79.8628,47400.3,-2681.4,20718.5,613.088,-667.762,12252.4,178.656
-64.7461,601.943,70912.4,-2178.92,58782.5,412.666,-684.587,10377.9,1539.07
263.804,275.583,53074.1,-1436.94,25789.5,390.846,-815.296,34885.1,774.682
43.1823,-57.1128,60488.8,-43.2663,17112.3,-18.439,-815.993,24595.6,1257.01
232.389,112.927,52843.7,-843.995,28007.6,125.222,-1229.83,6685.17,705.397
-216.278,111.846,12672.4,-600.635,5558.04,-461.04,-263.17,11685.3,504.933
-542.459,3277.06,48781.8,-4038.76,1438.41,-808.864,-96.1457,6016.63,1808.32
-57.3274,62.2291,23248.4,-528.589,13951.2,-197.098,-27.7864,9668.37,801.54
121.293,49.2569,5785.68,-1010.67,18073.6,86.6389,-22.3662,1289.72,506.053
303.455,251.827,38070.5,-2188.08,27493.7,23.9621,97.2364,20574.3,1189.7
699.732,823.372,73488.6,-4486.07,45577,1036.49,-771.488,18455,126.353
-206.244,188.598,64539.3,-2720.43,32825.7,277.423,-780.33,12989.7,1076.62
71.9038,257.843,10101.7,0.862378,5662.74,287.08,-65.573,9273.38,119.938
242.885,170.74,57096.7,-287.119,33881.4,112.407,-523.674,9763.81,321.922
255.798,-38.2696,7511.54,-1375.27,23813.3,623.53,271.094,262.636,952.822
379.664,115.165,46308.9,-1605.5,40134.9,302.15,-88.8168,9432.17,1018.46
58.0559,100.439,29188.3,11081.9,37131.4,50.3415,98.8933,794.134,501.667
-72.0194,361.118,39152.7,-2645.24,13108.8,131.889,-147.365,15564.6,366.491
381.23,202.984,48595.7,-2405.93,37551.3,-113.313,-170.191,20283,1456.99
-0.460159,553.043,25652.2,737.571,15949.5,494.098,-1094.45,16947.7,-3.36489
277.497,-74.6746,70379.9,-2725.56,31602.1,79.4431,653.413,20194.6,895.035
-83.131,307.473,2523.93,-139.459,5873.18,513.261,-472.368,966.425,282.656
110.215,134.191,62099.1,-1600.7,40208.8,-463.81,-230.515,36170.1,-236.913
612.328,620.713,100523,411.379,34594.9,200.21,-1592.28,13620.9,1341.37
62.5373,-88.9768,39315.3,-623.51,26612.1,219.208,-58.3187,25307.2,483.87
135.564,-315.51,59155.5,19903.4,72551,406.941,-31.1206,7541.05,779.374
189.425,391.303,28657.6,316.853,12029.6,-231.642,-1164.01,42190.9,-49.4816
96.8214,40.7337,30079.6,-271.287,27441.7,-423.137,130.533,33387.2,491.849
151.292,478.359,36679.2,-2114.55,27054.1,32.4097,-73.3019,6228.61,474.412
2.74699,-286.873,42020.5,-2246.45,26759.6,-13.4348,23.9369,10855.5,596.969
-61.3755,-145.51,31395.9,-2243.59,16119.5,-20.8008,47.5591,6871.98,412.505
118.995,231.905,51381.7,-2596.18,32188.6,312.43,-468.669,20663.8,1425.44
-310.331,3961.82,47188.7,144.536,742.106,-231.33,-346.937,3385.56,-507.655
353.214,344.084,68658.5,-61.8212,39854.8,-55.5987,-1063.78,44708.4,1909.58
248.882,299.931,44603,-739.55,26856,180.949,-113.599,11436.5,492.531
-277.647,2206.02,42047.8,-3565.42,3671.37,3658.64,1580.52,2392.36,158.065
-164.396,1302.35,35112.4,16691.6,75474.5,829.076,485.031,1637.91,839.764
-13.862,-233.134,22571.5,-3211.39,9294.61,-380.659,598.588,17283,-588.754
903.25,567.254,80379,-235.2,52594.1,175.119,-807.083,11256.2,1733.15
490.063,278.207,22176.2,-1074.45,31933.7,800.244,329.576,2384.83,1110.12
2843.1,70.1916,50665.4,-2785.77,10053.3,1253.56,77.6521,322.865,390.124
4367.93,-165.51,43846.6,-3052.37,3259.48,259.998,3.66441,280.945,517.22
720.622,199.854,100963,-5168.71,55556.3,899.476,595.689,41327.4,296.869
-22.5195,238.571,38637,-3382.27,25067.8,-17.2013,-178.734,23591.2,1007.9
381.029,136.118,41006.1,-2814.47,39314.1,496.706,25.4981,23536.6,1224.56
1087.97,126.353,47481.3,-1227.52,27092.2,146.07,-1129.34,12958,1867.34
-99.0958,12.3704,26949.9,-1359.43,12815.2,77.7803,58.2231,8528.66,830.571
420.298,93.8461,40065.7,-792.361,28400.4,196.972,-699.003,11323.6,423.409
163.95,34.6549,57533.7,-2962.09,30793.9,-10.9132,-237.055,23147.5,149.432
316.465,259.483,50576.3,877.121,29464.9,1055.17,-858.117,27651,591.746
299.13,-161.997,69293.6,-1145.45,41987.5,-157.807,-857.398,11304.9,1114.57
-22.9728,-23.7267,22124.9,343.362,16940.9,-486.005,-515.481,6291.67,371.72
64.6559,-124.802,7074.43,-1224.25,17397.1,-462.916,56.1303,904.292,118.155
-635.877,4185.32,67264,-3264.02,6325.79,-381.064,-647.313,455.305,14731.1
191.143,377.727,61310.8,-2263.91,29777.6,319.04,-824.901,21307.8,412.63
1428.47,201.713,27939.6,-115.893,39011.6,2.13472,-206.804,7653.29,2418.59
1103.56,-146.752,40124.4,1509.55,47800.2,475.236,-111.284,20913.2,408.426
-104.647,-141.238,8547.36,-1510.65,8072.36,11.1112,-209.495,10449.4,300.47
297.129,306.417,8175.25,-1844.77,16643.3,520.013,196.378,3394.62,2380.92
-191.974,-80.4229,17446.5,-1975.5,4174.83,2.25491,-115.067,2983.05,1660.17
-75.7936,-72.4022,49009.4,-2990.54,37906.3,-601.46,-196.007,7124.39,469.868
-88.8778,143.202,74959.5,-696.349,57220.3,593.711,-1263.42,12163.6,961.166
298.699,190.177,90986.7,1426.23,68657.1,-68.2922,-679.725,12795,3017.04
555.819,81.098,96203.5,-2207.81,26880.6,-1019.82,-964.021,37615.8,755.762
247.906,57.202,34978,-298.908,14007.6,393.972,-782.816,14451.9,897.43
2860.86,-74.501,36997.1,-2110.56,6905.27,901.463,92.0623,63.6997,-105.86
393.923,205.829,72242.9,-1654.52,53452.2,812.545,10.4652,10869.3,1224.19
3903.37,-183.068,17739.5,-927.519,3890.53,98.9429,-117.879,1293.84,-324.108
543.048,34.0134,64948.4,-4061.29,56909.1,404.637,-558.413,7981.89,1231.02
1532.5,-297.482,36664.7,-3271.81,6084.82,579.086,-52.6797,121.102,-88.4695
3.28409,-108.021,28447.8,-2161.9,31016.1,89.5514,-4.36704,7890.9,439.752
666.236,761.214,1336.6,-3205.68,809.684,1417.41,1130.63,14629.4,8389.74
23.9891,-251.691,50181.2,-2844.66,14657.7,20.3178,11.1945,3240.35,-81.8072
-296.037,4101.4,63835.7,-3392.7,3996.45,-397.445,2238.51,5051.42,-299.526
179.797,-45.4337,26975.4,-1987.88,29148.1,254.057,-335.849,3769.8,873
158.193,79.5241,59022.6,-1279.55,45634.9,-397.574,-197.429,30440.8,860.814
3671.82,-411.675,53382.2,-3336.87,3493.77,4129.07,394.25,1508.71,-64.7548
338.244,141.318,59664.6,-2198.28,53074.4,226.796,-82.9194,13292.2,1388.8
95.3607,-115.409,9799.43,-977.442,15597.9,141.809,174.049,541.062,207.239
-118.431,744.165,46470.2,-1610.59,1507.5,469.759,1267.71,1096.36,-390.635
324.443,44.3429,39167,-2439.03,28986.9,-257.797,-283.021,15973.7,1126.59
163.698,6.21728,6317.98,-1280.43,9342.39,-102.547,529.901,718.887,980.761
-23.7185,42.0964,18315.4,-1013.29,9291.58,-236.11,89.2792,2961.56,34.1882
854.197,1474.79,22264.9,868.33,43071.5,-261.545,-939.043,2089.82,1143.93
-126.544,190.349,18974.4,-1044.16,15365.3,265.898,-4.21704,2001.34,1050.37
1361.07,-9.09857,44136.4,-226.043,4173.07,4733.99,-989.493,103.857,52.9436
516.235,188.672,93608.7,-2863.03,54842.6,947.369,-469.219,13954.5,476.491
535.772,6578.28,51812.2,-4677.96,819.17,-349.516,662.611,3605.27,-2077.06
527.988,26.5479,76105.5,-1483.54,46715,-290.084,-986.193,20874,1585.32
414.504,95.9778,30456.1,-2466.3,19709.8,512.174,275.916,20831.6,-90.5942
141.88,-5.46512,22536.8,-1254.6,15547.3,342.562,80.7019,2625.63,-187.188
520.501,148.49,31752,-610.389,30557.9,-114.768,-592.757,11972.5,433.901
690.385,87.988,37333,-3588.91,19486,443.468,-198.928,9048.29,1943.38
4582.95,553.95,20004.4,-836.636,47203.8,1016.4,260.616,2566.53,2739.09
289.018,474.65,91920.3,-3687.38,39907.2,459.002,319.696,35150.1,607.543
98.0274,211.453,29953.1,-1612.94,19923.1,30.418,-81.1834,3239.23,210.759
736.137,-103.099,56519.3,-1683.07,39777.8,955.894,-1068.83,16454.3,256.191
273.898,44.7674,21802.9,-1191.84,15694.2,-805.423,-118.453,21926.5,706.391
96.2763,-4.50655,9997.96,-975.688,16198.6,80.3781,-12.8159,760.376,1477.01
-29.8794,104.453,34156.6,-1996.94,21964.5,196.582,-63.6425,3681.25,326.107
499.737,112.145,42937.9,-1488.09,31433.1,605.953,-687.216,13071.7,525.282
289.911,168.969,24639.1,-867.634,17742.6,188.344,-300.049,20161.9,605.431
622.745,249.097,68913.2,-4105.49,36590.2,-176.594,3.17323,11765.6,563.187
-5.04792,69.1088,38203.8,604.166,21266.4,537.073,-538.638,11908.1,1302.26
768.674,-25.0116,39647.3,-1994.23,9793.6,3166.84,-556.469,-124.168,-33.3119
361.292,327.025,85811.4,-4587.29,60945,677.055,-26.6223,22533.9,412.575
172.349,305.731,2211.38,-614.25,4671.09,86.0497,568.142,1001.58,1961.98
350.133,628.971,37083.9,-2833.99,32690.2,234.53,499.093,23051.8,596.569
-88.4654,16.4663,22338.8,-1343.47,8702.48,-429.037,-653.784,4012.83,850.928
61.0441,106.659,23161.1,-814.153,25400.9,525.362,60.3417,15853.3,726.663
399.436,-71.9661,40410,-1128.36,26057.1,230.274,-961.741,6478.6,854.878
41.5601,-98.2556,47983,27171.8,49367.8,153.547,-40.3442,5873.3,97.1015
233.637,222.189,19228,-2405.51,15610,77.4867,515.586,11742.4,366.996
341.537,299.16,40659.4,-791.335,35759.7,-122.51,-797.699,36937.3,343.239
232.009,401.162,75827.4,-1118.7,32217.4,40.3945,-344.274,20110.4,635.55
3.31795,159.6,32759.1,-69.216,21444.1,285.625,-124.789,6883.32,1251.74
-49.0762,49.195,14715.2,-1565.74,17067.8,246.341,474.733,7436.21,84.2367
1897.81,13.1144,30997.4,-1676.84,2838.29,-314.924,-12.4059,166.716,-101.874
-245.032,-161.964,2853.52,-801.544,2506.33,-127.016,-76.9081,1040.59,-107.82
448.332,248.77,35297.3,-2306.55,28784.4,-176.269,-91.289,33955.9,-26.2491
-150.678,18.7226,35192.1,-1626.7,16020.3,228.711,-542.867,1715.38,388.467
1928.27,-108.798,28151.7,-1720.42,2025.17,276.257,-82.003,255.041,-51.5331
858.48,296.543,42541.5,-3244.09,28444.1,-408.174,163.325,13941.9,692.733
289.868,320.072,49514.9,-487.362,34122.1,58.2126,44.6361,21972.3,1763.94
335.816,564.345,66632.1,-3593.57,41846.5,304.542,-179.169,8348.86,662.828
143.971,-87.9115,28516.2,516.918,19109.9,-162.078,-251.556,14466.2,916.979
2411.43,-98.0113,26964.4,-1632.99,2946.04,1215.05,-241.423,653.088,250.429
219.77,543.861,82235.2,-3260.76,55840.8,1271.61,53.5476,5708.5,242.708
245.007,335.77,31664.5,-2328.54,39980.5,247.63,138.855,9999.64,525.008
187.061,440.227,46947,-2448.81,20988.1,-410.067,-577.335,46689.8,1279.75
-50.4805,22.0693,37308.6,-1656.31,39769.5,206.505,-206.211,5674.39,346.271
-194.327,1410.66,18501.7,-2287.69,2041.7,-402.021,2185.6,3352.29,-562.917
-176.058,0.939883,37982.4,-2655.54,4874.06,167.221,236.157,1175.6,1086.54
1158.54,504.346,33989.4,-3147.81,4346.87,809.941,283.134,747.37,-336.678
-174.643,98.6235,38406.8,-2091.58,8350.64,144.49,-296.04,6429.62,124.389
265.295,130.594,18325,-826.891,20904.2,94.0611,-40.0081,13011.2,-21.1221
253.821,99.1218,5420.8,-1718.95,9964.1,142.523,467.262,1147.88,678.967
8.74669,-91.8485,19495.2,701.423,23428.8,87.841,351.827,2001.04,444.34
-114.061,-10.7463,18792.2,-1155.48,11677.3,173.517,52.8823,3845.44,881.136
538.408,-143.897,52172.1,-2528.87,45745.3,227.166,-271.442,22816.1,221.107
95.4735,33.0586,65089.2,-3247.68,72428.9,542.87,309.715,20512,1042.43
-245.867,367.147,3962.85,-182.947,1076.98,-370.862,127.012,467.622,97.6008
3198.79,-0.760774,20884.4,-361.174,3956.89,-336.109,-737.565,2076.27,63.8921
453.348,257.977,27641.6,-842.356,22268.6,-156.783,-82.0246,13214.9,22.1892
5315.91,-142.496,50833.6,-3271.18,8717.63,1307.69,-190.177,3836.62,-382.634
-762.466,5911.3,88027.3,-4237.61,1553.81,-348.568,-61.2645,7160.71,8607.16
431.969,1.41076,17062.6,-1637.83,11486.6,338.283,186.394,10407.7,1058.93
175.037,-99.0193,3569.31,-657.275,2625.47,356.591,81.8399,682.725,157.482
407.108,201.735,62513.8,-1478.76,17946.4,-269.831,-217.923,30328.8,1300.69
-441.647,6281.79,112775,-4740.77,2048.26,-898.162,97.9803,3301.58,21475.3
-109.029,-41.8039,27504.8,21607,55683.3,382.689,102.658,3551.91,177.571
209.828,201.721,48190.2,-3208.95,35327.3,-127.6,258.984,9608.65,358.689
410.418,245.215,46174,-799.812,33722.4,-39.7967,-15.6368,11294.8,713.314
227.461,136.203,25041.6,-917.701,17851.8,-348.884,686.811,28072.6,-420.192
491.911,426.757,31921,771.516,19535.6,606.009,-765.38,40957.4,800.573
175.624,157.152,28395.2,-1686.21,20059.9,-420.346,95.6339,32050.4,346.62
-2.71279,-77.7679,47658.8,17508.2,86729.9,898.579,737.142,1642.71,943.741
-159.832,1254.59,38615.4,-1622.72,1227.28,718.316,-193.538,1150.74,264.254
256.313,25.676,34617,-156.735,22548,130.725,-301.768,34768.1,1380.68
204.848,71.9842,55572.4,228.759,33128.5,-34.6879,-588.07,11296.3,1110.84
-523.263,3616.24,52470.9,-3657.28,1190.47,-247.447,-404.142,6.38805,13312.7
-11.6138,225.154,20350.1,-982.898,11130.1,515.016,-504.685,7562.66,960.348
-58.2937,31.5343,51546.9,-1785.33,18847.7,-269.487,210.896,20186.3,736.232
55.1349,27.876,51267.5,-3118.47,40309.8,-143.367,592.211,12376.2,388.653
45.4567,-135.307,7250.14,632.403,4002.08,1.4272,-332.976,2167.63,278.713
252.346,45.7658,10790.8,-713.467,18254.4,154.374,-154.228,3123.72,11.8268
95.0301,282.368,51035.6,-1137.46,33660.9,121.02,-778.597,22001,663.215
1527.74,285.364,94185.9,-3139.14,65729.5,675.76,-118.216,15729.5,1489.76
183.099,5.86032,45512.3,-826.753,2619.53,1459.05,-1272.59,2696.4,314.348
713.092,111.09,83649.3,-1807.16,67141.7,230.128,-157.763,13362.3,37.1979
-114.087,124.071,14936.5,-611.021,8608.71,-170.176,49.6121,1417.61,461.627
343.754,206.577,57884.3,-2079.46,24270.7,184.422,-138.667,26430,1073.96
404.006,61.8748,63791.6,-3134.39,33236.6,-106.179,-271.563,25070.5,550.35
786.44,104.519,28339.6,-1395.32,11283.4,164.514,-635.118,11389.7,454.31
442.077,-48.5893,34529.1,-3735.32,32572.8,340.877,66.1474,6797.47,82.726
263.937,54.3939,49275.8,-2464.88,26785.3,-88.0331,-384.446,38635.4,1916.14
876.613,30.1044,85526.8,-1918.51,42078.3,17.1327,-732.872,21175.2,934.131
1477.58,-172.252,48738.8,-1163.73,4652.05,20563.7,-764.763,1133.54,509.136
399.334,152.779,22950.1,-390.89,18656.9,487.319,-480.066,18789.5,832.104
-648.019,6761.88,69504.6,-2364.73,2561.42,-970.32,-821.848,3258.27,13376.1
60.4396,-62.914,40670,-2441.54,39560.5,414.259,-74.9823,7423.09,1093.44
70.9493,-207.427,15358.2,-1063.7,13486.1,-99.4789,129.182,13064.8,-354.386
317.4,153.052,65751.5,-2441.07,24455.5,31.2057,31.1855,15592.6,1173.4
9.61148,447.248,30760.5,-1178.91,20243.8,58.662,-273.345,20783.3,389.113
292.569,198.936,57516.7,-849.801,40799.1,78.7536,-78.0292,11370.5,1640.13
288.058,229.317,28891.1,-2165.81,40792.7,-41.6211,285.005,38228.9,1197.84
256.175,132.412,5655.26,-1376.18,15989.5,240.799,541.436,978.546,849.01
