Filename,Sample,Group,Batch,Cells per sample
CNS_Mock_01.csv,01_Mock_01,Mock,A,100000
CNS_Mock_02.csv,02_Mock_02,Mock,B,100000
CNS_Mock_03.csv,03_Mock_03,Mock,B,100000
CNS_Mock_04.csv,04_Mock_04,Mock,A,100000
CNS_Mock_05.csv,05_Mock_05,Mock,A,100000
CNS_Mock_06.csv,06_Mock_06,Mock,B,100000
CNS_WNV_D7_01.csv,07_WNV_01,WNV,A,1000000
CNS_WNV_D7_02.csv,08_WNV_02,WNV,B,1000000
CNS_WNV_D7_03.csv,09_WNV_03,WNV,A,1000000
CNS_WNV_D7_04.csv,10_WNV_04,WNV,A,1000000
CNS_WNV_D7_05.csv,11_WNV_05,WNV,B,1000000
CNS_WNV_D7_06.csv,12_WNV_06,WNV,A,1000000
