PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
-76.7087,533.202,-236.928,977.609,7567.99,-740.331,12568.1,518.458
-80.371,2358.7,-254.962,3263.6,1850.57,4032.92,170.177,-14.4197
57.9806,5056.82,12956.6,2883.45,782.665,19632.3,263.102,1150.77
-55.023,87.7038,-416.628,713.191,2838.82,-133.924,3527.33,-45.5629
-82.3344,4374.07,9052.36,1760.58,298.815,11037.5,481.223,1851.94
-81.9213,4200.79,16641.6,2374.98,198.132,10608.7,247.816,3430.21
-80.6828,5397.42,-712.992,2556.46,5389.95,8084.78,65.7806,15514
58.4301,7490.03,15549,2355.58,321.252,11890.5,198.892,1737.56
-95.145,1278.9,99.6744,1061.18,3799.32,114.119,7983.03,-93.7821
-22.5328,277.154,665.284,759.144,3653.74,-202.652,5002.4,-85.0297
-65.1544,2821.4,2944.94,895.899,590.405,18500.9,232.218,2297.3
31.3183,5188.33,7604.38,1823.22,307.249,6028.46,126.165,1634.87
3.10511,5864.14,10752.9,3279.77,89.2092,19718.6,-323.066,2620.89
439.033,4230.16,1331.33,820.719,805.291,4483.25,728.518,6023.78
-78.2193,333.036,-556.138,656.692,3636.78,-385.403,3376.71,129.49
161.167,5227.83,17328.5,2056.77,843.345,10693.1,-13.5131,2228.88
674.137,12817.8,901.524,3941.92,12791.2,8008.12,2693.36,3262.7
95.6539,248.93,-383.709,3562.32,2941.7,149.935,14711.7,435.665
-57.7041,1807.64,-36.1086,2843.2,4994.17,181.218,11017.1,361.826
84.2163,3922.92,6304.4,1753.5,1484.48,9537.54,218.786,1198.38
-124.965,3458.68,-256.144,917.951,774.078,10365,122.396,2048.33
118.245,6515.21,8709.93,4047.61,-371.16,20062.9,105.293,2395.19
147.075,2630.78,402.12,703.426,1406.14,5982.33,286.801,4815.22
60.7327,-348.556,-593.659,3969.57,2375.57,-433.904,18524.8,552.761
46.0755,4610.21,8779.77,1623,109.832,7724.39,121.883,1552.39
-45.7311,428.338,144.034,582.137,394.867,-304.218,3811.08,-190.031
530.539,2038.65,173.707,8823.29,4212.79,675.91,127.241,195.495
16.7064,5910.47,8277.72,1854.67,-12.8608,6117,213.294,4912.04
-262.765,4913.18,7039.65,1869.6,615.028,9478.62,298.44,3782.42
107.178,477.985,-114.824,4385.58,2263,-794.766,25280.6,-122.254
770.418,4125.48,-186.466,1171.06,2179.74,4560.88,1107.75,7716.83
391.567,1339.09,2984.01,7091.83,5367.17,-745.166,34945.5,538.918
292.197,580.828,-880.059,4926.45,3582.21,-544.259,21214.2,-114.362
44.5062,7446.59,107.934,1063.75,5707.02,649.196,-20.2944,42.1403
-123.646,249.059,-651.143,565.942,2564.33,253.961,6538.49,-15.9566
-258.7,-233.58,-497.036,5114.73,2947.14,-571.022,21992.9,-454.268
66.8228,6007.47,-4.0811,547.941,1200.44,10910.9,127.354,6685.41
389.821,4510.41,9115.88,1493.37,395.537,7636.34,123.392,709.576
-16.2148,5176.67,-690.785,1754.23,9757.21,454.182,108.804,714.067
1751.44,326.65,-690.768,8902.98,4756.26,100.719,52.0062,4970.4
5.66447,3940.82,5451.65,1054.17,476.236,13080.2,31.9252,1080.13
45.3497,4107.85,11081.2,2584.4,980.289,13221.3,201.846,2166.9
77.4539,6195.11,6603.15,1866.12,407.581,9683.72,-212.463,2497.87
233.44,6558.6,258.488,1346.12,2653.44,1302.5,479.328,1388.21
597.387,103.556,-1040.89,9530.26,9007.04,57.5227,12.2745,23230.7
-99.9904,139.618,-718.724,4910.19,4100.02,-136.097,22814.2,-251.122
-22.782,615.276,-603.6,1003.77,4415.95,127.323,5438.72,-402.935
-85.3,-322.558,-618.241,4700.77,2587.4,-243.711,18484.1,-1016.42
-122.478,4284.62,12015.3,1820.25,121.98,9307.15,69.6612,2791.96
45.7179,5457.95,-209.83,905.929,69.4158,10295.1,352.911,3859.93
-31.3189,4361.35,11775.7,2056.35,-240.96,19137.9,52.7551,3216.94
-3.58028,88.6889,-364.474,895.856,2178.23,-104.352,5365.22,28.691
-172.305,250.248,-317.527,7161.18,6593.45,24.15,14664.5,2885.11
-167.44,230.306,-503.488,4265.94,2093.89,-493.903,20456.4,301.78
46.9178,6574.7,6498.54,1512.62,470.789,11725.9,256.657,3255.67
-179.737,790.612,160.559,924.818,4038.49,-109.348,6836.16,385.015
342.477,4724.9,-252.973,903.073,818.835,4354.31,946.647,3894.85
-17.9464,6536.72,14699.9,2610.18,812.124,7344.33,523.008,2745.74
-237.564,304.117,-525.251,1621,3600.11,-534.079,11405.2,-154.416
-62.2534,4585.66,-825.891,729.295,1035.38,10342.8,563.028,7361.18
-50.2431,3274.69,3590.5,1063.57,1579.88,12488.2,317.718,4562.47
234.02,6505.08,-815.148,3469.98,13271.5,6995.62,400.027,23650.1
33.474,1141.7,-55.4867,1043.72,2619.98,-241.679,8792.25,-333.931
-228.529,764.029,-360.809,1603.46,3457.13,-354.166,8176.61,171.662
3831.26,613.901,288.527,7623.42,3304.52,-105.28,129.027,212.439
-30.4622,5238.83,1420.63,1105.61,278.967,12204.3,61.8422,1945.71
-20.3732,6189.19,11170.6,2214.14,-351.832,9122.31,263.217,1951.13
41.5317,10680.9,62.5193,1178.25,2045.62,500.102,183.253,315.558
340.272,-93.3843,-1148.62,5234.45,10084.8,228.078,8162.08,675.436
40.3754,715.096,-472.451,2730.07,7168.62,160.986,10872.2,150.679
5.11536,7360.18,-743.897,2754.5,6199.3,4326.41,-268.971,17702.8
103.771,1066.39,328.161,562.27,1027.17,962.75,423.392,2931.03
-25.1539,4216.11,-910.219,756.89,1101.35,13039.2,112.961,7327.21
-99.0175,3824.38,475.169,3195.53,10321.7,6648.43,196.446,11544.9
-358.545,4406.57,-179.003,904.736,1084.09,9752.52,259.434,8238.61
474.058,1178.85,-458.496,8129.16,6485.84,-396.4,26047.9,-2121.79
-164.73,905.102,444.377,6030.82,2120.72,-273.46,22301.6,279.985
-48.523,6353.59,15075.4,3236.41,-559.777,15381,148.916,398.055
-45.2597,-160.553,-707.119,4787.82,3097.95,2.34706,17679.6,425.682
142.233,5710.16,12376.3,2124.83,-483.307,9722.48,0.11792,1694.02
135.034,44.5455,-727.228,5054.29,7636.98,-665.208,17241.4,6411.45
275.163,252.987,-713.747,9762.65,7032.26,347.22,165.083,16904.3
531.174,6072.51,-919.401,1952.56,1902.39,2522.37,126.381,3985.1
32.8632,131.482,-413.678,5477.15,4441.06,-890.789,22429.9,-584.949
204.109,12.9102,-477.405,2967.88,3747.33,-70.6197,17106.4,680.897
-261.821,440.052,251.378,5608.98,2560.85,-184.918,22730.6,-112.633
-37.2442,3256.84,224.481,487.624,2700.45,3949.52,486.365,848.628
193.779,6233.96,8295.18,3167.65,93.8257,14774.4,-73.1479,990.113
