PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
-54.0224,354.51,-630.819,5894.76,1187.98,-959.808,29749.4,506.013
1885.66,531.397,-397.892,13982.7,6905.37,202.789,234.415,9981.83
-196.151,5288.93,4641.55,1214.43,454.748,13104.5,-26.8481,638.49
-26.3492,3948.69,689.194,1936.82,201.058,11011.8,-32.5885,2814.88
-49.7948,5609.18,3235.06,2249.34,1318.06,6605.78,276.394,1598.3
52.1136,1100.12,-256.998,837.788,3885.54,34.9908,8184.96,154.601
-45.7496,3912.9,-328.624,1198.84,42.2759,4483.32,112.542,7270.53
408.929,221.803,879.84,4904.89,4945.98,-239.11,17640,7688.1
258.866,4604.24,-196.865,9867.46,11206.4,28019,-174.508,17222.1
293.631,2494.29,-153.799,2096.38,2509.74,6797.68,802.574,11390.3
148.872,5752.5,-226.267,7838.43,5953.42,23595.7,-1.15713,15369.9
703.751,354.776,-585.349,5471.61,5760.2,73.9392,5603.81,20439
-83.4773,5066.48,-602.015,1481.82,2190.84,888.534,421,598.127
627.947,4001.34,123.363,2523.26,3131.85,609.534,-64.7056,978.641
1027.17,21137.3,818.371,12966.8,14581.7,19666.2,2666.65,53919
3116.8,1334.88,-998.507,15750.9,8501.48,330.338,2223.57,465.795
-33.3428,3632.4,10913.1,1496.27,937.901,12294.9,183.009,2223.26
224.492,2933.7,-218.496,5538.79,9279.94,8612.73,354.433,23363.3
1299.17,6195.65,-864.49,12994.2,15239.3,10509.1,1434.23,32564
12.1712,4600.02,2187.07,1429.59,-89.7113,11913.4,686.063,681.604
98.343,3884.01,7113.31,1571.22,943.047,12931,142.003,1052.37
67.3987,4452.19,6598.26,2393.27,980.7,22832.3,143.999,2253.57
-134.136,4268.45,11642.1,5770.41,543.907,37320.5,652.248,1629.85
542.497,1746.42,-362.676,12292.7,7130.96,1030.84,4042.21,76.0383
-163.003,679.898,-459.847,4837.29,1546.99,-503.451,22251.6,537.173
-36.4273,5227.76,9731.75,2677.11,-630.09,12416.5,394.696,1472.51
120.771,1082.31,-575.119,1275.31,730.756,3795.6,730.343,11913.1
979.216,107.57,-972.212,6346.85,5976.05,361.617,28292.9,18515.3
2.9382,5810.94,10396.3,3048.66,1930.2,9456.55,-255.648,2519.12
-167.076,5179.43,317.012,2565.15,7261.41,989.077,395.604,4852.96
126.626,3496.96,9746.02,1658.67,611.972,10331.8,454.689,1445.87
-49.207,12660,-2008.86,1819.29,6584.06,593.261,709.142,8246.03
27.9908,379.905,382.226,1119.96,3152.12,-78.8257,4822.2,557.549
15.7241,9066.92,844.759,4550.42,3207.53,-204,19005.9,1645.5
-192.922,4325.25,91.8527,1394.97,2375.51,11838.7,-78.5367,5061.39
100.712,-67.0803,-470.646,376.616,3438.32,-225.271,13413.5,162.646
-254.324,3721.23,-458.498,1813.33,1991.65,10393.1,390.247,3513.29
97.5044,3069.34,712.881,1303.6,614.971,9646.74,173.388,1377.29
7.92765,402.064,130.499,682.066,2871.75,-346.022,7103.37,-327.781
435.656,4407.16,486.891,2405.66,2990.6,4601.31,363.95,9849.46
126.498,6389.45,7807.29,2927.41,287.618,22892.1,377.85,1225.42
-159.844,5798.78,-681.29,2639.34,7485.28,3623.01,337.713,22826.9
6547.3,5842.92,-1097.02,13735.4,8085.58,5790.92,759.194,8160.95
-169.055,5132.81,1664.97,1628.27,2214.4,19344.4,227.282,5056.1
28.9432,3518.07,-405.241,4186.13,3935.62,-876.433,15408.6,72.2628
236.776,1225.57,-553.107,4873.17,7694.63,426.591,6950.18,1564.06
-232.122,256.52,-30.4364,520.842,2373.95,173.609,4492.69,-235.709
-79.4222,2908.35,6340.57,2331.44,566.597,10011.6,248.441,734.253
1.27277,6668.44,4120.16,2519.05,904.656,15607.4,436.44,681.638
-225.555,6887.11,12429.5,3567.89,3.83836,19530,380.338,2868.92
-11.538,6002.91,5729.16,2687.35,1292.01,9849.61,163.044,2829.14
12.2206,4561.08,11677.3,2375.81,789.919,17672.4,349.243,1502.92
177.918,6091.48,-152.093,3231.8,4469.35,387.574,1211,1607.15
293.745,5462.81,378.86,1136.6,1123.35,15753.4,380.422,927.395
2788.15,875.918,-594.08,7757.3,4749.28,312.268,88.6081,6382.99
-254.997,3110.1,-628.006,696.977,4476.69,400.89,477.608,11291
76.8108,4377,5464.34,2822.66,1021.39,18512.8,37.4776,1613.36
-165.364,121.445,-612.571,5682.43,3693.59,1161.11,17689.1,1904.69
4974.2,61.4588,-276.652,6341.75,2711.64,49.5089,379.259,670.425
41.4836,5167.14,14667.6,3852.12,-301.883,28212.6,317.656,1230.32
265.218,719.5,-79.7507,6023.22,4067.59,-373.247,25036.4,879.616
299.589,679.551,-317.372,6447.6,5359.83,38.7956,25898,2354.06
108.315,1406.24,-674.785,3798.19,3974.08,-52.4305,18583.3,3416.62
265.702,999.087,-149.355,915.262,1218.38,380.154,413.319,1150.93
168.956,1829.46,5.65062,3399.49,3096.45,876.202,476.728,824.417
-163.86,1233.03,58.0094,7721.11,2455.83,200.67,31286.7,2853.62
2.97796,3770.25,3858.88,1560.74,856.641,19378.7,228.257,1854.86
79.0805,4219.63,12711.1,1756.57,919.155,9257.95,159.553,899.922
8.73051,4638.13,4831.28,2034.55,580.734,14430.4,504.256,76.6153
33.1547,5256.7,5299.8,1988.11,1541.86,6413.14,161.725,966.566
184.241,216.308,-493.591,6035,3944.84,23.6672,14815.2,15067.7
3484.46,-43.8089,-186.997,5855.46,2575.38,295.138,-251.991,238.231
-20.2928,3973.55,7730.1,1471.55,430.919,7976.16,-17.5537,543.656
60.8084,5668.46,11822.1,1689.82,395.019,16770.3,281.742,1168.98
-74.5258,757.619,109.719,4832.77,2832.99,60.6628,19883.6,38.3556
-78.878,2192.65,-284.556,1394.39,3340.93,1002.16,-115.191,552.655
8.93874,4454.43,6698.51,1773.23,-269.676,6690.93,365.573,822.255
352.164,3543.69,546.593,2326.72,2152.38,7029.59,1131.84,10381.6
-86.6502,4704.8,1594.81,1176.23,500.702,10138.6,262.905,1454.71
483.612,6582.67,-746.084,2771.38,3723.55,14222.6,1361.96,5254.89
