NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
42.3719,40.0987,6885.08,-344.783,14787.3,-40.2399,83.7175,958.7,711.072
42.9586,119.014,1780.29,-429.665,5665.73,86.6673,34.7219,448.259,307.272
59.2366,206.238,10248.3,-1603.84,19894.3,427.831,285.88,1008.83,707.094
364.948,-0.233878,3740.04,-815.98,9509.43,182.42,333.605,440.071,249.784
440.247,40.0352,9191.38,40.5055,5745.82,-211.694,149.22,87.4815,867.57
151.589,124.525,4256.17,-596.13,12200.8,94.077,109.311,417.401,352.982
-25.0254,114.917,4206.72,-787.168,12227.7,183.869,195.495,245.764,436.935
91.3912,15.3263,3673.56,-246.387,7040.34,384.551,117.133,504.819,438.31
56.4442,-38.3786,9129.14,-422.099,23569.6,435.324,196.754,389.072,1714.39
206.727,216.563,2970.59,-42.07,7393.8,191.866,23.6561,97.292,689.716
-58.7602,224.696,4845.85,281.13,10309.4,384.199,12.9359,277.587,828.349
21.7196,-4.78723,6041.3,-735.492,16254,448.349,277.018,590.117,1215.92
61.6817,101.768,2490.46,-496.159,6222.46,380.641,142.651,769.486,830.535
110.287,73.9522,3444.99,-306.993,7884.8,106.431,177.696,87.6547,1033.32
-82.4645,975.62,1302.28,-383.104,1558.35,31.8488,692.808,2547.24,1538.79
-40.5028,125.562,30759.3,7375.74,21262.2,142.793,103.374,15781.8,111.967
253.145,71.4176,3493.42,-852.932,7656.15,387.848,650.657,547.523,1352.03
-35.467,126.919,2153.16,-773.445,7994.08,228.557,348.517,1012.31,625.287
66.3791,-15.6009,1834,-61.0364,5328.6,30.5178,-37.407,313.901,69.8157
250.686,210.815,8046.83,326.387,14379.6,412.146,29.7603,203.622,1074.22
-176.56,128.51,2939.15,-187.968,5080.88,-40.9173,204.67,71.8151,142.575
180.95,149.396,1356.57,-286.616,3513.87,439.94,167.276,209.552,740.213
309.315,226.169,24856.7,-2072.15,39591.4,386.471,520.89,736.481,3905.18
11.8777,21.3651,2695.41,-800.404,8626.53,88.6648,226.975,618.154,399.349
40.7267,69.6219,2531.35,-339.44,9295.07,2.36385,218.692,534.806,499.814
-24.3879,140.408,3437.79,-8.1506,10981.1,72.473,20.319,253.051,-116.481
115.053,-66.3974,6337.35,-811.808,14034.2,4.44459,596.849,404.176,431.914
-11.9852,98.191,2270.07,-343.496,8486.77,-79.7401,56.0267,184.828,406.427
284.187,52.1604,4246.06,-743.475,14253.3,241.917,223.01,784.225,881.377
-45.8057,75.0694,4200.92,-1094.14,10048.2,173.559,478.134,1163.42,522.194
63.9003,42.9444,5235.31,-94.1231,7824.37,184.158,3.35779,648.911,1689.2
59.0569,237.682,4367.86,-570.246,11109,-71.2188,291.554,298.012,1439.47
137.915,-86.4214,2486.24,100.295,7936.23,-48.8479,116.55,-95.7557,542.109
146.528,28.9937,3303.13,-194.292,7995.96,436.087,61.9944,679.138,984.27
-76.5672,36.1315,1434.19,535.985,-6.62633,-13.6294,-2.42486,191.261,-36.1024
-11.4326,275.418,4184.81,-528.702,5303.88,321.787,349.258,1108.87,1122.56
-24.0352,252.589,6375.54,-252.754,9994.33,257.737,93.6398,591.857,477.737
-68.3674,295.507,7187.22,-648.998,12670.1,168.859,228.179,879.474,625.504
79.6307,520.376,1221.33,893.967,5292.79,899.481,210.585,1888.44,2146.37
78.7477,352.023,2397.58,599.096,6634.97,315.061,-103.189,339.087,1503.08
498.419,-5287.06,5431.28,824.812,1718,-296.242,-847.96,1390.43,-4797.39
-5.28862,1068.36,2396.3,-328.788,5791.61,57.5096,87.4177,7954.74,663.024
-722.031,8456.18,55322.5,-1418.67,677.113,-869.279,-621.275,4509.67,20192.2
20.3656,51.6984,5053.25,-479.773,14034.8,17.8822,-30.5091,57.4196,115.066
124.571,165.763,4180.78,-557.119,7816.09,186.554,83.3841,384.462,871.767
131.075,633.671,7312.62,-1309.33,15139.5,750.454,424.215,3112.62,2823.49
201.643,66.5851,6332.06,-388.807,11443.1,258.019,-182.823,1117.27,813.553
-47.4769,-9.92212,2567.36,54.9505,6874.72,100.574,72.5257,-54.5288,99.6476
-46.3924,107.178,2516.98,384.501,6730.68,-12.9019,-41.0659,173.884,102.266
148.26,109.554,37071.5,12522.7,31078.6,566.727,-130.682,17829.3,2062.44
-11.0034,170.373,3601.7,-149.575,15633.7,438.045,-28.5568,622.579,130.718
228.615,-134.817,4231.51,-226.351,10781.8,358.289,52.27,378.387,658.942
201.371,166.891,17823.9,-1475.64,3253.69,-360.957,95.5551,72534.7,2318.73
17.2558,181.368,4985.3,-420.324,13251.4,107.777,1.70055,690.723,528.107
64.397,114.519,17477.1,5702.66,20345.8,-22.8597,-388.451,13617.4,-311.862
153.343,73.9361,1623.6,-242.08,2776.81,-100.819,97.8513,1684.39,1766.4
132.365,213.242,4262.58,-310.973,11378.2,294.904,127.927,504.049,913.14
77.096,-64.295,1752.66,-879.026,7003.32,35.3606,301.81,-4.8121,538.874
-95.0454,22.4583,2095.64,-252.964,1693.33,36.7916,-122.329,280.651,1.28467
1284.59,1432.21,8666.96,-1261.48,2314.11,2154.01,284.353,1776.35,3288.04
152.364,44.3277,3134.09,-481.878,10059.5,-37.4924,173.66,357.924,336.036
104.408,98.575,4170.88,-73.8035,9088.64,81.426,-71.2805,489.576,194.26
102.957,23.9302,3690.98,70.8962,9378.24,620.45,-90.3625,594.14,905.019
346.876,52.6907,6823.77,56.3518,15648.4,506.233,-73.186,110.625,1048.61
-32.5694,27.1961,3280.97,-866.161,8744.3,-195.749,257.372,404.928,478.938
