NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
366.033,348.162,51296.6,-1319.83,24801,62.5938,-346.544,46608.3,738.127
734.327,243.558,71236.5,-1442.39,41777,-525.358,-1062.58,18522.4,1110.41
29.8956,60.0654,61092.6,4444.4,76903.1,339.215,-262.6,5836.43,673.273
30.2935,228.305,56818.8,-1934.66,27213.8,354.216,-131.27,10802.1,785.144
236.859,60.8112,36167.4,-1008.85,26061.2,256.396,-513.12,10139.3,1082.4
-34.7121,101.963,17178.5,-977.487,11320,210.496,-109.395,14890.3,-127.683
63.767,-25.4701,26932.3,-2130.12,293.53,7192.69,453.487,797.961,-147.563
414.133,193.152,80876.3,-3506.43,20094.3,84.9107,-476.186,34043,677.638
304.854,169.672,28450.2,-1852.3,12026,126.962,162.61,14589.8,33.228
-64.5606,102.439,9305.97,-509.527,5554.67,-20.0683,-91.3779,3621.99,408.687
401.642,37.2537,96416.6,-3691.37,42351,-904.167,-3.99037,17587.3,436.922
253.244,-60.6962,80800,-2677.78,40292,449.771,-658.227,6817.32,-24.2739
2922.41,3.02649,69046.7,-4658.07,3433.84,855.87,286.635,1072.36,-451.152
119.468,61.1537,25675.3,-2839.04,10662.4,-84.5526,45.3909,11172.6,182.163
607.617,358.714,49900.2,-1660.54,32000.7,-333.955,-247.084,35400.7,1183.42
181.862,198.693,38826,-1105.93,21534,-24.4143,27.4945,19108.5,283.502
122.326,-78.7501,27578.6,-184.629,9728.07,559.844,-670.063,3832.72,143.671
46.8871,112.88,20235.5,-2272.92,8141.04,-473.7,463.34,13376.1,644.591
83.8347,179.383,8365.48,164.089,3434.49,314.09,-25.984,6315.42,422.712
254.051,283.823,48261.5,-3144.03,19084.6,319.801,53.8655,34179.3,158.474
-32.1746,76.92,2015.84,-147.674,6869.5,-91.3202,33.082,1283.7,756.443
-37.662,9.06573,4095.06,-350.916,11053.8,204.829,7.74297,834.017,24.7825
36.0089,-49.5943,29440,-863.212,23285.9,118.254,412.049,9541.87,359.433
82.8199,155.789,83148.9,-1129.42,38418.1,172.903,-402.935,12749.1,1832.15
-361.073,5068.68,100806,-1424.08,6358.45,-537.939,-871.393,4493.94,15619.5
121.271,163.26,40701.6,-1352.6,25319.3,197.85,-1160.66,49206,929.864
224.043,243.699,27660.7,-842.369,22142.9,-296.798,-498.7,19146.4,477.547
3020.35,-109.606,79535,-2398.23,4402.91,1356.17,-1109.33,1278.33,449.499
166.627,-171.236,78011.8,20623.1,129754,699.525,432.896,5704.88,1575.61
22.7633,269.617,25412.2,-1124.01,8372.1,-508.89,-305.706,21801.2,968.384
-76.1158,141.721,36266,-123.602,22341.2,157.425,-585.138,10731,766.746
