Filename,Sample,Group,Batch,Cells per sample
BM_Mock 1 CD45+_B cells SCA1+.csv,Mock_01,Mock,1,47882
BM_Mock 1 CD45+_B cells SCA1-.csv,Mock_01,Mock,2,2637
BM_Mock 1 CD45+_Mature Ly6C- monocyte SCA1-.csv,Mock_01,Mock,1,11725
BM_Mock 1 CD45+_Mature Ly6C+ monocyte SCA1+.csv,Mock_01,Mock,2,229
BM_Mock 1 CD45+_Monoblast SCA1-.csv,Mock_01,Mock,1,1747
BM_Mock 1 CD45+_Monoblast SCA1+.csv,Mock_01,Mock,2,68
BM_WNV D1 1 CD45+_B cells SCA1-.csv,WNV_01,WNV,1,48407
BM_WNV D1 1 CD45+_B cells SCA1+.csv,WNV_01,WNV,2,6514
BM_WNV D1 1 CD45+_Mature Ly6C- monocyte SCA1-.csv,WNV_01,WNV,1,11672
BM_WNV D1 1 CD45+_Mature Ly6C+ monocyte SCA1+.csv,WNV_01,WNV,2,2081
BM_WNV D1 1 CD45+_Monoblast SCA1-.csv,WNV_01,WNV,1,792
BM_WNV D1 1 CD45+_Monoblast SCA1+.csv,WNV_01,WNV,2,227
BM_WNV D2 1 CD45+_B cells SCA1-.csv,WNV_02,WNV,1,42393
BM_WNV D2 1 CD45+_B cells SCA1+.csv,WNV_02,WNV,2,4405
BM_WNV D2 1 CD45+_Mature Ly6C- monocyte SCA1-.csv,WNV_02,WNV,1,14217
BM_WNV D2 1 CD45+_Mature Ly6C+ monocyte SCA1+.csv,WNV_02,WNV,2,961
BM_WNV D2 1 CD45+_Monoblast SCA1-.csv,WNV_02,WNV,1,1227
BM_WNV D2 1 CD45+_Monoblast SCA1+.csv,WNV_02,WNV,2,102
