PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
-5.97825,3760.31,5645,820.963,289.98,10695.7,176.291,2808.79
49.8733,5069.09,252.364,781.295,61.9789,9308.34,-305.957,3636.84
12.8026,507.473,-586.814,1266.53,1937.96,-229.111,9069.95,137.238
-80.4753,8867.71,-673.904,2278.44,11096,1329.49,251.79,25643.1
-13.5403,-81.8194,130.779,4403.85,3257.83,-606.65,16648.5,124.33
-70.8759,868.385,-471.637,833.047,3694.26,144.287,9337.24,149.367
12.4741,4905.01,-1095.65,5335.41,11462.6,22902.5,510.15,12825.9
110.057,245.976,341.539,2927.13,5004.88,213.82,13304.8,710.013
2174.41,3805.75,255.524,4439.93,1063.77,-74.1409,15737.1,320.487
7.98648,3985.71,3392.37,2689.91,-28.9174,15972.4,427.275,2282.38
132.778,4121.65,3679.43,1266.42,473.487,12892.7,177.648,1866.98
-153.554,6677.49,-2266.02,4473.15,16908.6,14313,701.352,42070.1
-125.773,7294.12,15097.5,2565.59,583.241,13627.6,291.226,1609.54
-121.714,621.623,72.1968,1227,2360.88,-76.388,6943.42,-28.029
-13.8868,489.139,-53.6184,1224.23,1778.65,-407.168,7897.21,278.016
-25.2778,5466.16,11209,3686.07,546.909,19366.8,281.031,1951.23
39.6516,2488.81,415.816,955.025,4304.98,271.343,93.3013,233.395
-31.8104,356.457,-1142.25,2126.03,5447.74,61.0175,386.608,307.277
-38.9004,3005.19,296.838,960.335,1060.34,7234.31,521.105,6713.37
-101.27,391.919,-405.537,894.963,2945.21,-119.177,9814.93,110.732
257.988,11967.4,-938.24,2482.64,10286.7,2230.76,-151.836,27413.5
415.646,3640.29,-175.395,465.734,1236.87,3876.99,742.156,5163.99
109.951,-25.0073,-199.548,916.993,3476.54,-316.787,10194.5,-191.234
207.048,5755.04,96.8148,986.701,1062.07,15590.2,-141.128,12131.8
2253.96,-137.766,-554.104,5600.7,4730.45,68.9901,48.4023,6400.18
71.2717,773.614,-599.18,867.801,5024.63,328.796,5544.15,-2.43138
-65.1899,3654.13,943.548,841.29,1105.53,13487.1,479.476,8512.83
2784.22,-206.65,-202.45,8344.18,5519.86,-307.522,-191.497,479.481
-48.6937,438.597,-593.492,448.368,2329.46,-624.138,10461.1,15.0786
-139.941,4592.18,14977.3,2020.91,717.853,15750.1,218.541,1876.06
215.127,4036.15,6896.89,1435.11,771.923,20259.8,96.2332,3375.55
79.007,6277.22,12245,1637.4,1220.55,14628.3,741.947,2356.61
159.076,4368.81,14636.7,2138.42,56.6627,10490.7,404.397,2538.67
177.58,5222.22,14315.5,1677.07,723.545,13497.6,-14.69,1596.7
155.476,4929.73,5880.85,1434.3,612.597,18011.9,221.206,1449.3
35.1245,4050.39,3408.98,1371.54,578.888,12693.6,308.174,1519.05
175.072,2928.98,219.653,586.03,1288.82,14141.1,118.896,9356.77
85.1141,5393.09,6186.84,2275.45,660.471,13377.6,-100.164,1401.99
-36.7706,3166.48,-166.62,1242.23,-541.738,9271.2,539.917,12170.1
533.982,3659.7,527.263,1097.9,1692.84,6160.41,520.13,2245.88
125.149,684.456,-271.893,776.339,2647.62,-131.347,8285.64,-693.056
59.3872,3851.53,1343.37,935.755,637.055,13000,-212.773,4305.56
-97.0016,-70.229,-331.255,2255.44,4742.67,-604.624,14041.9,416.72
-103.637,4368.5,-266.201,2518.97,2760.81,-298.487,11655,83.1415
39.6157,4662.97,4838.44,1818.54,1433.4,12502.2,271.686,1830.69
193.096,5476.22,126.031,2718.17,6895.02,324.57,16972.9,46.2324
50.8833,-144.948,-105.306,4952.59,2056.34,-297.341,21790.4,85.7324
-134.562,5810.94,11162.7,2674.5,458.506,14731.1,247.764,1420.61
-44.3689,0.0487673,-2210.14,1686.96,17834.3,804.915,-281.494,4324.28
-155.771,6883.71,9113.25,2342.29,-133.701,13128.1,356.716,1968.75
156.895,6237.96,5117.22,1809.66,270.438,9615.36,308.748,4014.64
-74.5461,3618.31,1505.72,974.667,563.361,10432.3,204.416,2201.06
139.217,6564.54,-1793.84,2506.66,16194.1,3813.72,1080.86,29270.1
4.37379,4315,9722.07,1687.96,252.514,10048.2,173.33,2561.35
76.9073,800.594,-340.025,1760.07,2447.68,180.591,9426.45,155.58
18.034,2302.45,-251.017,1645.64,3132.29,995.43,-83.1644,771.438
-12.3492,2944.59,7063.18,742.602,104.19,11651.7,-33.3536,1596.51
29.552,265.428,-488.338,1182.54,3074.06,529.209,5380.62,297.691
-137.355,5855.85,11324.8,2002.08,581.683,11172.1,192.915,2102.79
158.282,5788.27,8193.6,2379.1,969.259,7241.16,246.028,2622.96
-126.766,4147.42,4789.26,2401.32,48.5454,21186.4,290.844,2299.88
-119.042,3752.04,11449.8,2299.4,541.189,10019.2,47.96,3328.58
-14.6989,187.092,-141.263,3928.8,1563.7,-266.652,25749.4,958.125
1039.01,16590.8,-1079.43,9982.21,17340,527.136,2309.59,2305.23
-25.565,3746.62,10265,1404.2,-489.724,13335.8,25.6996,670.557
107.324,821.188,502.528,1000.69,9254.59,687.623,208.952,186.273
9.2814,10974.9,-63.8038,5329.68,9051.05,8672.45,273.815,19388.8
39.194,235.386,-171.384,1162.14,6507.31,133.353,9045.92,265.256
605.485,155.664,-407.28,5567.19,7242.23,441.063,16986.3,1402.55
123.043,4177.75,4076.89,1585.28,1281.14,9460.42,329.052,2109.8
70.6883,5297.52,7119.52,2240.68,906.623,15399.7,124.254,2661.43
9.02655,7059.3,9578.47,2321.61,803.709,11369.8,309.853,852.291
144.738,854.317,-601.548,1626.13,6672.22,98.0638,482.287,6356.48
152.766,4762.25,189.858,8942.73,6428.38,25897.6,383.853,119.972
138.363,-61.7015,-1177.83,7186.15,9048.76,224.665,17707.9,8881.44
2.50399,3139.62,8771.14,1441.55,181.236,21606.2,39.5936,2369.92
-61.7094,6381.74,11303.1,1371.9,173.266,12225.5,205.646,2210.87
-36.9174,3898.29,5241.1,1126.2,88.7976,11236.4,508.328,791.25
-25.8073,4307.59,8127.95,942.865,852.011,9501.38,347.401,996.631
90.7045,4944.72,4857.77,2073.84,-355.597,10156.9,448.865,3098.11
59.2787,247.025,-202.616,1486.29,4107.56,-22.7365,9101.88,184.904
77.3357,4738.54,7484.4,1858.81,460.562,11862.3,120.972,1443.86
138.442,5021.34,9511.38,3146.56,356.364,17350.3,733.51,1517
-112.056,4351.96,9204.68,4499.59,-444.348,23934.9,307.176,1560.02
286.568,4433.41,-548.313,1772.66,1677.08,6155.87,1100.44,3775.88
-122.248,96.5478,-147.046,1428.51,2282.43,-303.338,9551.35,169.411
231.759,1644.58,-176.072,834.25,1702.27,8417.07,51.1949,4268.85
100.429,7194.68,213.162,1427.62,8764.56,728.141,196.127,22773.7
81.293,5938.55,-196.363,3087.39,4582.39,11343.5,239.64,10319.3
119.542,405.308,808.973,735.043,3628.87,-66.9283,3648.24,-19.8988
271.582,5252.3,11832.6,1715.91,574.726,11836.4,-144.668,1938.49
10.5361,3932.03,6972.58,2343.19,234.2,11005.1,-317.146,1544.75
115.112,6130.16,11181.4,1347.37,471.829,8168.06,208.691,2202.68
210.585,4604.22,1933.16,1493.95,195.02,12142.2,93.5663,3767.78
449.15,3133.01,-290.681,746.065,1186.53,4074.49,329.066,3358.28
-22.7814,550.6,233.716,808.722,3160.43,-43.281,4795.3,140.323
78.2485,-491.268,-106.942,2699.8,1454.24,-406.488,14482.2,-908.596
-193.296,6550.57,-126.642,3110.93,7563,13591.4,280.15,19224.1
-121.468,917.815,-169.37,823.271,2259.7,-115.778,7377.62,-225.348
52.5189,4180.12,7966.18,2698.01,-125.627,12878.1,-208.354,1729.96
25.9482,2980.37,3121.39,1395.84,401.273,18196.7,-61.3757,2084.13
195.209,7191.21,-826.664,3089.07,9262.11,6643.05,-343.034,26102.1
-27.6894,519.653,-229.092,2145.2,2576.79,-60.8814,16925.2,27.3104
442.153,7934.32,523.412,5794.32,6036.74,21092.9,363.986,16137.5
63.0409,392.073,-695.043,1854.85,3806.1,-330.07,14240.9,-52.2526
-39.9789,3023.2,11910.4,845.061,698.191,11930.3,-329.305,1984.09
-81.0031,-93.8406,-689.682,771.549,4427.46,36.0732,6885.88,374.234
52.6026,3672.36,10841.3,2897.06,903.273,7054.13,38.1704,2395.19
87.4858,353.409,-318.165,519.79,5169.42,-131.951,7383.57,204.263
-48.6993,6887.59,-73.741,1171.98,3308.12,-660.963,14323.5,-45.7174
207.505,5939.33,12064.4,1548.92,1501,14670.7,539.301,3409.29
-35.9318,20183.7,-1068.91,1795.17,11193.7,1959.96,455.571,27335.5
71.5561,4370.81,-127.506,455.799,442.848,11800.4,504.406,7857.8
-41.4083,5195.83,6040.95,2783.43,663.573,14589.5,368.812,3491.66
-36.2808,392.388,-596.708,683.872,4029.35,-112.906,4842.51,407.437
-158.07,2945.87,1106.3,948.016,392.234,13863.1,27.4439,1282.41
4665.39,-191.327,-355.975,8029.97,3739.3,26.6399,6.68007,-4.44316
107.28,6686.11,12530,2031.44,1681.13,15154.7,159.978,1853.26
-171.875,6947.18,2372.89,1659.54,676.222,4915.9,143.832,1833.2
192.504,5025.97,-616.42,1544.93,5764.63,459.746,142.38,523.968
309.694,6213.82,-305.076,813.383,2033.24,2285.01,197.96,13411.2
189.472,4830.47,15806.8,1627.66,-123.575,8125.42,478.444,2728.67
11.3657,548.224,-777.233,572.889,3613.4,-337.966,12301.3,43.1797
59.1038,5769.44,10137.1,2062.88,93.5911,9180.4,166.313,3008.5
37.343,2033.95,3628.14,689.079,325.84,7842.99,-142.2,568.821
29.2649,3839.2,10635.8,1946.44,1127.5,18565.3,36.5476,1764.7
24.0045,4070.54,9416.82,2484.91,541.85,17649.8,359.388,2456.43
27.9463,63.9067,-347.676,983.116,3450.11,207.609,6230.48,70.6757
-116.617,744.205,-517.886,623.814,2416.25,-125.005,4660.09,-89.2452
180.465,2199.3,-301.142,1109.1,2263.89,532.211,32.2907,254.519
169.409,4209.75,207.778,5166.06,7360.95,14803.4,937.931,23946.5
216.245,6779.74,388.753,987.901,1521.67,25580.2,794.903,17413.8
2217.97,321.793,-612.392,8060.43,4071.18,427.716,357.479,23192.1
31.1839,6046.84,-558.112,2250.14,6212.77,5608.3,-39.2475,22160.3
3079.57,1704.88,-680.522,12443.6,6371.81,1006.15,183.087,469.435
-6.65166,343.773,-740.767,402.245,3192.25,186.537,6396.38,60.844
100.154,6205.31,10906.1,1927.76,1306.42,10017.8,312.747,5546.35
-81.0786,5465.39,14254.8,2045.62,-280.549,9838.14,220.018,1316.4
-283.988,218.6,-692.6,1413.82,3886.8,-288.686,7948.16,-1508.55
750.982,2255.73,-353.693,388.67,1210.26,6455.4,871.09,1548.82
-3.33084,5102.14,10822.9,2509.87,440.097,15880.1,-90.7255,2045.52
-135.501,3051.47,4642.98,1422.01,549.01,19785,98.3376,2006.24
-11.0303,5481.55,12721.3,1670.11,395.979,8987.57,-77.0985,1206.39
-74.7127,519.917,-225.107,365.111,3240.84,-199.486,4807.65,-132.404
-67.6727,4282.04,9597.16,1725.85,233.317,13500.9,343.879,2416.66
-112.805,3264.85,2174.89,1151.5,446.526,11142.2,-10.0515,2360.84
69.2683,6619.04,10300.4,1876.24,983.218,12336.6,97.8638,1752.03
105.557,1212.69,-196.265,1028.22,5327.87,-200.839,10107.5,-383.95
32.193,724.361,-941.601,2786.26,6610.14,-854.842,18803.5,128.496
-67.7488,407.259,-467.28,267.071,2721.62,-237.261,7806.95,-192.685
217.483,4558.28,7704.32,1607.79,1736.33,14280.4,74.5436,2964.45
-117.156,6477.67,-1016.79,3297.21,8983.73,8089.3,-344.019,25071
-124.03,1214.09,-301.516,1020.83,2765.79,-79.7865,6511.73,84.5111
52.3506,4129.26,7987.15,1355.37,420.413,10509.5,390.725,2480.73
176.042,-285.222,530.812,4182.72,5034.13,-680.338,17678.8,-754.315
-0.552782,2516.23,1164.92,1222.96,1426.69,15917.7,132.569,2796.71
53.7988,5752.59,-351.681,1524.55,5068.89,581.538,-276.315,549.112
43.6357,6099.57,13633.9,2381.55,-193.415,10398.3,394.759,1739.97
-36.9086,288.501,-362.184,744.19,1712.37,217.733,3381.18,-225.435
473.125,925.44,-597.794,361.91,2730.9,5416.22,2151.37,15730.9
20.1067,5074.06,709.809,4705.47,12434.6,9907.13,218.652,24112.7
-107.254,159.774,-522.438,941.51,3278.61,306.019,-197.306,-374.31
128.408,4483.73,12145.3,2445.63,-504.953,10165.4,-42.7462,2261.79
134.58,5809.59,7449.59,2050.94,-0.110239,9936.57,137.575,2482.11
194.819,4626.74,11019.5,3292.8,182.14,25038.7,132.151,2175.56
52.3616,7276.51,-700.398,1210.82,4138.88,2056.11,88.2302,-160.205
181.443,6561.36,-1450.44,5238.13,9258.38,8581.96,-25.373,18578.2
2360.36,-200.974,-789.41,8521.45,5933.31,161.649,134.688,6650.83
157.341,5710.05,17202.8,2426.52,18.6535,13122.6,100.921,1921.33
-52.8549,5116.17,10350.6,2865.18,-127.305,17032.1,149.484,2972.56
20.7058,4712.34,11081.3,1347.73,606.748,15885.3,320.502,2669.99
199.716,3936.29,-131.707,1289.19,1048.96,24048,291.596,1227.95
-45.8994,6148.99,-36.2998,5439.13,9510.18,281.023,8734.92,1220.89
-38.5357,3026.04,-1647.71,1478.26,10804.1,279.362,223.906,1693.69
42.6506,1243.9,117.506,4245.68,1537.96,-64.811,25462.7,-127.328
-72.3495,928.647,-255.012,3057.65,4685.47,-315.085,20729.3,558.149
-19.7478,5191.99,7793.58,2104.88,-95.7069,10811.1,156.947,512.223
5120.25,-204.108,-443.879,7427.4,7009.7,123.934,543.766,-51.8707
74.2769,3866.24,26.6978,803.055,399.674,10851.3,197.799,4737.04
-166.133,556.725,96.8694,1364.62,5992.23,394.787,5969.99,235.949
520.988,6125.98,432.738,1052.04,583.406,2814.84,650.788,6743.53
-221.084,6819.3,-734.749,4139.84,8175.49,10721.9,318.775,26351.1
624.249,3038.87,311.222,647.459,1363.41,12621.1,902.886,3487.57
-164.313,689.704,464.906,729.698,3150.54,-140.493,9654.88,38.6664
-0.629513,-174.304,-839.785,555.946,6852.03,-378.049,4717.83,126.037
106.2,4972.56,16395.4,1876.12,500.51,9521.34,157.684,1164.76
-28.9554,249.706,-294.675,1907.51,6032.27,253.337,9950.34,412.068
-124.483,766.16,-572.633,5009.12,1817.3,-490.165,21766.5,-171.508
580.41,4375.02,365.975,1756.2,1796.98,3957.41,233.585,2102.39
220.298,134.134,-956.605,1791.96,8387.8,345.102,1848.49,-46.1252
-103.253,10.1151,-437.112,4791.83,7665.03,123.285,18753.1,9356.09
126.68,1912.14,-230.499,388.946,333.238,14801.1,558.481,4537.92
99.9105,3370.02,699.414,833.436,775.651,25335,334.861,5345.68
-0.496783,257.582,171.242,1082.27,2746.26,-364.689,4974.04,41.8744
75.3787,3307.62,2223.17,1093.82,1353.01,12571.4,-78.486,3156.9
283.813,239.899,-286.808,4575.38,3158.6,-166.549,22281.5,-61.1493
-7.26736,4226.39,1655.81,1179.83,823.275,11525.2,82.8608,2002.64
3.12939,1026.62,-120.939,627.704,4504.72,-273.263,7214.4,56.3231
200.632,5271.42,6600.55,3192.63,71.4229,20237.5,176.585,670.1
6.08345,69.5254,-626.524,995.836,3945.28,-41.1427,8405.05,230.672
307.078,3984.93,-503.245,820.368,7501.37,1782.3,-36.27,30134.8
127.379,283.906,-226.077,2214.79,4579.37,-328.928,16379.7,-124.545
3.5777,1209.08,260.701,414.1,4640.93,-65.2377,5721.97,-17.816
-36.5675,3905.34,11111.5,3555.25,-26.4821,27058.5,432.516,3989
-33.5152,6046.22,10763.6,1945.51,-242.211,7098.99,9.10316,1393.36
-22.8824,498.989,-631.645,576.198,3999.12,92.906,4910.3,217.447
-66.5323,274.676,-898.813,521.264,5248.02,-20.353,7740.24,219.908
-158.314,4902.86,13569.8,3335.29,1110.8,20433,311.546,968.301
81.9131,3940.16,-515.173,2682.52,7289.23,7669.78,671.58,13872.5
489.547,9591.51,-507.694,2940.72,6413.81,11188,31.3129,25123.7
4.28591,4752.69,6207.5,2126.32,459.647,13493.4,-288.471,2911.4
-115.349,5781.94,19822.3,1920.25,-937.542,10824.9,-9.06339,1796.41
-167.863,221,-568.173,3806.41,8159.02,377.455,7448.76,4024.03
823.128,743.605,-476.535,3522.51,3282.44,523.369,167.555,545.769
305.182,4125.92,9093.91,2091.5,690.335,9135.1,472.783,2149.93
-180.395,306.308,-523.85,353.74,3896.05,64.5604,4941.14,164.452
254.302,5431.95,15522.4,2569.46,-41.4957,6579.63,236.637,2059.26
458.372,5112.56,310.719,919.017,853.872,5877.75,500.512,5851.14
-109.086,4028.28,8040.11,2089.9,564.34,10477,245.677,1834.47
-1.4864,3385.05,10069.7,1249.92,506,15733.2,199.307,2409.33
104.904,5738.67,692.938,1594.47,1662.59,20503.3,517.859,3228.55
12099.2,-663.269,287.809,8713.99,3266.16,-65.8506,126.712,146.091
172.006,3851.28,-859.822,2560.28,4447.05,266.447,-53.4829,242.532
-74.9032,4473.27,12784.1,2549.01,-195.21,16206.1,178.595,1339.53
-0.375172,537.624,232.349,705.185,2600.48,-249.141,8452.17,99.9102
-41.7597,5048.87,1696.83,1820.17,883.648,9399.73,155.535,6019.66
289.052,5068.11,-10.8806,1035.98,2461.48,5436.12,224.019,10554.1
56.0766,6576.35,18697,2020.65,-118.937,9872.68,262.075,1485.25
-165.782,2656.28,-446.286,3040.42,8349.56,3973.58,670.752,16860.3
-92.3186,686.694,-220.003,1107.83,2934.8,147.341,5915.57,240.996
-155.714,624.855,-129.177,1416.75,1551.26,-159.444,7356.99,72.8543
26.3608,7035.12,7734.29,1883.3,1011.86,14126.2,95.4138,1328.44
117.481,6091.19,12170.9,2296.74,103.817,7203.3,-94.2906,1249.01
121.145,7303.29,11781,2229.93,-145.929,9717.54,178.5,1308.78
72.4218,6375.02,-304.427,1840.8,8528.58,2256.78,207.848,23137
138.63,64.3374,-915.107,2239.41,3895.17,-314.272,14692.2,-171.127
134.475,395.117,-510.313,769.715,2100.41,-334.655,6871.22,198.814
1.9716,3561.81,12806.8,2322.6,462.895,8098.74,-124.382,2259.57
121.617,4884.39,5969.14,2151.83,1201.15,11593,172.858,2321.84
-65.33,4857.36,13590.8,1562.05,846.816,8005.94,76.5502,1338.33
