PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
32.6076,182.352,-453.534,65.8074,1020.35,485.885,4723.76,414.905
146.969,564.814,257.697,2963.19,3713.45,0.384035,24030.9,-513.54
140.259,833.015,39.3086,606.215,2393.9,1440.1,203.557,1094.23
303.961,903.105,-1481.58,3362.11,5294.33,1690.92,32764.5,6071.66
57.7693,1038.09,1473.48,513.633,2922.81,1139.62,4976.11,649.671
37.5978,9382.09,917.408,1696.58,-23.6807,11743,40.3024,2603.14
-123.177,2542.53,-143.576,-153.629,2427.76,5269.93,170.817,6682.52
-127.541,346.416,23.6984,1018.62,2649,621.135,7955.47,386.142
14.4315,5879.64,3316.65,1490.84,1858.64,6838.1,203.019,4092.71
248.729,6418.61,6214.42,2004.7,1525.03,11837.6,642.775,6322.93
-29.1533,3810.21,7186.67,1942.5,368.305,16758.4,113.085,5685.18
-25.3966,587.668,616.098,2907.52,4572.98,706.404,26398.5,245.523
-67.0157,5057.73,4606.18,2004.81,892.248,11505.8,-129.094,3641.37
-60.6548,390.344,837.686,566.965,3560.48,1057.62,7610.85,260.505
-72.1792,5005.76,-665.169,1247.68,201.973,7951.35,-136.375,2451.82
-423.456,1671.97,-782.942,2254.17,11317.8,2765.81,-56.4367,706.576
84.7119,6506.11,540.598,3052.31,4995.1,18467.6,966.267,33653.6
-42.8414,3338.44,-206.248,733.567,1117.32,13174.2,24.8814,5253.21
213.709,6408.9,3312.11,1382.16,354.221,15675.8,43.582,4210.07
-3.88638,5488.53,749.219,698.629,592.771,6482.19,424.305,2094.41
151.441,-7.70446,1405.9,1740.74,1513.53,426.144,13935.5,111.945
304.776,14195.5,-2038.29,6371.7,11059,4334.96,1337.28,3110.16
-9.22705,5257.26,-217.981,1040.31,1057.07,10600.2,2.11378,1661.93
390.911,1968.56,-622.939,1088.48,2298.89,4991.55,-43.6722,14886.2
3705.82,1148.26,877.322,9391.58,3602.03,1345.74,3535.68,8110.18
-141.147,-68.8938,-447.911,1182.05,1244.29,361.09,20241.6,1542.16
2769.68,200.698,436.578,4979.45,1679.44,1334.99,-638.337,1439.98
122.125,6546.84,15466.3,1454.94,1035.3,6926.61,256.506,5691.35
154.394,4702.56,6515.56,1068,-88.2988,10826.7,13.7444,3660.92
-150.309,6477.77,1839.64,1258.13,-61.9147,9958.02,-108.429,3369.31
204.905,207.82,378.715,1255.51,4517.14,759.361,22808.5,514.646
153.496,194.205,-1028.85,3388.18,2775.42,-261.366,29534.5,242.439
117.194,777.615,670.679,1138.77,3684.05,583.611,9679.89,493.542
31.2539,461.199,-464.897,298.552,1095.67,742.147,7426.13,18.381
-134.558,8035.18,5312.69,2320.13,2023.09,18157.5,462.334,6676.01
166.082,1178.35,438.832,2556.45,1568.47,293.734,22634.2,1022.24
474.489,891.007,-513.409,10269.8,6462.25,1514.97,3124.44,1723.48
340.102,196.499,-840.176,1867.18,5734.01,1815.5,19255.4,29255.2
-127.608,10091.4,-700.704,2408.59,7247.9,7837.08,393.232,31274.7
3385.09,209.982,-3055.48,5085.89,3017.29,1627.71,-1.28927,19685.1
-81.3939,-183.808,-264.915,155.199,1758.28,155.954,5809.8,1176.27
61.0534,6800.31,4901.56,2160.13,2344.81,13932.1,156.172,4219.33
-100.947,1900.68,-961.984,2699.35,1567.81,3197.39,622.68,3740.35
6.71843,8107.32,5484.04,1531.85,1163.24,10042.2,87.3088,4839.37
388.515,4301.67,-340.234,1533.3,1846.89,5290.24,410.959,32230.2
178.665,961.926,-743.453,3837.56,6605.89,774.977,9842.58,27047.2
-176.816,5521.45,-343.802,1553.04,3257.89,3805.13,136.511,7430.04
272.482,456.349,-1423.64,3347.61,4147.54,270.108,21318.2,747.469
-160.786,469.119,-409.937,956.814,1301.26,924.008,175.963,347.177
3142.51,243.542,-168.967,7648.04,3309.73,1635.83,1998.16,15217
-120.345,3965.57,1015.54,556.77,645.542,8647.18,52.5702,4686.59
137.009,8504.47,-813.119,2004.48,4023.78,5848.35,-184.26,27472.5
-145.701,8498.1,-1303.32,3096.59,8308.19,8655.58,212.474,34987.8
-41.1204,8715.26,226.637,3836.59,2293.42,2212.39,316.291,790.45
-5.71996,25120.5,-872.466,1653.11,3378.43,3933.86,220.66,1766.76
-29.6578,26262.3,345.432,8566.19,3266.65,12522.9,-406.463,3281.3
-29.3192,5042.28,1373.62,796.544,458.678,14559.4,315.553,4709.23
194.695,156.692,-3321.23,2761.35,3621.48,-462.051,28075,14892.1
-157.049,5813.79,2838.99,2058.68,869.702,9821.39,-161.79,2846.74
1.49667,11872.5,7878.74,2059.13,267.778,23340.4,237.921,5992.73
204.47,8192.18,815.489,3559.77,2818.27,12983.5,1133.23,10259.8
101.898,5380.16,-610.365,11435.1,19746.5,40104.2,1388.58,3326.02
34.7523,1195.12,182.373,3351.42,2673.79,1042.62,25071.5,849.214
11.2574,74.8017,-920.55,2996.71,2650.17,812.863,8485.07,970.172
-60.5478,4482.75,3870.75,860.728,-263.224,9552.29,91.6614,1577.63
185.305,606.455,-37.9936,899.052,3620.65,857.305,13130.1,5686.63
-207.158,7485.15,-90.1627,699.328,780.274,15975.2,78.2184,6767.8
541.773,8807.71,-1133.11,6989.89,15139.9,21746.4,571.21,52655.6
80.158,5103.52,-259.649,1321.74,5460.63,2437.81,851.593,11217.6
-213.823,2328.68,-972.727,2343.66,7468,3102.49,249.681,2397.25
0.552862,3570.31,185.561,963.022,620.752,11676.9,-222.298,4098.25
63.2584,7100.68,10118.7,1236.03,389.395,11760.4,277.51,958.527
25.2591,6779.92,-1974.09,2064.2,2843.38,3161.43,140.75,4041.18
2879.53,415.09,-894.897,9877.1,3415.96,1296.04,-490.058,1700.35
33.1203,525.553,467.361,3736.71,842.469,495.334,18306.4,72.7461
88.1623,4516.35,2882.49,1728.09,-328.094,11155.4,-51.0416,6684.18
96.7064,3556.78,3524.92,1115.37,514.725,8214.05,125.579,2822.76
-226.989,1166.75,-1228.56,553.252,1922.04,426.224,7617.69,1063.75
117.024,1321.85,135.361,347.067,1831.9,695.996,7452.75,175.064
375.877,2773.72,1126.2,2139.17,2883.15,6615.81,430.79,23826.5
22.4281,488.979,56.4252,192.664,2727.95,507.421,5965.84,286.269
187.183,872.922,-776.617,2657.14,3715.36,262.456,22329.7,9950.86
0.181435,4586.65,58.7235,1252.27,2373.78,1092.79,-77.2132,1866.28
73.3749,747.994,907.943,785.463,2791.06,687.704,7815.54,565.872
138.242,9283.02,6919.98,2690.9,3515.51,15404,25.93,5843.91
-19.2224,418.52,-1849.72,1878.04,1882.81,-659.492,18983.7,-431.443
696.297,4468.83,-990.048,2658.21,4333.05,10044.4,1051.63,11826.2
190.269,1050.96,-1552.48,3455.67,12470.6,2814.36,1214.08,12494.6
2439.65,1501.58,-707.291,8433.73,8269.05,709.889,2676.06,1221.72
-37.4454,770.498,170.027,2649.24,1076.06,577.266,17563.3,312.323
258.98,2664.19,-1414.68,8767.78,2730.58,11011.4,3805.92,262.502
262.848,2512.92,-644.205,597.509,1463.23,3112.18,-92.6056,12077.7
-50.3286,7740.26,3362.5,1234.46,-87.815,6850.84,172.173,1643.62
-2.77312,495.035,-928.184,2023.34,1965.59,174.721,15225.8,834.856
-63.5821,228.803,-1419.47,619.813,2658.74,847.507,5621.32,107.136
274.883,891.691,-1011.84,2972.67,1173.62,209.421,25885.2,1833.73
291.686,234.381,-177.221,-316.69,884.877,41.2935,161.901,683.526
-101.826,912.283,-904.891,1855.99,5712.73,1234.49,14377.7,2703.87
87.5596,123.041,-940.517,4674.88,6048.29,1111.95,21174.5,17760.3
